Date,KKR
2022-02-28,60.119998931884766
2022-03-01,57.75
2022-03-02,60.130001068115234
2022-03-03,57.779998779296875
2022-03-04,55.88999938964844
2022-03-07,51.15999984741211
2022-03-08,52.27000045776367
2022-03-09,54.970001220703125
2022-03-10,53.45000076293945
2022-03-11,52.290000915527344
2022-03-14,50.849998474121094
2022-03-15,52.08000183105469
2022-03-16,55.459999084472656
2022-03-17,57.65999984741211
2022-03-18,59.470001220703125
2022-03-21,58.400001525878906
2022-03-22,60.150001525878906
2022-03-23,58.97999954223633
2022-03-24,59.25
2022-03-25,58.65999984741211
2022-03-28,58.58000183105469
2022-03-29,61.779998779296875
2022-03-30,59.310001373291016
2022-03-31,58.470001220703125
2022-04-01,59.779998779296875
2022-04-04,59.939998626708984
2022-04-05,57.47999954223633
2022-04-06,56.29999923706055
2022-04-07,55.810001373291016
2022-04-08,57.70000076293945
2022-04-11,56.2599983215332
2022-04-12,55.5
2022-04-13,56.4900016784668
2022-04-14,55.25
2022-04-18,54.54999923706055
2022-04-19,56.43000030517578
2022-04-20,57.93000030517578
2022-04-21,53.869998931884766
2022-04-22,51.77000045776367
2022-04-25,53.0
2022-04-26,50.880001068115234
2022-04-27,51.68000030517578
2022-04-28,52.58000183105469
2022-04-29,50.970001220703125
2022-05-02,52.939998626708984
2022-05-03,54.290000915527344
2022-05-04,57.349998474121094
2022-05-05,55.36000061035156
2022-05-06,53.54999923706055
2022-05-09,49.86000061035156
2022-05-10,51.15999984741211
2022-05-11,50.150001525878906
2022-05-12,48.29999923706055
2022-05-13,51.56999969482422
2022-05-16,50.939998626708984
2022-05-17,53.08000183105469
2022-05-18,50.7599983215332
2022-05-19,50.459999084472656
2022-05-20,51.7599983215332
2022-05-23,51.95000076293945
2022-05-24,49.9900016784668
2022-05-25,50.599998474121094
2022-05-26,54.439998626708984
2022-05-27,56.040000915527344
2022-05-31,54.810001373291016
2022-06-01,54.459999084472656
2022-06-02,56.349998474121094
2022-06-03,55.31999969482422
2022-06-06,56.5099983215332
2022-06-07,56.95000076293945
2022-06-08,54.849998474121094
2022-06-09,53.16999816894531
