Date,BEN
2022-02-28,29.729999542236328
2022-03-01,28.079999923706055
2022-03-02,29.450000762939453
2022-03-03,29.209999084472656
2022-03-04,28.200000762939453
2022-03-07,27.209999084472656
2022-03-08,27.610000610351562
2022-03-09,28.540000915527344
2022-03-10,27.229999542236328
2022-03-11,27.260000228881836
2022-03-14,26.829999923706055
2022-03-15,26.969999313354492
2022-03-16,27.8700008392334
2022-03-17,27.940000534057617
2022-03-18,27.920000076293945
2022-03-21,27.649999618530273
2022-03-22,28.09000015258789
2022-03-23,27.219999313354492
2022-03-24,27.600000381469727
2022-03-25,27.829999923706055
2022-03-28,27.989999771118164
2022-03-29,28.979999542236328
2022-03-30,28.389999389648438
2022-03-31,27.920000076293945
2022-04-01,27.93000030517578
2022-04-04,28.020000457763672
2022-04-05,27.649999618530273
2022-04-06,26.799999237060547
2022-04-07,26.360000610351562
2022-04-08,26.280000686645508
2022-04-11,26.18000030517578
2022-04-12,25.770000457763672
2022-04-13,26.18000030517578
2022-04-14,25.56999969482422
2022-04-18,25.68000030517578
2022-04-19,26.760000228881836
2022-04-20,26.690000534057617
2022-04-21,26.479999542236328
2022-04-22,26.389999389648438
2022-04-25,26.6299991607666
2022-04-26,25.780000686645508
2022-04-27,25.639999389648438
2022-04-28,25.950000762939453
2022-04-29,24.59000015258789
2022-05-02,25.329999923706055
2022-05-03,25.549999237060547
2022-05-04,26.799999237060547
2022-05-05,25.040000915527344
2022-05-06,25.010000228881836
2022-05-09,24.84000015258789
2022-05-10,24.530000686645508
2022-05-11,23.8799991607666
2022-05-12,24.520000457763672
2022-05-13,25.09000015258789
2022-05-16,24.93000030517578
2022-05-17,25.84000015258789
2022-05-18,25.229999542236328
2022-05-19,25.110000610351562
2022-05-20,25.799999237060547
2022-05-23,26.0
2022-05-24,25.959999084472656
2022-05-25,26.450000762939453
2022-05-26,27.209999084472656
2022-05-27,27.549999237060547
2022-05-31,27.079999923706055
2022-06-01,26.559999465942383
2022-06-02,26.860000610351562
2022-06-03,26.459999084472656
2022-06-06,26.780000686645508
2022-06-07,26.940000534057617
2022-06-08,25.8799991607666
2022-06-09,25.649999618530273
2022-06-10,24.559999465942383
2022-06-13,23.06999969482422
2022-06-14,23.079999923706055
2022-06-15,23.780000686645508
2022-06-16,23.149999618530273
2022-06-17,23.309999465942383
2022-06-21,24.18000030517578
2022-06-22,24.100000381469727
2022-06-23,24.3700008392334
2022-06-24,25.34000015258789
2022-06-27,25.1299991607666
2022-06-28,24.68000030517578
2022-06-29,23.270000457763672
2022-06-30,23.309999465942383
2022-07-01,23.579999923706055
2022-07-05,23.81999969482422
2022-07-06,23.690000534057617
2022-07-07,24.290000915527344
2022-07-08,23.8700008392334
2022-07-11,23.6299991607666
2022-07-12,24.030000686645508
2022-07-13,24.079999923706055
2022-07-14,24.309999465942383
2022-07-15,24.6200008392334
2022-07-18,24.5
2022-07-19,25.3700008392334
2022-07-20,25.420000076293945
2022-07-21,25.6200008392334
2022-07-22,25.299999237060547
2022-07-25,25.229999542236328
2022-07-26,24.8700008392334
2022-07-27,25.43000030517578
2022-07-28,26.559999465942383
2022-07-29,27.450000762939453
2022-08-01,27.940000534057617
2022-08-02,27.3799991607666
2022-08-03,27.56999969482422
2022-08-04,27.6299991607666
2022-08-05,27.649999618530273
2022-08-08,27.850000381469727
2022-08-09,27.520000457763672
2022-08-10,28.389999389648438
2022-08-11,28.670000076293945
2022-08-12,29.020000457763672
2022-08-15,28.850000381469727
2022-08-16,28.790000915527344
2022-08-17,28.399999618530273
2022-08-18,28.459999084472656
2022-08-19,27.709999084472656
2022-08-22,26.979999542236328
2022-08-23,27.030000686645508
2022-08-24,27.06999969482422
2022-08-25,27.3700008392334
2022-08-26,26.489999771118164
2022-08-29,26.110000610351562
2022-08-30,26.15999984741211
2022-08-31,26.06999969482422
2022-09-01,25.93000030517578
2022-09-02,25.889999389648438
2022-09-06,25.90999984741211
2022-09-07,26.049999237060547
2022-09-08,26.260000228881836
2022-09-09,26.3799991607666
2022-09-12,26.75
2022-09-13,24.639999389648438
2022-09-14,24.540000915527344
2022-09-15,24.530000686645508
2022-09-16,24.139999389648438
2022-09-19,24.81999969482422
2022-09-20,24.540000915527344
2022-09-21,24.25
2022-09-22,23.709999084472656
2022-09-23,23.40999984741211
2022-09-26,22.899999618530273
2022-09-27,22.639999389648438
2022-09-28,23.040000915527344
2022-09-29,22.200000762939453
2022-09-30,21.520000457763672
2022-10-03,22.440000534057617
2022-10-04,23.420000076293945
2022-10-05,23.31999969482422
2022-10-06,22.950000762939453
2022-10-07,21.850000381469727
2022-10-10,21.719999313354492
2022-10-11,21.3799991607666
2022-10-12,21.110000610351562
2022-10-13,22.209999084472656
2022-10-14,21.709999084472656
2022-10-17,22.229999542236328
2022-10-18,22.520000457763672
2022-10-19,22.25
2022-10-20,21.739999771118164
2022-10-21,22.530000686645508
2022-10-24,22.81999969482422
2022-10-25,23.450000762939453
2022-10-26,23.450000762939453
2022-10-27,23.309999465942383
2022-10-28,23.719999313354492
2022-10-31,23.450000762939453
2022-11-01,22.600000381469727
2022-11-02,22.559999465942383
2022-11-03,22.420000076293945
2022-11-04,23.329999923706055
2022-11-07,23.219999313354492
2022-11-08,23.520000457763672
2022-11-09,22.700000762939453
2022-11-10,25.610000610351562
2022-11-11,27.329999923706055
2022-11-14,26.459999084472656
2022-11-15,26.920000076293945
2022-11-16,26.440000534057617
2022-11-17,26.1299991607666
2022-11-18,26.149999618530273
2022-11-21,26.1200008392334
2022-11-22,26.479999542236328
