Date,RF
2022-02-28,24.190000534057617
2022-03-01,22.110000610351562
2022-03-02,23.3700008392334
2022-03-03,23.43000030517578
2022-03-04,22.610000610351562
2022-03-07,21.260000228881836
2022-03-08,21.399999618530273
2022-03-09,22.450000762939453
2022-03-10,22.0
2022-03-11,21.90999984741211
2022-03-14,22.719999313354492
2022-03-15,22.790000915527344
2022-03-16,23.540000915527344
2022-03-17,23.270000457763672
2022-03-18,22.950000762939453
2022-03-21,22.780000686645508
2022-03-22,23.43000030517578
2022-03-23,22.700000762939453
2022-03-24,22.899999618530273
2022-03-25,23.440000534057617
2022-03-28,23.030000686645508
2022-03-29,23.229999542236328
2022-03-30,22.649999618530273
2022-03-31,22.260000228881836
2022-04-01,21.469999313354492
2022-04-04,21.469999313354492
2022-04-05,21.31999969482422
2022-04-06,20.81999969482422
2022-04-07,20.420000076293945
2022-04-08,20.75
2022-04-11,21.139999389648438
2022-04-12,20.81999969482422
2022-04-13,20.93000030517578
2022-04-14,20.729999542236328
2022-04-18,20.920000076293945
2022-04-19,21.68000030517578
2022-04-20,21.969999313354492
2022-04-21,21.540000915527344
2022-04-22,21.3700008392334
2022-04-25,21.600000381469727
2022-04-26,21.020000457763672
2022-04-27,21.270000457763672
2022-04-28,21.34000015258789
2022-04-29,20.719999313354492
2022-05-02,21.059999465942383
2022-05-03,21.549999237060547
2022-05-04,22.049999237060547
2022-05-05,21.450000762939453
2022-05-06,21.1200008392334
2022-05-09,20.56999969482422
2022-05-10,20.190000534057617
2022-05-11,20.020000457763672
2022-05-12,19.81999969482422
2022-05-13,19.8799991607666
2022-05-16,19.719999313354492
2022-05-17,20.639999389648438
2022-05-18,19.93000030517578
2022-05-19,20.020000457763672
2022-05-20,20.149999618530273
2022-05-23,20.719999313354492
2022-05-24,20.43000030517578
2022-05-25,21.170000076293945
2022-05-26,21.610000610351562
2022-05-27,21.8799991607666
2022-05-31,22.09000015258789
2022-06-01,21.610000610351562
2022-06-02,21.889999389648438
2022-06-03,21.75
2022-06-06,21.780000686645508
2022-06-07,22.0
2022-06-08,21.799999237060547
2022-06-09,21.09000015258789
2022-06-10,20.139999389648438
2022-06-13,19.440000534057617
2022-06-14,19.350000381469727
2022-06-15,19.3799991607666
2022-06-16,18.549999237060547
2022-06-17,18.700000762939453
2022-06-21,19.09000015258789
2022-06-22,19.06999969482422
2022-06-23,18.420000076293945
2022-06-24,19.489999771118164
2022-06-27,19.350000381469727
2022-06-28,19.43000030517578
