Date,JNPR
2022-02-28,33.790000915527344
2022-03-01,33.08000183105469
2022-03-02,34.209999084472656
2022-03-03,34.33000183105469
2022-03-04,34.150001525878906
2022-03-07,33.040000915527344
2022-03-08,32.880001068115234
2022-03-09,33.689998626708984
2022-03-10,33.25
2022-03-11,33.13999938964844
2022-03-14,33.290000915527344
2022-03-15,34.380001068115234
2022-03-16,34.16999816894531
2022-03-17,34.650001525878906
2022-03-18,35.310001373291016
2022-03-21,35.310001373291016
2022-03-22,35.68000030517578
2022-03-23,35.06999969482422
2022-03-24,35.65999984741211
2022-03-25,36.52000045776367
2022-03-28,37.310001373291016
2022-03-29,37.689998626708984
2022-03-30,37.58000183105469
2022-03-31,37.15999984741211
2022-04-01,36.83000183105469
2022-04-04,36.790000915527344
2022-04-05,36.290000915527344
2022-04-06,35.58000183105469
2022-04-07,35.70000076293945
2022-04-08,35.43000030517578
2022-04-11,34.40999984741211
2022-04-12,34.220001220703125
2022-04-13,35.220001220703125
2022-04-14,35.130001068115234
2022-04-18,35.099998474121094
2022-04-19,35.77000045776367
2022-04-20,36.5
2022-04-21,36.150001525878906
2022-04-22,35.150001525878906
2022-04-25,34.619998931884766
2022-04-26,33.599998474121094
2022-04-27,31.899999618530273
2022-04-28,32.68000030517578
2022-04-29,31.520000457763672
2022-05-02,32.2400016784668
2022-05-03,32.29999923706055
2022-05-04,32.91999816894531
2022-05-05,31.780000686645508
2022-05-06,32.06999969482422
2022-05-09,30.700000762939453
2022-05-10,31.09000015258789
2022-05-11,30.56999969482422
2022-05-12,29.670000076293945
2022-05-13,30.459999084472656
2022-05-16,30.270000457763672
2022-05-17,31.40999984741211
2022-05-18,29.850000381469727
2022-05-19,28.799999237060547
2022-05-20,28.8700008392334
2022-05-23,29.610000610351562
2022-05-24,29.719999313354492
2022-05-25,30.06999969482422
2022-05-26,30.6200008392334
2022-05-27,31.219999313354492
2022-05-31,30.68000030517578
2022-06-01,30.75
2022-06-02,31.170000076293945
2022-06-03,30.799999237060547
