Date,SPGI
2022-02-28,375.70001220703125
2022-03-01,390.5799865722656
2022-03-02,399.1199951171875
2022-03-03,400.5
2022-03-04,407.54998779296875
2022-03-07,385.6400146484375
2022-03-08,388.1300048828125
2022-03-09,391.510009765625
2022-03-10,382.75
2022-03-11,379.67999267578125
2022-03-14,377.0
2022-03-15,387.3900146484375
2022-03-16,392.2300109863281
2022-03-17,402.6600036621094
2022-03-18,409.94000244140625
2022-03-21,404.760009765625
2022-03-22,414.2799987792969
2022-03-23,405.7099914550781
2022-03-24,407.6700134277344
2022-03-25,413.4700012207031
2022-03-28,414.5
2022-03-29,417.45001220703125
2022-03-30,418.95001220703125
2022-03-31,410.17999267578125
2022-04-01,407.8800048828125
2022-04-04,414.29998779296875
2022-04-05,411.8800048828125
2022-04-06,410.8800048828125
2022-04-07,414.989990234375
2022-04-08,413.0899963378906
2022-04-11,405.6099853515625
2022-04-12,397.30999755859375
2022-04-13,396.30999755859375
2022-04-14,387.5899963378906
2022-04-18,390.55999755859375
2022-04-19,395.3500061035156
2022-04-20,397.25
2022-04-21,390.8299865722656
2022-04-22,379.6600036621094
2022-04-25,381.2200012207031
2022-04-26,375.5
2022-04-27,380.6400146484375
2022-04-28,386.54998779296875
2022-04-29,376.5
2022-05-02,367.32000732421875
2022-05-03,359.6300048828125
2022-05-04,364.32000732421875
2022-05-05,346.8999938964844
2022-05-06,345.760009765625
2022-05-09,328.7699890136719
2022-05-10,327.989990234375
2022-05-11,325.80999755859375
2022-05-12,329.6600036621094
2022-05-13,336.8500061035156
2022-05-16,335.3599853515625
2022-05-17,339.2799987792969
2022-05-18,330.1199951171875
2022-05-19,332.07000732421875
2022-05-20,342.4200134277344
2022-05-23,350.5199890136719
2022-05-24,350.8699951171875
2022-05-25,347.6600036621094
2022-05-26,352.4700012207031
2022-05-27,360.6400146484375
2022-05-31,349.4800109863281
2022-06-01,332.010009765625
2022-06-02,343.0400085449219
2022-06-03,335.92999267578125
2022-06-06,338.6400146484375
2022-06-07,344.4599914550781
2022-06-08,338.69000244140625
2022-06-09,336.42999267578125
2022-06-10,332.760009765625
2022-06-13,322.3599853515625
2022-06-14,317.42999267578125
2022-06-15,321.3399963378906
2022-06-16,316.0299987792969
2022-06-17,319.92999267578125
2022-06-21,320.0199890136719
2022-06-22,325.1700134277344
2022-06-23,333.739990234375
2022-06-24,341.6600036621094
2022-06-27,340.4700012207031
2022-06-28,332.70001220703125
2022-06-29,334.75
2022-06-30,337.05999755859375
2022-07-01,343.3299865722656
2022-07-05,344.32000732421875
2022-07-06,349.0199890136719
2022-07-07,351.8299865722656
2022-07-08,352.4800109863281
2022-07-11,351.6099853515625
2022-07-12,346.04998779296875
2022-07-13,342.0199890136719
2022-07-14,345.1700134277344
2022-07-15,349.45001220703125
2022-07-18,345.3599853515625
2022-07-19,357.1400146484375
2022-07-20,358.6000061035156
2022-07-21,361.6199951171875
2022-07-22,361.94000244140625
2022-07-25,354.0299987792969
2022-07-26,356.1199951171875
2022-07-27,360.9200134277344
2022-07-28,374.5899963378906
2022-07-29,376.92999267578125
2022-08-01,376.0799865722656
2022-08-02,369.7799987792969
2022-08-03,368.1600036621094
2022-08-04,377.8999938964844
