Date,MHK
2022-02-28,140.77999877929688
2022-03-01,137.05999755859375
2022-03-02,142.86000061035156
2022-03-03,139.86000061035156
2022-03-04,137.35000610351562
2022-03-07,123.76000213623047
2022-03-08,128.32000732421875
2022-03-09,136.86000061035156
2022-03-10,132.75999450683594
2022-03-11,131.11000061035156
2022-03-14,131.0399932861328
2022-03-15,138.3000030517578
2022-03-16,145.30999755859375
2022-03-17,145.14999389648438
2022-03-18,144.50999450683594
2022-03-21,139.6300048828125
2022-03-22,139.0500030517578
2022-03-23,136.11000061035156
2022-03-24,135.02999877929688
2022-03-25,131.52000427246094
2022-03-28,131.8699951171875
2022-03-29,138.8300018310547
2022-03-30,130.92999267578125
2022-03-31,124.19999694824219
2022-04-01,124.23999786376953
2022-04-04,126.30000305175781
2022-04-05,123.29000091552734
2022-04-06,123.04000091552734
2022-04-07,121.27999877929688
2022-04-08,123.0
2022-04-11,124.30000305175781
2022-04-12,123.87999725341797
2022-04-13,122.9000015258789
2022-04-14,123.70999908447266
2022-04-18,122.88999938964844
2022-04-19,127.87999725341797
2022-04-20,128.94000244140625
2022-04-21,128.69000244140625
2022-04-22,123.94000244140625
2022-04-25,128.13999938964844
2022-04-26,124.69999694824219
2022-04-27,125.94000244140625
2022-04-28,130.77999877929688
2022-04-29,141.05999755859375
2022-05-02,145.75
2022-05-03,153.13999938964844
2022-05-04,157.8300018310547
2022-05-05,153.10000610351562
2022-05-06,149.77000427246094
2022-05-09,148.19000244140625
2022-05-10,142.3699951171875
2022-05-11,137.02000427246094
2022-05-12,138.88999938964844
2022-05-13,139.3800048828125
2022-05-16,136.58999633789062
2022-05-17,141.89999389648438
2022-05-18,137.00999450683594
2022-05-19,139.2100067138672
2022-05-20,135.1199951171875
2022-05-23,136.16000366210938
2022-05-24,132.27000427246094
2022-05-25,135.52000427246094
2022-05-26,139.39999389648438
2022-05-27,141.77000427246094
2022-05-31,141.4600067138672
2022-06-01,139.61000061035156
2022-06-02,140.16000366210938
2022-06-03,139.14999389648438
2022-06-06,141.66000366210938
2022-06-07,141.39999389648438
2022-06-08,139.5399932861328
2022-06-09,140.92999267578125
2022-06-10,131.89999389648438
2022-06-13,123.73999786376953
2022-06-14,123.61000061035156
2022-06-15,125.41999816894531
2022-06-16,116.66999816894531
2022-06-17,119.93000030517578
2022-06-21,120.43000030517578
2022-06-22,122.52999877929688
2022-06-23,128.1300048828125
2022-06-24,127.94999694824219
2022-06-27,129.66000366210938
2022-06-28,127.77999877929688
