Date,EQT
2022-02-28,23.139999389648438
2022-03-01,24.420000076293945
2022-03-02,24.8799991607666
2022-03-03,24.850000381469727
2022-03-04,26.360000610351562
2022-03-07,26.520000457763672
2022-03-08,25.610000610351562
2022-03-09,26.1299991607666
2022-03-10,26.979999542236328
2022-03-11,27.0
2022-03-14,25.420000076293945
2022-03-15,25.639999389648438
2022-03-16,26.06999969482422
2022-03-17,27.049999237060547
2022-03-18,27.1200008392334
2022-03-21,28.420000076293945
2022-03-22,28.200000762939453
2022-03-23,28.700000762939453
2022-03-24,30.739999771118164
2022-03-25,34.33000183105469
2022-03-28,34.900001525878906
2022-03-29,34.0099983215332
2022-03-30,34.16999816894531
2022-03-31,34.40999984741211
2022-04-01,36.029998779296875
2022-04-04,36.36000061035156
2022-04-05,36.22999954223633
2022-04-06,37.31999969482422
2022-04-07,36.34000015258789
2022-04-08,38.310001373291016
2022-04-11,39.16999816894531
2022-04-12,40.099998474121094
2022-04-13,41.81999969482422
2022-04-14,42.36000061035156
2022-04-18,45.5
2022-04-19,43.970001220703125
2022-04-20,44.650001525878906
2022-04-21,42.040000915527344
2022-04-22,39.7400016784668
2022-04-25,39.70000076293945
2022-04-26,38.939998626708984
2022-04-27,39.56999969482422
2022-04-28,40.59000015258789
2022-04-29,39.75
2022-05-02,39.45000076293945
2022-05-03,42.060001373291016
2022-05-04,42.95000076293945
2022-05-05,41.91999816894531
2022-05-06,41.04999923706055
2022-05-09,36.54999923706055
2022-05-10,36.599998474121094
2022-05-11,37.810001373291016
2022-05-12,37.709999084472656
2022-05-13,38.20000076293945
2022-05-16,39.7599983215332
2022-05-17,42.470001220703125
2022-05-18,40.439998626708984
2022-05-19,40.52000045776367
2022-05-20,40.849998474121094
2022-05-23,44.47999954223633
2022-05-24,45.119998931884766
2022-05-25,46.849998474121094
2022-05-26,47.400001525878906
2022-05-27,48.43000030517578
2022-05-31,47.720001220703125
2022-06-01,49.79999923706055
2022-06-02,48.869998931884766
2022-06-03,47.9900016784668
2022-06-06,49.02000045776367
2022-06-07,49.779998779296875
2022-06-08,48.970001220703125
2022-06-09,48.06999969482422
2022-06-10,47.959999084472656
2022-06-13,45.06999969482422
2022-06-14,40.83000183105469
2022-06-15,41.2400016784668
2022-06-16,38.59000015258789
2022-06-17,35.939998626708984
2022-06-21,36.79999923706055
2022-06-22,35.08000183105469
2022-06-23,33.13999938964844
2022-06-24,35.09000015258789
2022-06-27,36.650001525878906
2022-06-28,38.2400016784668
2022-06-29,37.52000045776367
2022-06-30,34.400001525878906
2022-07-01,34.27000045776367
2022-07-05,32.220001220703125
2022-07-06,31.649999618530273
2022-07-07,34.540000915527344
2022-07-08,34.20000076293945
2022-07-11,34.560001373291016
2022-07-12,34.38999938964844
2022-07-13,36.65999984741211
2022-07-14,36.119998931884766
2022-07-15,36.619998931884766
2022-07-18,37.86000061035156
2022-07-19,39.13999938964844
2022-07-20,41.209999084472656
2022-07-21,42.439998626708984
2022-07-22,42.22999954223633
2022-07-25,44.97999954223633
2022-07-26,45.56999969482422
2022-07-27,45.439998626708984
2022-07-28,42.75
2022-07-29,44.029998779296875
2022-08-01,42.310001373291016
2022-08-02,41.880001068115234
2022-08-03,42.790000915527344
2022-08-04,41.25
2022-08-05,42.279998779296875
2022-08-08,41.34000015258789
2022-08-09,42.90999984741211
2022-08-10,43.5099983215332
2022-08-11,45.79999923706055
2022-08-12,46.189998626708984
2022-08-15,45.25
2022-08-16,47.189998626708984
2022-08-17,47.11000061035156
2022-08-18,48.2400016784668
2022-08-19,47.70000076293945
2022-08-22,49.119998931884766
2022-08-23,47.84000015258789
2022-08-24,49.689998626708984
2022-08-25,49.47999954223633
2022-08-26,49.66999816894531
2022-08-29,50.0099983215332
2022-08-30,46.869998931884766
2022-08-31,47.79999923706055
2022-09-01,46.310001373291016
2022-09-02,47.279998779296875
2022-09-06,45.43000030517578
2022-09-07,46.0
2022-09-08,47.099998474121094
2022-09-09,48.349998474121094
2022-09-12,50.29999923706055
2022-09-13,47.90999984741211
2022-09-14,50.599998474121094
2022-09-15,48.09000015258789
2022-09-16,46.060001373291016
2022-09-19,47.34000015258789
2022-09-20,46.560001373291016
2022-09-21,45.38999938964844
2022-09-22,44.630001068115234
2022-09-23,41.2599983215332
2022-09-26,39.380001068115234
2022-09-27,39.290000915527344
2022-09-28,40.810001373291016
2022-09-29,39.529998779296875
2022-09-30,40.75
2022-10-03,41.75
2022-10-04,44.90999984741211
2022-10-05,45.34000015258789
2022-10-06,43.939998626708984
2022-10-07,43.16999816894531
2022-10-10,42.77000045776367
2022-10-11,43.54999923706055
2022-10-12,43.54999923706055
2022-10-13,44.369998931884766
2022-10-14,41.130001068115234
2022-10-17,41.810001373291016
2022-10-18,41.810001373291016
2022-10-19,42.209999084472656
2022-10-20,40.7400016784668
2022-10-21,37.880001068115234
2022-10-24,38.33000183105469
2022-10-25,39.599998474121094
2022-10-26,39.0099983215332
2022-10-27,39.099998474121094
2022-10-28,38.68000030517578
2022-10-31,41.84000015258789
2022-11-01,40.75
2022-11-02,40.470001220703125
2022-11-03,39.349998474121094
2022-11-04,41.08000183105469
2022-11-07,44.18000030517578
2022-11-08,43.939998626708984
2022-11-09,40.84000015258789
2022-11-10,42.900001525878906
2022-11-11,42.619998931884766
2022-11-14,42.369998931884766
2022-11-15,43.7599983215332
2022-11-16,41.4900016784668
2022-11-17,41.689998626708984
2022-11-18,41.029998779296875
2022-11-21,41.33000183105469
2022-11-22,43.779998779296875
2022-11-23,43.560001373291016
