Date,CB
2022-02-28,203.63999938964844
2022-03-01,199.5399932861328
2022-03-02,204.3000030517578
2022-03-03,206.0
2022-03-04,205.52000427246094
2022-03-07,198.9199981689453
2022-03-08,197.64999389648438
2022-03-09,203.94000244140625
2022-03-10,201.4199981689453
2022-03-11,201.91000366210938
2022-03-14,204.9600067138672
2022-03-15,207.4499969482422
2022-03-16,210.97000122070312
2022-03-17,211.10000610351562
2022-03-18,211.50999450683594
2022-03-21,212.97000122070312
2022-03-22,213.63999938964844
2022-03-23,210.63999938964844
2022-03-24,213.19000244140625
2022-03-25,217.77999877929688
2022-03-28,217.16000366210938
2022-03-29,215.83999633789062
2022-03-30,217.5
2022-03-31,213.89999389648438
2022-04-01,216.5500030517578
2022-04-04,213.57000732421875
2022-04-05,212.3800048828125
2022-04-06,212.47999572753906
2022-04-07,212.5800018310547
2022-04-08,216.14999389648438
2022-04-11,215.25999450683594
2022-04-12,214.4199981689453
2022-04-13,212.83999633789062
2022-04-14,210.52000427246094
2022-04-18,211.91000366210938
2022-04-19,209.9199981689453
2022-04-20,212.5800018310547
2022-04-21,211.52999877929688
2022-04-22,206.10000610351562
2022-04-25,207.32000732421875
2022-04-26,203.39999389648438
2022-04-27,210.6199951171875
2022-04-28,211.1699981689453
2022-04-29,206.4499969482422
2022-05-02,205.1699981689453
2022-05-03,207.5800018310547
2022-05-04,213.9600067138672
2022-05-05,208.0
2022-05-06,209.16000366210938
2022-05-09,205.11000061035156
2022-05-10,204.8699951171875
2022-05-11,204.6300048828125
2022-05-12,205.44000244140625
2022-05-13,206.5399932861328
2022-05-16,208.0
2022-05-17,212.41000366210938
2022-05-18,207.30999755859375
2022-05-19,203.8800048828125
2022-05-20,204.0
2022-05-23,207.30999755859375
2022-05-24,208.14999389648438
2022-05-25,207.97999572753906
2022-05-26,207.6999969482422
2022-05-27,210.88999938964844
2022-05-31,211.2899932861328
2022-06-01,208.63999938964844
2022-06-02,209.91000366210938
2022-06-03,208.52999877929688
2022-06-06,212.1300048828125
2022-06-07,213.6199951171875
2022-06-08,210.3300018310547
2022-06-09,206.25
2022-06-10,201.66000366210938
2022-06-13,197.61000061035156
2022-06-14,197.94000244140625
2022-06-15,199.27999877929688
2022-06-16,189.19000244140625
2022-06-17,189.33999633789062
2022-06-21,189.47000122070312
2022-06-22,189.52999877929688
2022-06-23,186.97000122070312
2022-06-24,194.52999877929688
2022-06-27,194.75
2022-06-28,194.41000366210938
2022-06-29,193.77000427246094
2022-06-30,196.5800018310547
2022-07-01,197.9199981689453
2022-07-05,193.13999938964844
2022-07-06,193.72000122070312
2022-07-07,194.6199951171875
2022-07-08,193.07000732421875
2022-07-11,193.55999755859375
2022-07-12,191.89999389648438
2022-07-13,190.0399932861328
2022-07-14,183.32000732421875
2022-07-15,184.19000244140625
2022-07-18,181.17999267578125
2022-07-19,185.72000122070312
2022-07-20,184.6999969482422
2022-07-21,184.00999450683594
2022-07-22,184.1300048828125
2022-07-25,187.2100067138672
2022-07-26,188.27999877929688
2022-07-27,187.0
2022-07-28,185.3800048828125
2022-07-29,188.63999938964844
2022-08-01,184.97999572753906
2022-08-02,184.33999633789062
2022-08-03,185.6999969482422
2022-08-04,185.08999633789062
2022-08-05,185.32000732421875
2022-08-08,186.55999755859375
2022-08-09,189.7100067138672
2022-08-10,191.60000610351562
2022-08-11,193.80999755859375
2022-08-12,197.5500030517578
2022-08-15,196.7100067138672
2022-08-16,199.0500030517578
2022-08-17,200.94000244140625
2022-08-18,202.41000366210938
2022-08-19,200.5800018310547
2022-08-22,197.02000427246094
2022-08-23,196.72999572753906
2022-08-24,196.41000366210938
2022-08-25,197.50999450683594
2022-08-26,193.50999450683594
2022-08-29,192.16000366210938
2022-08-30,189.99000549316406
2022-08-31,189.0500030517578
2022-09-01,192.13999938964844
2022-09-02,190.8800048828125
2022-09-06,190.42999267578125
2022-09-07,193.67999267578125
2022-09-08,195.11000061035156
2022-09-09,195.0
2022-09-12,196.97999572753906
2022-09-13,193.1999969482422
2022-09-14,193.25999450683594
2022-09-15,192.16000366210938
2022-09-16,189.25
2022-09-19,191.8800048828125
2022-09-20,187.5800018310547
2022-09-21,182.47000122070312
2022-09-22,181.49000549316406
2022-09-23,180.2899932861328
2022-09-26,174.74000549316406
2022-09-27,178.13999938964844
2022-09-28,180.32000732421875
2022-09-29,183.77999877929688
2022-09-30,181.8800048828125
2022-10-03,187.10000610351562
2022-10-04,192.75999450683594
2022-10-05,190.6300048828125
2022-10-06,188.82000732421875
2022-10-07,184.67999267578125
2022-10-10,184.9199981689453
2022-10-11,185.6999969482422
2022-10-12,185.0
2022-10-13,193.72999572753906
2022-10-14,188.77000427246094
2022-10-17,192.69000244140625
2022-10-18,194.64999389648438
2022-10-19,195.97999572753906
2022-10-20,192.2100067138672
2022-10-21,197.7899932861328
2022-10-24,203.3800048828125
2022-10-25,201.42999267578125
2022-10-26,204.14999389648438
2022-10-27,207.52999877929688
2022-10-28,214.5
2022-10-31,214.88999938964844
2022-11-01,213.47999572753906
2022-11-02,210.5399932861328
2022-11-03,209.63999938964844
2022-11-04,209.16000366210938
2022-11-07,212.08999633789062
2022-11-08,212.41000366210938
2022-11-09,210.1199951171875
2022-11-10,211.91000366210938
2022-11-11,206.25999450683594
2022-11-14,205.10000610351562
2022-11-15,206.6300048828125
2022-11-16,207.27999877929688
2022-11-17,209.0399932861328
2022-11-18,210.13999938964844
2022-11-21,210.3800048828125
2022-11-22,213.02000427246094
2022-11-23,214.14999389648438
2022-11-25,216.22999572753906
2022-11-28,215.39999389648438
2022-11-29,216.67999267578125
2022-11-30,219.58999633789062
2022-12-01,218.32000732421875
2022-12-02,219.16000366210938
2022-12-05,215.42999267578125
2022-12-06,217.6300048828125
2022-12-07,217.60000610351562
2022-12-08,219.17999267578125
2022-12-09,217.3300018310547
2022-12-12,217.52999877929688
2022-12-13,217.0399932861328
2022-12-14,216.82000732421875
2022-12-15,212.77000427246094
2022-12-16,211.67999267578125
2022-12-19,211.9600067138672
2022-12-20,214.6999969482422
2022-12-21,218.75999450683594
2022-12-22,217.38999938964844
2022-12-23,219.64999389648438
2022-12-27,220.89999389648438
2022-12-28,219.82000732421875
2022-12-29,222.0800018310547
2022-12-30,220.60000610351562
2023-01-03,220.77000427246094
2023-01-04,224.39999389648438
2023-01-05,223.55999755859375
2023-01-06,228.86000061035156
2023-01-09,223.50999450683594
2023-01-10,224.77000427246094
2023-01-11,224.61000061035156
2023-01-12,225.60000610351562
2023-01-13,227.19000244140625
2023-01-17,224.6300048828125
2023-01-18,220.57000732421875
2023-01-19,219.25
2023-01-20,220.42999267578125
2023-01-23,223.58999633789062
2023-01-24,228.35000610351562
2023-01-25,229.77000427246094
2023-01-26,231.11000061035156
2023-01-27,227.3300018310547
2023-01-30,226.07000732421875
2023-01-31,227.49000549316406
2023-02-01,213.44000244140625
2023-02-02,210.1699981689453
2023-02-03,209.83999633789062
2023-02-06,213.85000610351562
2023-02-07,215.14999389648438
2023-02-08,215.35000610351562
2023-02-09,213.41000366210938
2023-02-10,214.69000244140625
2023-02-13,215.5
2023-02-14,213.32000732421875
2023-02-15,212.9499969482422
2023-02-16,210.25999450683594
2023-02-17,210.61000061035156
2023-02-21,208.77000427246094
2023-02-22,209.86000061035156
2023-02-23,208.60000610351562
2023-02-24,210.91000366210938
2023-02-27,211.67999267578125
2023-02-28,211.02000427246094
2023-03-01,209.5
2023-03-02,208.39999389648438
2023-03-03,207.10000610351562
2023-03-06,208.05999755859375
2023-03-07,206.8000030517578
2023-03-08,203.3699951171875
2023-03-09,198.8699951171875
2023-03-10,198.39999389648438
2023-03-13,191.97999572753906
