Date,NWSA
2022-02-28,22.31999969482422
2022-03-01,21.549999237060547
2022-03-02,22.530000686645508
2022-03-03,21.770000457763672
2022-03-04,21.219999313354492
2022-03-07,20.280000686645508
2022-03-08,20.329999923706055
2022-03-09,21.1299991607666
2022-03-10,20.979999542236328
2022-03-11,20.959999084472656
2022-03-14,21.110000610351562
2022-03-15,21.100000381469727
2022-03-16,21.6299991607666
2022-03-17,22.420000076293945
2022-03-18,22.139999389648438
2022-03-21,22.0
2022-03-22,22.239999771118164
2022-03-23,21.920000076293945
2022-03-24,22.549999237060547
2022-03-25,22.579999923706055
2022-03-28,22.510000228881836
2022-03-29,22.959999084472656
2022-03-30,22.770000457763672
2022-03-31,22.149999618530273
2022-04-01,21.93000030517578
2022-04-04,22.110000610351562
2022-04-05,22.0
2022-04-06,21.670000076293945
2022-04-07,21.299999237060547
2022-04-08,21.34000015258789
2022-04-11,21.100000381469727
2022-04-12,20.959999084472656
2022-04-13,21.6299991607666
2022-04-14,21.170000076293945
2022-04-18,21.18000030517578
2022-04-19,21.729999542236328
2022-04-20,21.8700008392334
2022-04-21,21.350000381469727
2022-04-22,20.860000610351562
2022-04-25,20.8799991607666
2022-04-26,20.049999237060547
2022-04-27,20.260000228881836
2022-04-28,20.420000076293945
2022-04-29,19.860000610351562
2022-05-02,20.219999313354492
2022-05-03,20.209999084472656
2022-05-04,20.850000381469727
2022-05-05,19.729999542236328
2022-05-06,17.110000610351562
2022-05-09,17.5
2022-05-10,17.56999969482422
2022-05-11,16.899999618530273
2022-05-12,17.3799991607666
2022-05-13,17.84000015258789
2022-05-16,17.6299991607666
2022-05-17,18.260000228881836
2022-05-18,17.479999542236328
2022-05-19,17.5
2022-05-20,17.610000610351562
2022-05-23,17.420000076293945
2022-05-24,16.549999237060547
2022-05-25,16.850000381469727
2022-05-26,17.229999542236328
2022-05-27,17.68000030517578
2022-05-31,17.399999618530273
2022-06-01,17.209999084472656
2022-06-02,17.709999084472656
2022-06-03,17.200000762939453
2022-06-06,17.3799991607666
2022-06-07,17.56999969482422
2022-06-08,17.209999084472656
2022-06-09,16.860000610351562
2022-06-10,16.56999969482422
2022-06-13,15.670000076293945
2022-06-14,15.550000190734863
2022-06-15,15.539999961853027
2022-06-16,15.420000076293945
2022-06-17,15.5
2022-06-21,15.220000267028809
2022-06-22,15.100000381469727
2022-06-23,15.239999771118164
2022-06-24,15.779999732971191
2022-06-27,15.739999771118164
2022-06-28,15.489999771118164
2022-06-29,15.319999694824219
2022-06-30,15.579999923706055
2022-07-01,15.75
2022-07-05,15.630000114440918
2022-07-06,15.579999923706055
2022-07-07,15.84000015258789
2022-07-08,15.75
2022-07-11,15.399999618530273
2022-07-12,15.649999618530273
2022-07-13,15.489999771118164
2022-07-14,15.239999771118164
2022-07-15,15.729999542236328
2022-07-18,15.710000038146973
2022-07-19,16.309999465942383
2022-07-20,16.6200008392334
2022-07-21,16.829999923706055
2022-07-22,16.8799991607666
2022-07-25,16.899999618530273
2022-07-26,16.700000762939453
2022-07-27,17.049999237060547
2022-07-28,17.100000381469727
2022-07-29,17.139999389648438
2022-08-01,17.1299991607666
2022-08-02,17.0
2022-08-03,17.510000228881836
2022-08-04,17.3799991607666
2022-08-05,17.010000228881836
2022-08-08,17.3700008392334
2022-08-09,18.270000457763672
2022-08-10,18.450000762939453
2022-08-11,18.670000076293945
2022-08-12,18.829999923706055
2022-08-15,18.489999771118164
2022-08-16,18.59000015258789
2022-08-17,18.329999923706055
2022-08-18,18.280000686645508
2022-08-19,17.899999618530273
