Date,LEN
2022-02-28,89.87999725341797
2022-03-01,90.33999633789062
2022-03-02,92.05000305175781
2022-03-03,89.88999938964844
2022-03-04,89.13999938964844
2022-03-07,83.26000213623047
2022-03-08,83.75
2022-03-09,87.5
2022-03-10,88.08999633789062
2022-03-11,86.56999969482422
2022-03-14,83.33999633789062
2022-03-15,86.2699966430664
2022-03-16,88.51000213623047
2022-03-17,89.29000091552734
2022-03-18,92.54000091552734
2022-03-21,88.22000122070312
2022-03-22,88.33000183105469
2022-03-23,84.87000274658203
2022-03-24,83.87999725341797
2022-03-25,82.77999877929688
2022-03-28,82.51000213623047
2022-03-29,85.73999786376953
2022-03-30,84.1500015258789
2022-03-31,81.16999816894531
2022-04-01,82.33000183105469
2022-04-04,82.30999755859375
2022-04-05,78.87000274658203
2022-04-06,75.44999694824219
2022-04-07,74.66999816894531
2022-04-08,74.91999816894531
2022-04-11,76.31999969482422
2022-04-12,76.51000213623047
2022-04-13,77.97000122070312
2022-04-14,76.7699966430664
2022-04-18,76.0199966430664
2022-04-19,79.55000305175781
2022-04-20,79.80999755859375
2022-04-21,79.0199966430664
2022-04-22,76.9800033569336
2022-04-25,79.5999984741211
2022-04-26,77.22000122070312
2022-04-27,75.79000091552734
2022-04-28,78.58999633789062
2022-04-29,76.48999786376953
2022-05-02,77.87999725341797
2022-05-03,79.19000244140625
2022-05-04,83.43000030517578
2022-05-05,78.80000305175781
2022-05-06,78.54000091552734
2022-05-09,77.27999877929688
2022-05-10,75.76000213623047
2022-05-11,71.30000305175781
2022-05-12,74.37000274658203
2022-05-13,76.76000213623047
2022-05-16,75.38999938964844
2022-05-17,77.5199966430664
2022-05-18,72.4000015258789
2022-05-19,72.66999816894531
2022-05-20,74.44000244140625
2022-05-23,74.1500015258789
2022-05-24,71.98999786376953
2022-05-25,75.7300033569336
2022-05-26,78.91000366210938
2022-05-27,81.16999816894531
2022-05-31,80.25
2022-06-01,79.62999725341797
2022-06-02,80.1500015258789
2022-06-03,80.19000244140625
2022-06-06,81.05999755859375
2022-06-07,81.20999908447266
2022-06-08,79.13999938964844
2022-06-09,78.68000030517578
2022-06-10,74.44999694824219
2022-06-13,70.01000213623047
2022-06-14,69.13999938964844
2022-06-15,68.97000122070312
2022-06-16,64.48999786376953
2022-06-17,64.62999725341797
2022-06-21,65.6500015258789
2022-06-22,67.66000366210938
2022-06-23,70.70999908447266
2022-06-24,71.93000030517578
2022-06-27,71.98999786376953
2022-06-28,69.73999786376953
2022-06-29,69.63999938964844
2022-06-30,70.56999969482422
2022-07-01,74.5999984741211
2022-07-05,77.38999938964844
2022-07-06,76.62999725341797
2022-07-07,77.69999694824219
2022-07-08,78.38999938964844
2022-07-11,78.69999694824219
2022-07-12,78.29000091552734
2022-07-13,78.80000305175781
2022-07-14,77.54000091552734
2022-07-15,78.08999633789062
2022-07-18,77.26000213623047
2022-07-19,79.3499984741211
2022-07-20,79.16999816894531
2022-07-21,82.08000183105469
2022-07-22,83.08000183105469
2022-07-25,81.61000061035156
2022-07-26,81.04000091552734
2022-07-27,83.58000183105469
2022-07-28,85.19999694824219
2022-07-29,85.0
2022-08-01,85.2300033569336
2022-08-02,82.0
2022-08-03,82.55999755859375
2022-08-04,85.4000015258789
2022-08-05,84.7300033569336
2022-08-08,86.66999816894531
2022-08-09,84.2699966430664
2022-08-10,87.27999877929688
2022-08-11,87.76000213623047
2022-08-12,88.2699966430664
2022-08-15,88.08000183105469
2022-08-16,88.06999969482422
2022-08-17,86.20999908447266
2022-08-18,85.6500015258789
2022-08-19,83.83999633789062
2022-08-22,82.25
2022-08-23,82.11000061035156
2022-08-24,83.80000305175781
2022-08-25,84.9000015258789
2022-08-26,80.33000183105469
2022-08-29,79.9000015258789
2022-08-30,78.91999816894531
2022-08-31,77.44999694824219
2022-09-01,77.48999786376953
2022-09-02,77.87000274658203
2022-09-06,76.54000091552734
2022-09-07,77.9000015258789
2022-09-08,78.41000366210938
2022-09-09,79.81999969482422
2022-09-12,80.61000061035156
2022-09-13,74.2300033569336
2022-09-14,73.44000244140625
2022-09-15,73.81999969482422
2022-09-16,75.79000091552734
2022-09-19,78.47000122070312
2022-09-20,76.87999725341797
2022-09-21,75.91999816894531
2022-09-22,77.43000030517578
2022-09-23,77.06999969482422
2022-09-26,73.69999694824219
2022-09-27,73.47000122070312
2022-09-28,77.4800033569336
2022-09-29,74.97000122070312
2022-09-30,74.55000305175781
2022-10-03,78.16000366210938
2022-10-04,80.91000366210938
2022-10-05,79.8499984741211
2022-10-06,80.16000366210938
2022-10-07,78.11000061035156
2022-10-10,78.18000030517578
2022-10-11,78.16000366210938
2022-10-12,76.51000213623047
2022-10-13,76.12000274658203
2022-10-14,73.45999908447266
2022-10-17,74.48999786376953
2022-10-18,76.87000274658203
2022-10-19,72.29000091552734
2022-10-20,71.37999725341797
2022-10-21,73.43000030517578
2022-10-24,74.44000244140625
2022-10-25,78.5999984741211
2022-10-26,78.79000091552734
2022-10-27,79.45999908447266
2022-10-28,82.04000091552734
2022-10-31,80.69999694824219
2022-11-01,81.62000274658203
2022-11-02,80.0
2022-11-03,79.0
2022-11-04,79.61000061035156
2022-11-07,79.25
2022-11-08,77.7699966430664
2022-11-09,78.52999877929688
2022-11-10,88.4000015258789
2022-11-11,88.02999877929688
2022-11-14,85.73999786376953
2022-11-15,87.75
2022-11-16,86.44999694824219
2022-11-17,85.08999633789062
2022-11-18,84.70999908447266
2022-11-21,83.44000244140625
2022-11-22,85.12000274658203
2022-11-23,86.45999908447266
