Date,PNC
2022-02-28,199.25
2022-03-01,187.19000244140625
2022-03-02,193.6999969482422
2022-03-03,191.58999633789062
2022-03-04,184.8699951171875
2022-03-07,178.6999969482422
2022-03-08,181.60000610351562
2022-03-09,186.75
2022-03-10,184.9600067138672
2022-03-11,182.14999389648438
2022-03-14,183.36000061035156
2022-03-15,185.24000549316406
2022-03-16,192.38999938964844
2022-03-17,193.07000732421875
2022-03-18,192.97000122070312
2022-03-21,193.00999450683594
2022-03-22,197.3699951171875
2022-03-23,192.6699981689453
2022-03-24,193.25
2022-03-25,196.47000122070312
2022-03-28,194.7100067138672
2022-03-29,194.05999755859375
2022-03-30,190.72999572753906
2022-03-31,184.4499969482422
2022-04-01,181.13999938964844
2022-04-04,182.80999755859375
2022-04-05,182.38999938964844
2022-04-06,180.9600067138672
2022-04-07,181.3800048828125
2022-04-08,184.6999969482422
2022-04-11,183.97999572753906
2022-04-12,179.75
2022-04-13,178.44000244140625
2022-04-14,175.0
2022-04-18,175.75
2022-04-19,178.0500030517578
2022-04-20,179.63999938964844
2022-04-21,177.5800018310547
2022-04-22,173.25
2022-04-25,172.5
2022-04-26,169.4600067138672
2022-04-27,170.42999267578125
2022-04-28,171.0800018310547
2022-04-29,166.10000610351562
2022-05-02,167.5399932861328
2022-05-03,169.66000366210938
2022-05-04,173.72000122070312
2022-05-05,168.8699951171875
2022-05-06,166.6199951171875
2022-05-09,163.6699981689453
2022-05-10,161.83999633789062
2022-05-11,159.8300018310547
2022-05-12,159.3000030517578
2022-05-13,157.44000244140625
2022-05-16,155.27000427246094
2022-05-17,160.42999267578125
2022-05-18,155.92999267578125
2022-05-19,154.75
2022-05-20,155.97999572753906
2022-05-23,162.1699981689453
2022-05-24,163.25999450683594
2022-05-25,167.6300048828125
2022-05-26,172.9499969482422
2022-05-27,175.0500030517578
2022-05-31,175.41000366210938
2022-06-01,172.44000244140625
2022-06-02,175.50999450683594
2022-06-03,173.3000030517578
2022-06-06,173.0800018310547
2022-06-07,173.1999969482422
2022-06-08,169.89999389648438
2022-06-09,163.0
2022-06-10,158.3300018310547
2022-06-13,155.52999877929688
2022-06-14,155.66000366210938
2022-06-15,156.50999450683594
2022-06-16,151.47999572753906
2022-06-17,154.08999633789062
2022-06-21,156.49000549316406
2022-06-22,156.61000061035156
2022-06-23,155.8000030517578
2022-06-24,162.83999633789062
2022-06-27,161.4499969482422
2022-06-28,159.75
2022-06-29,157.3699951171875
2022-06-30,157.77000427246094
2022-07-01,161.3000030517578
2022-07-05,161.08999633789062
2022-07-06,160.02999877929688
2022-07-07,162.30999755859375
2022-07-08,161.3800048828125
