Date,COST
2022-02-28,519.25
2022-03-01,522.9299926757812
2022-03-02,528.0
2022-03-03,533.0499877929688
2022-03-04,525.5
2022-03-07,528.52001953125
2022-03-08,523.3599853515625
2022-03-09,527.6500244140625
2022-03-10,532.719970703125
2022-03-11,527.4199829101562
2022-03-14,525.9500122070312
2022-03-15,542.3200073242188
2022-03-16,543.3900146484375
2022-03-17,552.7899780273438
2022-03-18,561.3499755859375
2022-03-21,555.530029296875
2022-03-22,559.4199829101562
2022-03-23,554.02001953125
2022-03-24,558.1099853515625
2022-03-25,555.7100219726562
2022-03-28,565.2100219726562
2022-03-29,569.97998046875
2022-03-30,576.469970703125
2022-03-31,575.8499755859375
2022-04-01,575.5700073242188
2022-04-04,575.1300048828125
2022-04-05,575.3200073242188
2022-04-06,584.7899780273438
2022-04-07,608.0499877929688
2022-04-08,600.0399780273438
2022-04-11,584.6699829101562
2022-04-12,581.3599853515625
2022-04-13,591.0900268554688
2022-04-14,590.3900146484375
2022-04-18,582.1199951171875
2022-04-19,594.2999877929688
2022-04-20,603.530029296875
2022-04-21,591.739990234375
2022-04-22,571.7000122070312
2022-04-25,568.2100219726562
2022-04-26,553.760009765625
2022-04-27,554.0800170898438
2022-04-28,562.0
2022-04-29,531.719970703125
2022-05-02,528.9500122070312
2022-05-03,528.0800170898438
2022-05-04,544.4299926757812
2022-05-05,517.3200073242188
2022-05-06,503.3599853515625
2022-05-09,498.8299865722656
2022-05-10,501.4599914550781
2022-05-11,489.0799865722656
2022-05-12,486.17999267578125
2022-05-13,497.2699890136719
2022-05-16,494.5299987792969
2022-05-17,490.4700012207031
2022-05-18,429.3999938964844
2022-05-19,422.92999267578125
2022-05-20,416.42999267578125
2022-05-23,429.4800109863281
2022-05-24,437.7099914550781
2022-05-25,440.1099853515625
2022-05-26,464.989990234375
2022-05-27,470.760009765625
2022-05-31,466.2200012207031
2022-06-01,456.989990234375
2022-06-02,487.6099853515625
2022-06-03,476.25
2022-06-06,472.4700012207031
2022-06-07,471.7799987792969
2022-06-08,467.989990234375
2022-06-09,472.04998779296875
2022-06-10,463.30999755859375
2022-06-13,452.25
2022-06-14,454.79998779296875
2022-06-15,458.7900085449219
2022-06-16,451.760009765625
2022-06-17,446.69000244140625
2022-06-21,463.1099853515625
2022-06-22,459.9599914550781
2022-06-23,475.0
2022-06-24,484.3699951171875
2022-06-27,481.75
2022-06-28,468.6099853515625
2022-06-29,469.8399963378906
2022-06-30,479.2799987792969
2022-07-01,485.760009765625
2022-07-05,488.260009765625
2022-07-06,492.6499938964844
2022-07-07,494.95001220703125
2022-07-08,501.5400085449219
2022-07-11,498.8999938964844
2022-07-12,490.57000732421875
2022-07-13,492.2200012207031
2022-07-14,511.94000244140625
2022-07-15,522.9500122070312
2022-07-18,516.2999877929688
2022-07-19,520.22998046875
2022-07-20,524.2000122070312
2022-07-21,529.4600219726562
2022-07-22,529.719970703125
2022-07-25,529.1400146484375
2022-07-26,511.92999267578125
2022-07-27,522.3099975585938
2022-07-28,536.1799926757812
2022-07-29,541.2999877929688
2022-08-01,546.8099975585938
2022-08-02,543.4600219726562
2022-08-03,547.010009765625
2022-08-04,543.280029296875
2022-08-05,540.6699829101562
2022-08-08,541.9000244140625
2022-08-09,535.8200073242188
2022-08-10,539.8200073242188
2022-08-11,532.2000122070312
2022-08-12,537.2100219726562
2022-08-15,545.75
2022-08-16,553.02001953125
2022-08-17,556.3200073242188
2022-08-18,560.9600219726562
2022-08-19,554.530029296875
2022-08-22,545.469970703125
2022-08-23,542.0700073242188
2022-08-24,543.219970703125
2022-08-25,550.77001953125
2022-08-26,531.8200073242188
2022-08-29,531.0599975585938
2022-08-30,524.1400146484375
2022-08-31,522.0999755859375
2022-09-01,529.1699829101562
2022-09-02,519.1099853515625
2022-09-06,518.9000244140625
2022-09-07,529.6400146484375
2022-09-08,529.1199951171875
2022-09-09,536.5800170898438
2022-09-12,539.52001953125
2022-09-13,510.29998779296875
2022-09-14,508.0
2022-09-15,503.5
2022-09-16,504.1400146484375
2022-09-19,506.57000732421875
2022-09-20,499.5199890136719
2022-09-21,493.07000732421875
2022-09-22,487.1700134277344
2022-09-23,466.3999938964844
2022-09-26,480.29998779296875
2022-09-27,478.29998779296875
2022-09-28,488.2900085449219
2022-09-29,478.9800109863281
2022-09-30,472.2699890136719
2022-10-03,477.7300109863281
2022-10-04,486.1300048828125
2022-10-05,480.32000732421875
2022-10-06,482.489990234375
2022-10-07,468.1499938964844
2022-10-10,466.30999755859375
2022-10-11,472.0199890136719
2022-10-12,466.3800048828125
2022-10-13,467.989990234375
2022-10-14,454.6499938964844
2022-10-17,464.1700134277344
2022-10-18,473.2699890136719
2022-10-19,471.42999267578125
2022-10-20,464.6199951171875
2022-10-21,478.17999267578125
2022-10-24,496.9700012207031
2022-10-25,499.05999755859375
2022-10-26,499.45001220703125
2022-10-27,496.5400085449219
2022-10-28,510.8699951171875
2022-10-31,501.5
2022-11-01,499.9599914550781
2022-11-02,483.510009765625
2022-11-03,486.2900085449219
2022-11-04,486.4100036621094
2022-11-07,488.54998779296875
2022-11-08,492.760009765625
2022-11-09,489.9700012207031
2022-11-10,513.1300048828125
2022-11-11,515.469970703125
2022-11-14,509.67999267578125
2022-11-15,526.469970703125
2022-11-16,524.1099853515625
2022-11-17,521.3200073242188
2022-11-18,523.6699829101562
2022-11-21,523.3699951171875
2022-11-22,531.9500122070312
2022-11-23,534.489990234375
2022-11-25,533.6599731445312
2022-11-28,530.9199829101562
2022-11-29,528.9600219726562
2022-11-30,539.25
2022-12-01,503.8599853515625
2022-12-02,494.5299987792969
2022-12-05,488.6600036621094
2022-12-06,481.1600036621094
2022-12-07,481.9700012207031
2022-12-08,481.4200134277344
2022-12-09,483.0199890136719
2022-12-12,487.67999267578125
2022-12-13,488.20001220703125
2022-12-14,483.5199890136719
2022-12-15,463.9100036621094
2022-12-16,461.45001220703125
2022-12-19,458.6300048828125
2022-12-20,457.82000732421875
2022-12-21,462.05999755859375
2022-12-22,458.7099914550781
2022-12-23,462.6499938964844
2022-12-27,458.5
2022-12-28,452.989990234375
2022-12-29,456.5299987792969
2022-12-30,456.5
2023-01-03,453.2799987792969
2023-01-04,456.55999755859375
2023-01-05,450.19000244140625
2023-01-06,482.8699951171875
2023-01-09,478.75
2023-01-10,481.3999938964844
2023-01-11,484.30999755859375
2023-01-12,482.42999267578125
2023-01-13,485.25
2023-01-17,486.7699890136719
2023-01-18,479.4700012207031
2023-01-19,469.489990234375
2023-01-20,480.1099853515625
2023-01-23,492.6099853515625
2023-01-24,492.1099853515625
2023-01-25,490.8800048828125
2023-01-26,498.29998779296875
2023-01-27,503.2900085449219
2023-01-30,503.2799987792969
2023-01-31,511.1400146484375
2023-02-01,517.9099731445312
2023-02-02,523.4299926757812
2023-02-03,514.7999877929688
2023-02-06,515.5900268554688
2023-02-07,516.530029296875
2023-02-08,503.80999755859375
2023-02-09,500.6300048828125
2023-02-10,499.989990234375
2023-02-13,506.45001220703125
2023-02-14,503.2200012207031
2023-02-15,511.2799987792969
2023-02-16,504.1000061035156
2023-02-17,507.4800109863281
2023-02-21,501.739990234375
2023-02-22,497.3900146484375
2023-02-23,493.1400146484375
2023-02-24,488.6099853515625
2023-02-27,487.0299987792969
2023-02-28,484.17999267578125
2023-03-01,478.6700134277344
2023-03-02,485.69000244140625
2023-03-03,475.260009765625
2023-03-06,483.0799865722656
2023-03-07,485.1499938964844
2023-03-08,486.0400085449219
2023-03-09,479.5199890136719
2023-03-10,471.1400146484375
2023-03-13,472.0
2023-03-14,481.9200134277344
2023-03-15,485.6600036621094
2023-03-16,487.260009765625
2023-03-17,487.04998779296875
2023-03-20,489.2900085449219
2023-03-21,490.8500061035156
2023-03-22,487.5199890136719
2023-03-23,487.760009765625
2023-03-24,495.2699890136719
2023-03-27,493.2200012207031
2023-03-28,486.7699890136719
2023-03-29,490.8699951171875
2023-03-30,491.4800109863281
2023-03-31,496.8699951171875
2023-04-03,497.0299987792969
2023-04-04,497.7300109863281
2023-04-05,497.1300048828125
2023-04-06,485.9800109863281
2023-04-10,493.8299865722656
2023-04-11,498.6499938964844
2023-04-12,489.3500061035156
2023-04-13,497.8900146484375
2023-04-14,491.29998779296875
2023-04-17,493.94000244140625
2023-04-18,496.8999938964844
2023-04-19,496.0299987792969
2023-04-20,505.5799865722656
2023-04-21,506.3500061035156
2023-04-24,511.4200134277344
2023-04-25,503.1700134277344
2023-04-26,494.6600036621094
2023-04-27,501.2699890136719
2023-04-28,503.2200012207031
2023-05-01,493.5899963378906
2023-05-02,494.80999755859375
2023-05-03,490.05999755859375
2023-05-04,490.3399963378906
2023-05-05,499.05999755859375
2023-05-08,499.05999755859375
2023-05-09,500.7900085449219
2023-05-10,499.6600036621094
2023-05-11,501.8900146484375
2023-05-12,504.07000732421875
2023-05-15,502.0400085449219
2023-05-16,496.1499938964844
2023-05-17,495.0
2023-05-18,498.1000061035156
2023-05-19,496.5199890136719
2023-05-22,491.8699951171875
2023-05-23,484.8699951171875
2023-05-24,482.760009765625
2023-05-25,486.54998779296875
2023-05-26,507.260009765625
2023-05-30,508.0299987792969
2023-05-31,511.55999755859375
2023-06-01,512.5999755859375
2023-06-02,512.5900268554688
2023-06-05,518.25
2023-06-06,516.260009765625
2023-06-07,511.2300109863281
2023-06-08,520.0900268554688
2023-06-09,517.280029296875
2023-06-12,520.969970703125
2023-06-13,522.02001953125
2023-06-14,527.2000122070312
2023-06-15,529.1799926757812
2023-06-16,523.6500244140625
2023-06-20,519.7000122070312
2023-06-21,519.6199951171875
2023-06-22,524.2000122070312
2023-06-23,524.4400024414062
2023-06-26,523.4199829101562
2023-06-27,530.3300170898438
2023-06-28,532.7999877929688
2023-06-29,531.6900024414062
2023-06-30,538.3800048828125
2023-07-03,541.0399780273438
