Date,TMUS
2022-02-28,123.20999908447266
2022-03-01,123.12999725341797
2022-03-02,125.61000061035156
2022-03-03,123.91999816894531
2022-03-04,123.2300033569336
2022-03-07,122.30999755859375
2022-03-08,119.27999877929688
2022-03-09,121.95999908447266
2022-03-10,123.54000091552734
2022-03-11,124.56999969482422
2022-03-14,124.06999969482422
2022-03-15,126.27999877929688
2022-03-16,127.76000213623047
2022-03-17,128.9499969482422
2022-03-18,127.18000030517578
2022-03-21,125.97000122070312
2022-03-22,125.69000244140625
2022-03-23,124.83000183105469
2022-03-24,125.69000244140625
2022-03-25,124.29000091552734
2022-03-28,126.48999786376953
2022-03-29,128.42999267578125
2022-03-30,128.61000061035156
2022-03-31,128.35000610351562
2022-04-01,130.75999450683594
2022-04-04,132.58999633789062
2022-04-05,131.9600067138672
2022-04-06,133.7100067138672
2022-04-07,133.27999877929688
2022-04-08,132.83999633789062
2022-04-11,130.4199981689453
2022-04-12,131.44000244140625
2022-04-13,134.85000610351562
2022-04-14,132.9600067138672
2022-04-18,130.75999450683594
2022-04-19,132.83999633789062
2022-04-20,132.6999969482422
2022-04-21,132.10000610351562
2022-04-22,128.6300048828125
2022-04-25,128.80999755859375
2022-04-26,124.95999908447266
2022-04-27,129.83999633789062
2022-04-28,132.2899932861328
2022-04-29,123.13999938964844
2022-05-02,126.4000015258789
2022-05-03,126.25
2022-05-04,132.3699951171875
2022-05-05,129.55999755859375
2022-05-06,126.80000305175781
2022-05-09,121.7300033569336
2022-05-10,123.0
2022-05-11,123.27999877929688
2022-05-12,124.02999877929688
2022-05-13,126.33000183105469
2022-05-16,126.55000305175781
2022-05-17,128.6199951171875
2022-05-18,125.23999786376953
2022-05-19,125.87999725341797
2022-05-20,126.04000091552734
2022-05-23,129.88999938964844
2022-05-24,129.22000122070312
2022-05-25,131.44000244140625
2022-05-26,132.74000549316406
2022-05-27,134.11000061035156
2022-05-31,133.2899932861328
2022-06-01,134.55999755859375
2022-06-02,135.8000030517578
2022-06-03,136.61000061035156
2022-06-06,137.1699981689453
2022-06-07,138.58999633789062
2022-06-08,135.2100067138672
2022-06-09,133.02000427246094
2022-06-10,130.50999450683594
2022-06-13,124.62000274658203
2022-06-14,124.9000015258789
2022-06-15,126.5199966430664
2022-06-16,124.27999877929688
2022-06-17,127.58999633789062
