Date,MPWR
2022-02-28,458.70001220703125
2022-03-01,436.6000061035156
2022-03-02,453.45001220703125
2022-03-03,430.0
2022-03-04,413.7799987792969
2022-03-07,381.5
2022-03-08,394.44000244140625
2022-03-09,418.1600036621094
2022-03-10,409.05999755859375
2022-03-11,395.739990234375
2022-03-14,385.010009765625
2022-03-15,421.82000732421875
2022-03-16,440.67999267578125
2022-03-17,451.239990234375
2022-03-18,469.8800048828125
2022-03-21,464.42999267578125
2022-03-22,470.1499938964844
2022-03-23,463.7200012207031
2022-03-24,494.6199951171875
2022-03-25,491.5199890136719
2022-03-28,499.4200134277344
2022-03-29,512.2100219726562
2022-03-30,488.3999938964844
2022-03-31,485.67999267578125
2022-04-01,463.6000061035156
2022-04-04,474.5299987792969
2022-04-05,439.3800048828125
2022-04-06,431.25
2022-04-07,436.30999755859375
2022-04-08,411.5899963378906
2022-04-11,396.1099853515625
2022-04-12,401.0400085449219
2022-04-13,420.6400146484375
2022-04-14,409.3800048828125
2022-04-18,425.9200134277344
2022-04-19,437.45001220703125
2022-04-20,432.19000244140625
2022-04-21,415.55999755859375
2022-04-22,404.2099914550781
2022-04-25,420.1700134277344
2022-04-26,394.3699951171875
2022-04-27,392.3800048828125
2022-04-28,412.489990234375
2022-04-29,392.239990234375
2022-05-02,410.8699951171875
2022-05-03,457.4800109863281
2022-05-04,479.19000244140625
2022-05-05,451.9800109863281
2022-05-06,444.94000244140625
2022-05-09,406.739990234375
2022-05-10,412.7900085449219
2022-05-11,386.7099914550781
2022-05-12,388.4200134277344
2022-05-13,431.6700134277344
2022-05-16,417.0
2022-05-17,443.1000061035156
2022-05-18,411.3599853515625
2022-05-19,416.69000244140625
2022-05-20,418.1199951171875
2022-05-23,418.75
2022-05-24,388.44000244140625
2022-05-25,401.6099853515625
2022-05-26,421.6700134277344
2022-05-27,455.8500061035156
2022-05-31,450.3900146484375
2022-06-01,448.25
2022-06-02,472.29998779296875
2022-06-03,457.4599914550781
2022-06-06,466.1000061035156
2022-06-07,473.44000244140625
2022-06-08,457.8999938964844
2022-06-09,444.0799865722656
2022-06-10,423.6199951171875
2022-06-13,389.6400146484375
2022-06-14,407.1600036621094
2022-06-15,416.19000244140625
2022-06-16,387.1199951171875
2022-06-17,398.55999755859375
2022-06-21,412.8399963378906
2022-06-22,400.4599914550781
2022-06-23,399.6499938964844
2022-06-24,419.4100036621094
2022-06-27,416.8599853515625
2022-06-28,397.1300048828125
2022-06-29,392.4100036621094
2022-06-30,384.0400085449219
2022-07-01,364.95001220703125
2022-07-05,368.760009765625
2022-07-06,369.1000061035156
2022-07-07,386.69000244140625
2022-07-08,395.4800109863281
2022-07-11,389.6499938964844
2022-07-12,385.3699951171875
2022-07-13,387.45001220703125
2022-07-14,395.9800109863281
2022-07-15,410.25
2022-07-18,409.0400085449219
2022-07-19,426.239990234375
2022-07-20,442.0899963378906
2022-07-21,456.0299987792969
2022-07-22,436.44000244140625
2022-07-25,430.2799987792969
2022-07-26,422.1099853515625
2022-07-27,451.010009765625
2022-07-28,460.1099853515625
2022-07-29,464.7200012207031
2022-08-01,462.29998779296875
2022-08-02,505.7200012207031
2022-08-03,526.1199951171875
2022-08-04,530.9600219726562
2022-08-05,532.3300170898438
2022-08-08,535.52001953125
2022-08-09,511.05999755859375
2022-08-10,532.010009765625
2022-08-11,517.969970703125
2022-08-12,527.75
2022-08-15,536.8800048828125
2022-08-16,531.4099731445312
2022-08-17,520.5
2022-08-18,527.239990234375
2022-08-19,511.6499938964844
2022-08-22,491.6400146484375
2022-08-23,497.510009765625
2022-08-24,497.1099853515625
2022-08-25,514.4299926757812
2022-08-26,476.6199951171875
2022-08-29,461.760009765625
2022-08-30,463.1700134277344
2022-08-31,453.17999267578125
2022-09-01,425.4700012207031
2022-09-02,424.4200134277344
2022-09-06,418.8900146484375
2022-09-07,427.19000244140625
2022-09-08,438.7799987792969
2022-09-09,447.20001220703125
2022-09-12,446.9200134277344
2022-09-13,422.3299865722656
2022-09-14,429.7099914550781
2022-09-15,418.8800048828125
2022-09-16,417.9599914550781
2022-09-19,417.6600036621094
2022-09-20,410.8399963378906
2022-09-21,403.8599853515625
2022-09-22,381.7099914550781
2022-09-23,371.239990234375
2022-09-26,367.3500061035156
2022-09-27,372.6600036621094
2022-09-28,379.3299865722656
2022-09-29,365.3999938964844
2022-09-30,363.3999938964844
2022-10-03,377.0
2022-10-04,394.010009765625
2022-10-05,399.8399963378906
2022-10-06,395.3500061035156
2022-10-07,362.6000061035156
2022-10-10,344.3399963378906
2022-10-11,328.010009765625
2022-10-12,322.9800109863281
2022-10-13,331.9599914550781
2022-10-14,309.20001220703125
2022-10-17,316.1700134277344
2022-10-18,315.6000061035156
2022-10-19,314.8299865722656
2022-10-20,317.44000244140625
2022-10-21,332.8299865722656
2022-10-24,330.989990234375
2022-10-25,342.1600036621094
2022-10-26,333.3299865722656
2022-10-27,329.4800109863281
2022-10-28,346.79998779296875
2022-10-31,339.45001220703125
2022-11-01,348.8800048828125
2022-11-02,334.5400085449219
2022-11-03,334.20001220703125
2022-11-04,351.739990234375
2022-11-07,352.9599914550781
2022-11-08,356.1499938964844
2022-11-09,343.8399963378906
2022-11-10,386.8699951171875
2022-11-11,393.3699951171875
2022-11-14,387.9700012207031
2022-11-15,405.0299987792969
2022-11-16,375.3800048828125
2022-11-17,376.0400085449219
2022-11-18,377.30999755859375
2022-11-21,368.2799987792969
2022-11-22,374.0199890136719
2022-11-23,375.69000244140625
2022-11-25,369.2799987792969
2022-11-28,355.489990234375
