Date,SBAC
2022-02-28,303.3900146484375
2022-03-01,316.69000244140625
2022-03-02,321.1400146484375
2022-03-03,326.0299987792969
2022-03-04,330.8999938964844
2022-03-07,331.8999938964844
2022-03-08,324.8999938964844
2022-03-09,326.19000244140625
2022-03-10,328.7799987792969
2022-03-11,320.8800048828125
2022-03-14,320.70001220703125
2022-03-15,322.239990234375
2022-03-16,325.8599853515625
2022-03-17,330.07000732421875
2022-03-18,330.6300048828125
2022-03-21,327.6000061035156
2022-03-22,322.7300109863281
2022-03-23,320.4800109863281
2022-03-24,325.4100036621094
2022-03-25,328.989990234375
2022-03-28,333.8900146484375
2022-03-29,340.760009765625
2022-03-30,342.9800109863281
2022-03-31,344.1000061035156
2022-04-01,350.6000061035156
2022-04-04,355.0799865722656
2022-04-05,360.57000732421875
2022-04-06,370.0899963378906
2022-04-07,369.2900085449219
2022-04-08,372.7200012207031
2022-04-11,361.29998779296875
2022-04-12,354.4800109863281
2022-04-13,354.6099853515625
2022-04-14,355.3800048828125
2022-04-18,355.9599914550781
2022-04-19,360.9100036621094
2022-04-20,372.07000732421875
2022-04-21,370.1600036621094
2022-04-22,366.3599853515625
2022-04-25,359.94000244140625
2022-04-26,351.20001220703125
2022-04-27,348.8699951171875
2022-04-28,359.239990234375
2022-04-29,347.1099853515625
2022-05-02,337.8800048828125
2022-05-03,348.8999938964844
2022-05-04,351.739990234375
2022-05-05,342.3699951171875
2022-05-06,342.0899963378906
2022-05-09,323.1000061035156
2022-05-10,315.3399963378906
2022-05-11,315.04998779296875
2022-05-12,323.3999938964844
2022-05-13,334.1700134277344
2022-05-16,328.42999267578125
2022-05-17,325.3699951171875
2022-05-18,314.0899963378906
2022-05-19,319.1099853515625
2022-05-20,326.6199951171875
2022-05-23,334.1000061035156
2022-05-24,347.07000732421875
2022-05-25,346.3599853515625
2022-05-26,338.45001220703125
2022-05-27,347.55999755859375
2022-05-31,336.6099853515625
2022-06-01,331.0799865722656
2022-06-02,335.9700012207031
2022-06-03,329.55999755859375
2022-06-06,333.6700134277344
2022-06-07,337.8399963378906
2022-06-08,337.8399963378906
2022-06-09,333.6499938964844
2022-06-10,325.5299987792969
2022-06-13,308.70001220703125
2022-06-14,297.05999755859375
2022-06-15,301.3900146484375
2022-06-16,290.8699951171875
2022-06-17,292.0400085449219
2022-06-21,303.239990234375
2022-06-22,311.739990234375
2022-06-23,325.8399963378906
2022-06-24,327.7300109863281
2022-06-27,324.4200134277344
2022-06-28,315.010009765625
2022-06-29,317.2300109863281
2022-06-30,320.04998779296875
2022-07-01,330.4599914550781
2022-07-05,324.7099914550781
2022-07-06,327.1300048828125
2022-07-07,326.3299865722656
2022-07-08,324.2099914550781
2022-07-11,324.30999755859375
2022-07-12,318.42999267578125
2022-07-13,320.05999755859375
2022-07-14,318.010009765625
2022-07-15,320.75
2022-07-18,313.510009765625
2022-07-19,322.7699890136719
2022-07-20,314.8599853515625
2022-07-21,320.5400085449219
2022-07-22,320.80999755859375
2022-07-25,320.44000244140625
2022-07-26,323.8599853515625
2022-07-27,320.4599914550781
2022-07-28,334.6700134277344
2022-07-29,335.7900085449219
2022-08-01,332.8500061035156
2022-08-02,338.1700134277344
2022-08-03,343.8699951171875
2022-08-04,346.2799987792969
2022-08-05,345.3999938964844
2022-08-08,344.9800109863281
2022-08-09,345.57000732421875
2022-08-10,350.3599853515625
2022-08-11,343.489990234375
2022-08-12,350.0400085449219
2022-08-15,355.1300048828125
2022-08-16,348.0299987792969
2022-08-17,346.7699890136719
2022-08-18,344.3699951171875
2022-08-19,344.489990234375
