Date,LLY
2022-02-28,249.9499969482422
2022-03-01,249.5
2022-03-02,254.1699981689453
2022-03-03,258.6400146484375
2022-03-04,262.8699951171875
2022-03-07,261.6400146484375
2022-03-08,259.92999267578125
2022-03-09,262.7900085449219
2022-03-10,266.0199890136719
2022-03-11,266.29998779296875
2022-03-14,269.0
2022-03-15,275.4599914550781
2022-03-16,276.44000244140625
2022-03-17,285.510009765625
2022-03-18,287.6400146484375
2022-03-21,289.6400146484375
2022-03-22,285.0199890136719
2022-03-23,284.19000244140625
2022-03-24,287.69000244140625
2022-03-25,289.0199890136719
2022-03-28,291.6600036621094
2022-03-29,288.3900146484375
2022-03-30,289.8900146484375
2022-03-31,286.3699951171875
2022-04-01,292.6700134277344
2022-04-04,291.4200134277344
2022-04-05,292.489990234375
2022-04-06,305.8399963378906
2022-04-07,308.42999267578125
2022-04-08,311.69000244140625
2022-04-11,308.9599914550781
2022-04-12,308.0799865722656
2022-04-13,302.6700134277344
2022-04-14,301.8599853515625
2022-04-18,298.82000732421875
2022-04-19,297.010009765625
2022-04-20,292.9200134277344
2022-04-21,289.6099853515625
2022-04-22,278.7300109863281
2022-04-25,285.20001220703125
2022-04-26,282.8299865722656
2022-04-27,285.0899963378906
2022-04-28,297.2699890136719
2022-04-29,292.1300048828125
2022-05-02,289.55999755859375
2022-05-03,288.07000732421875
2022-05-04,294.8999938964844
2022-05-05,292.3699951171875
2022-05-06,296.8999938964844
2022-05-09,289.2300109863281
2022-05-10,285.70001220703125
2022-05-11,286.69000244140625
2022-05-12,291.79998779296875
2022-05-13,291.6300048828125
2022-05-16,299.3800048828125
2022-05-17,301.3999938964844
2022-05-18,295.19000244140625
2022-05-19,286.2699890136719
2022-05-20,298.8500061035156
2022-05-23,302.6000061035156
2022-05-24,305.9599914550781
2022-05-25,307.010009765625
2022-05-26,313.4599914550781
2022-05-27,323.4800109863281
2022-05-31,313.44000244140625
2022-06-01,311.0799865722656
2022-06-02,302.42999267578125
2022-06-03,301.6499938964844
2022-06-06,303.3599853515625
2022-06-07,312.1000061035156
2022-06-08,313.489990234375
2022-06-09,303.25
2022-06-10,297.010009765625
2022-06-13,291.2799987792969
2022-06-14,290.7900085449219
2022-06-15,292.989990234375
2022-06-16,288.07000732421875
2022-06-17,290.8999938964844
2022-06-21,297.3399963378906
2022-06-22,306.69000244140625
2022-06-23,312.7200012207031
2022-06-24,325.6199951171875
2022-06-27,327.2699890136719
2022-06-28,317.6199951171875
2022-06-29,323.0
2022-06-30,324.2300109863281
2022-07-01,324.7099914550781
2022-07-05,327.17999267578125
2022-07-06,330.1499938964844
2022-07-07,327.95001220703125
2022-07-08,330.4700012207031
2022-07-11,331.07000732421875
2022-07-12,323.5899963378906
2022-07-13,322.4599914550781
2022-07-14,326.8900146484375
2022-07-15,331.6000061035156
2022-07-18,321.7699890136719
2022-07-19,326.20001220703125
2022-07-20,322.0299987792969
2022-07-21,326.9200134277344
2022-07-22,328.75
2022-07-25,331.54998779296875
2022-07-26,331.55999755859375
2022-07-27,328.94000244140625
2022-07-28,330.79998779296875
2022-07-29,329.69000244140625
2022-08-01,324.1499938964844
2022-08-02,320.20001220703125
2022-08-03,313.8299865722656
2022-08-04,305.7900085449219
2022-08-05,301.32000732421875
2022-08-08,302.5
2022-08-09,303.0199890136719
2022-08-10,304.6099853515625
2022-08-11,301.1700134277344
2022-08-12,308.0799865722656
2022-08-15,313.94000244140625
2022-08-16,310.30999755859375
2022-08-17,316.82000732421875
2022-08-18,316.7200012207031
2022-08-19,322.7699890136719
2022-08-22,323.1000061035156
2022-08-23,315.1000061035156
2022-08-24,318.8699951171875
2022-08-25,323.1400146484375
2022-08-26,315.55999755859375
2022-08-29,310.1499938964844
2022-08-30,307.0400085449219
2022-08-31,301.2300109863281
2022-09-01,309.1300048828125
2022-09-02,301.3299865722656
2022-09-06,306.82000732421875
2022-09-07,311.6000061035156
2022-09-08,315.5
2022-09-09,317.70001220703125
2022-09-12,315.2200012207031
2022-09-13,306.4800109863281
2022-09-14,309.6099853515625
