Date,EOG
2022-02-28,114.91999816894531
2022-03-01,116.41000366210938
2022-03-02,116.73999786376953
2022-03-03,116.29000091552734
2022-03-04,118.75
2022-03-07,120.1500015258789
2022-03-08,117.80999755859375
2022-03-09,113.7699966430664
2022-03-10,119.87999725341797
2022-03-11,116.68000030517578
2022-03-14,115.83999633789062
2022-03-15,113.81999969482422
2022-03-16,113.0
2022-03-17,117.87000274658203
2022-03-18,115.80000305175781
2022-03-21,122.45999908447266
2022-03-22,120.83000183105469
2022-03-23,123.55000305175781
2022-03-24,121.01000213623047
2022-03-25,124.51000213623047
2022-03-28,120.86000061035156
2022-03-29,120.62999725341797
2022-03-30,121.08999633789062
2022-03-31,119.2300033569336
2022-04-01,120.33000183105469
2022-04-04,120.83000183105469
2022-04-05,117.83000183105469
2022-04-06,118.44999694824219
2022-04-07,120.62000274658203
2022-04-08,126.87999725341797
2022-04-11,121.33999633789062
2022-04-12,124.56999969482422
2022-04-13,123.55999755859375
2022-04-14,122.94000244140625
2022-04-18,123.31999969482422
2022-04-19,121.76000213623047
2022-04-20,122.69000244140625
2022-04-21,119.48999786376953
2022-04-22,116.12000274658203
2022-04-25,111.7699966430664
2022-04-26,111.58999633789062
2022-04-27,112.80999755859375
2022-04-28,117.7699966430664
2022-04-29,116.76000213623047
2022-05-02,116.30999755859375
2022-05-03,120.76000213623047
2022-05-04,124.7699966430664
2022-05-05,123.41999816894531
2022-05-06,132.22000122070312
2022-05-09,117.94000244140625
2022-05-10,119.55999755859375
2022-05-11,121.29000091552734
2022-05-12,120.51000213623047
2022-05-13,124.27999877929688
2022-05-16,126.36000061035156
2022-05-17,127.41999816894531
2022-05-18,122.58000183105469
2022-05-19,121.69999694824219
2022-05-20,122.05000305175781
2022-05-23,128.07000732421875
2022-05-24,129.25
2022-05-25,133.07000732421875
2022-05-26,133.72000122070312
2022-05-27,136.85000610351562
2022-05-31,136.9600067138672
2022-06-01,139.92999267578125
2022-06-02,139.44000244140625
2022-06-03,142.47999572753906
2022-06-06,141.11000061035156
2022-06-07,145.92999267578125
2022-06-08,145.74000549316406
2022-06-09,142.49000549316406
2022-06-10,144.0
2022-06-13,132.72999572753906
2022-06-14,131.25999450683594
