Date,TDG
2022-02-28,666.5900268554688
2022-03-01,654.8300170898438
2022-03-02,675.510009765625
2022-03-03,654.489990234375
2022-03-04,633.0599975585938
2022-03-07,591.969970703125
2022-03-08,596.8300170898438
2022-03-09,633.9299926757812
2022-03-10,633.6799926757812
2022-03-11,623.989990234375
2022-03-14,618.4299926757812
2022-03-15,646.030029296875
2022-03-16,656.0
2022-03-17,663.02001953125
2022-03-18,661.3599853515625
2022-03-21,655.2899780273438
2022-03-22,671.6799926757812
2022-03-23,660.8400268554688
2022-03-24,675.7000122070312
2022-03-25,675.530029296875
2022-03-28,668.6199951171875
2022-03-29,684.2899780273438
2022-03-30,672.3099975585938
2022-03-31,651.5399780273438
2022-04-01,667.0399780273438
2022-04-04,669.3900146484375
2022-04-05,651.4299926757812
2022-04-06,647.989990234375
2022-04-07,651.3900146484375
2022-04-08,640.8200073242188
2022-04-11,633.530029296875
2022-04-12,636.510009765625
2022-04-13,636.1699829101562
2022-04-14,638.47998046875
2022-04-18,633.1900024414062
2022-04-19,643.739990234375
2022-04-20,643.3400268554688
2022-04-21,634.1599731445312
2022-04-22,624.010009765625
2022-04-25,626.6400146484375
2022-04-26,613.7899780273438
2022-04-27,615.260009765625
2022-04-28,618.8300170898438
2022-04-29,594.8099975585938
2022-05-02,602.8800048828125
2022-05-03,604.219970703125
2022-05-04,621.72998046875
2022-05-05,597.6400146484375
2022-05-06,584.1199951171875
2022-05-09,545.6900024414062
2022-05-10,566.239990234375
2022-05-11,570.77001953125
2022-05-12,549.9299926757812
2022-05-13,563.8099975585938
2022-05-16,546.22998046875
2022-05-17,556.8599853515625
2022-05-18,536.510009765625
2022-05-19,541.1400146484375
2022-05-20,550.239990234375
2022-05-23,565.1599731445312
2022-05-24,579.5900268554688
2022-05-25,593.0
2022-05-26,599.75
2022-05-27,612.27001953125
2022-05-31,605.3699951171875
2022-06-01,600.0900268554688
2022-06-02,616.280029296875
2022-06-03,616.3499755859375
2022-06-06,624.3900146484375
2022-06-07,632.9099731445312
2022-06-08,616.719970703125
2022-06-09,607.9000244140625
2022-06-10,581.1300048828125
2022-06-13,545.52001953125
2022-06-14,527.6500244140625
2022-06-15,547.7899780273438
2022-06-16,513.6900024414062
2022-06-17,516.02001953125
2022-06-21,523.6599731445312
2022-06-22,525.5700073242188
2022-06-23,518.8300170898438
2022-06-24,538.75
2022-06-27,533.7999877929688
2022-06-28,532.5999755859375
2022-06-29,525.5800170898438
2022-06-30,536.6699829101562
2022-07-01,541.6900024414062
2022-07-05,527.27001953125
2022-07-06,529.1599731445312
2022-07-07,534.5700073242188
2022-07-08,536.6599731445312
2022-07-11,530.7999877929688
2022-07-12,541.72998046875
2022-07-13,541.969970703125
2022-07-14,534.6099853515625
2022-07-15,538.1599731445312
2022-07-18,541.7000122070312
2022-07-19,574.010009765625
2022-07-20,585.0999755859375
2022-07-21,590.9199829101562
2022-07-22,581.1199951171875
2022-07-25,586.1199951171875
2022-07-26,586.25
2022-07-27,599.6699829101562
2022-07-28,610.27001953125
2022-07-29,622.3400268554688
2022-08-01,630.0
2022-08-02,626.2100219726562
2022-08-03,633.4500122070312
2022-08-04,635.9099731445312
2022-08-05,638.2999877929688
2022-08-08,641.1799926757812
2022-08-09,644.0399780273438
2022-08-10,666.0599975585938
2022-08-11,661.5
2022-08-12,676.5999755859375
2022-08-15,677.010009765625
2022-08-16,677.3599853515625
2022-08-17,668.8300170898438
2022-08-18,655.5
2022-08-19,646.0
2022-08-22,631.5
2022-08-23,638.77001953125
2022-08-24,643.0399780273438
2022-08-25,654.1300048828125
2022-08-26,631.02001953125
2022-08-29,622.7999877929688
2022-08-30,606.97998046875
2022-08-31,600.3900146484375
2022-09-01,605.4299926757812
2022-09-02,601.2000122070312
2022-09-06,601.3900146484375
2022-09-07,614.8699951171875
2022-09-08,615.5800170898438
2022-09-09,619.9199829101562
2022-09-12,628.3699951171875
