Date,PG
2022-02-28,155.88999938964844
2022-03-01,153.30999755859375
2022-03-02,153.7899932861328
2022-03-03,154.36000061035156
2022-03-04,155.13999938964844
2022-03-07,152.83999633789062
2022-03-08,146.7899932861328
2022-03-09,148.77000427246094
2022-03-10,144.94000244140625
2022-03-11,143.22000122070312
2022-03-14,145.0500030517578
2022-03-15,150.27000427246094
2022-03-16,149.75999450683594
2022-03-17,150.22999572753906
2022-03-18,150.14999389648438
2022-03-21,150.72000122070312
2022-03-22,151.8800048828125
2022-03-23,150.82000732421875
2022-03-24,151.0800018310547
2022-03-25,152.8300018310547
2022-03-28,153.8800048828125
2022-03-29,155.4600067138672
2022-03-30,154.38999938964844
2022-03-31,152.8000030517578
2022-04-01,155.08999633789062
2022-04-04,154.0800018310547
2022-04-05,154.6199951171875
2022-04-06,156.8300018310547
2022-04-07,158.86000061035156
2022-04-08,160.10000610351562
2022-04-11,159.49000549316406
2022-04-12,159.00999450683594
2022-04-13,159.4600067138672
2022-04-14,158.57000732421875
2022-04-18,157.05999755859375
2022-04-19,159.41000366210938
2022-04-20,163.64999389648438
2022-04-21,162.61000061035156
2022-04-22,161.25
2022-04-25,162.5500030517578
2022-04-26,159.7899932861328
2022-04-27,159.36000061035156
2022-04-28,163.41000366210938
2022-04-29,160.5500030517578
2022-05-02,158.3800048828125
2022-05-03,156.2100067138672
2022-05-04,157.36000061035156
2022-05-05,154.4600067138672
2022-05-06,156.0
2022-05-09,155.61000061035156
2022-05-10,154.7899932861328
2022-05-11,152.61000061035156
2022-05-12,151.99000549316406
2022-05-13,153.6199951171875
2022-05-16,155.1199951171875
2022-05-17,154.67999267578125
2022-05-18,145.0399932861328
2022-05-19,141.6999969482422
2022-05-20,141.7899932861328
2022-05-23,145.0500030517578
2022-05-24,147.6300048828125
2022-05-25,145.2100067138672
2022-05-26,146.47999572753906
2022-05-27,148.72000122070312
2022-05-31,147.8800048828125
2022-06-01,145.63999938964844
2022-06-02,147.2100067138672
2022-06-03,145.88999938964844
2022-06-06,145.32000732421875
2022-06-07,146.94000244140625
2022-06-08,145.11000061035156
2022-06-09,142.49000549316406
2022-06-10,141.9499969482422
2022-06-13,138.14999389648438
2022-06-14,133.83999633789062
2022-06-15,132.50999450683594
2022-06-16,133.32000732421875
2022-06-17,132.36000061035156
2022-06-21,136.3699951171875
2022-06-22,138.5
2022-06-23,142.3000030517578
2022-06-24,144.35000610351562
2022-06-27,143.25
2022-06-28,140.9199981689453
2022-06-29,142.1999969482422
2022-06-30,143.7899932861328
2022-07-01,146.11000061035156
2022-07-05,144.6999969482422
2022-07-06,146.0500030517578
2022-07-07,146.0
2022-07-08,145.02000427246094
2022-07-11,146.0399932861328
2022-07-12,144.75
2022-07-13,145.6999969482422
2022-07-14,145.27000427246094
2022-07-15,145.07000732421875
2022-07-18,143.30999755859375
2022-07-19,144.0399932861328
2022-07-20,141.5500030517578
2022-07-21,140.77000427246094
2022-07-22,143.02000427246094
2022-07-25,143.99000549316406
2022-07-26,144.27000427246094
2022-07-27,145.63999938964844
2022-07-28,148.05999755859375
2022-07-29,138.91000366210938
2022-08-01,142.89999389648438
2022-08-02,141.9499969482422
2022-08-03,144.8800048828125
2022-08-04,144.64999389648438
2022-08-05,144.72000122070312
2022-08-08,145.27000427246094
2022-08-09,144.92999267578125
2022-08-10,146.3000030517578
2022-08-11,145.25999450683594
2022-08-12,146.6699981689453
2022-08-15,148.55999755859375
2022-08-16,149.92999267578125
2022-08-17,149.24000549316406
2022-08-18,149.77000427246094
2022-08-19,149.72999572753906
2022-08-22,149.3300018310547
2022-08-23,146.4499969482422
2022-08-24,145.82000732421875
2022-08-25,145.6999969482422
2022-08-26,142.2899932861328
2022-08-29,141.69000244140625
2022-08-30,140.17999267578125
2022-08-31,137.94000244140625
2022-09-01,139.63999938964844
2022-09-02,137.16000366210938
2022-09-06,135.6300048828125
2022-09-07,137.67999267578125
2022-09-08,137.86000061035156
2022-09-09,139.9600067138672
2022-09-12,141.10000610351562
2022-09-13,138.17999267578125
2022-09-14,138.50999450683594
2022-09-15,137.44000244140625
2022-09-16,138.27999877929688
2022-09-19,137.99000549316406
2022-09-20,137.5
2022-09-21,135.72999572753906
2022-09-22,136.2100067138672
2022-09-23,135.5800018310547
2022-09-26,135.7100067138672
2022-09-27,131.97999572753906
2022-09-28,131.97999572753906
2022-09-29,128.6999969482422
2022-09-30,126.25
2022-10-03,128.50999450683594
2022-10-04,130.10000610351562
2022-10-05,129.1999969482422
2022-10-06,126.4800033569336
2022-10-07,124.2699966430664
2022-10-10,123.76000213623047
2022-10-11,124.2300033569336
2022-10-12,124.43000030517578
2022-10-13,126.30999755859375
2022-10-14,125.08000183105469
2022-10-17,127.33999633789062
2022-10-18,128.3699951171875
2022-10-19,129.55999755859375
2022-10-20,126.98999786376953
2022-10-21,128.5800018310547
2022-10-24,129.3699951171875
2022-10-25,130.86000061035156
2022-10-26,131.77999877929688
2022-10-27,131.8800048828125
2022-10-28,135.22000122070312
2022-10-31,134.6699981689453
2022-11-01,134.8800048828125
2022-11-02,132.94000244140625
2022-11-03,132.02999877929688
2022-11-04,134.44000244140625
2022-11-07,136.5
2022-11-08,136.80999755859375
2022-11-09,136.47999572753906
2022-11-10,141.17999267578125
