Date,EQIX
2022-02-28,709.72998046875
2022-03-01,710.7999877929688
2022-03-02,709.4600219726562
2022-03-03,720.8200073242188
2022-03-04,720.9199829101562
2022-03-07,703.0700073242188
2022-03-08,681.4199829101562
2022-03-09,704.2000122070312
2022-03-10,706.47998046875
2022-03-11,693.5499877929688
2022-03-14,683.5999755859375
2022-03-15,701.6400146484375
2022-03-16,704.0599975585938
2022-03-17,719.8599853515625
2022-03-18,732.260009765625
2022-03-21,717.75
2022-03-22,719.0999755859375
2022-03-23,707.8200073242188
2022-03-24,711.6300048828125
2022-03-25,710.1400146484375
2022-03-28,730.9199829101562
2022-03-29,761.3800048828125
2022-03-30,753.8099975585938
2022-03-31,741.6199951171875
2022-04-01,763.0
2022-04-04,764.4600219726562
2022-04-05,762.4000244140625
2022-04-06,766.5700073242188
2022-04-07,759.22998046875
2022-04-08,768.780029296875
2022-04-11,751.6099853515625
2022-04-12,741.6500244140625
2022-04-13,751.9299926757812
2022-04-14,735.239990234375
2022-04-18,730.6599731445312
2022-04-19,754.219970703125
2022-04-20,768.1699829101562
2022-04-21,757.6300048828125
2022-04-22,745.4099731445312
2022-04-25,752.52001953125
2022-04-26,739.280029296875
2022-04-27,717.9000244140625
2022-04-28,756.4500122070312
2022-04-29,719.0800170898438
2022-05-02,702.3900146484375
2022-05-03,721.3200073242188
2022-05-04,732.1400146484375
2022-05-05,713.3900146484375
2022-05-06,713.4400024414062
2022-05-09,654.1900024414062
2022-05-10,630.0499877929688
2022-05-11,624.1699829101562
2022-05-12,629.8800048828125
2022-05-13,659.7999877929688
2022-05-16,646.4199829101562
2022-05-17,646.8099975585938
2022-05-18,637.4400024414062
2022-05-19,635.0900268554688
2022-05-20,651.7899780273438
2022-05-23,663.530029296875
2022-05-24,671.8099975585938
2022-05-25,686.530029296875
2022-05-26,670.0
2022-05-27,693.6799926757812
2022-05-31,687.0900268554688
2022-06-01,679.0
2022-06-02,694.6400146484375
2022-06-03,678.4400024414062
2022-06-06,692.3599853515625
2022-06-07,691.5499877929688
2022-06-08,668.6599731445312
2022-06-09,658.4199829101562
2022-06-10,649.1699829101562
2022-06-13,616.280029296875
2022-06-14,618.510009765625
2022-06-15,641.25
2022-06-16,618.4299926757812
2022-06-17,632.8099975585938
2022-06-21,640.1799926757812
2022-06-22,657.9500122070312
2022-06-23,677.4199829101562
2022-06-24,689.1699829101562
2022-06-27,685.5700073242188
2022-06-28,669.0999755859375
2022-06-29,649.5
2022-06-30,657.02001953125
2022-07-01,673.030029296875
2022-07-05,667.1599731445312
2022-07-06,662.530029296875
2022-07-07,660.739990234375
2022-07-08,650.52001953125
2022-07-11,647.3099975585938
2022-07-12,628.25
2022-07-13,625.8900146484375
2022-07-14,611.9299926757812
2022-07-15,619.75
2022-07-18,614.969970703125
2022-07-19,637.3800048828125
