Date,O
2022-02-28,66.08999633789062
2022-03-01,65.81999969482422
2022-03-02,66.0999984741211
2022-03-03,66.62000274658203
2022-03-04,66.81999969482422
2022-03-07,64.66999816894531
2022-03-08,64.9000015258789
2022-03-09,65.16999816894531
2022-03-10,64.81999969482422
2022-03-11,65.3499984741211
2022-03-14,64.87999725341797
2022-03-15,65.12000274658203
2022-03-16,65.5999984741211
2022-03-17,66.48999786376953
2022-03-18,66.87999725341797
2022-03-21,66.58000183105469
2022-03-22,67.44999694824219
2022-03-23,66.9000015258789
2022-03-24,66.77999877929688
2022-03-25,67.94999694824219
2022-03-28,68.72000122070312
2022-03-29,70.62000274658203
2022-03-30,70.27999877929688
2022-03-31,69.30000305175781
2022-04-01,70.9000015258789
2022-04-04,70.56999969482422
2022-04-05,70.66999816894531
2022-04-06,71.77999877929688
2022-04-07,71.62000274658203
2022-04-08,72.16000366210938
2022-04-11,71.5199966430664
2022-04-12,71.55999755859375
2022-04-13,72.19000244140625
2022-04-14,72.61000061035156
2022-04-18,73.25
2022-04-19,74.12000274658203
2022-04-20,74.93000030517578
2022-04-21,74.55999755859375
2022-04-22,73.54000091552734
2022-04-25,72.75
2022-04-26,71.93000030517578
2022-04-27,71.66000366210938
2022-04-28,72.70999908447266
2022-04-29,69.36000061035156
2022-05-02,67.37999725341797
2022-05-03,67.66999816894531
2022-05-04,68.58000183105469
2022-05-05,67.0999984741211
2022-05-06,66.12000274658203
2022-05-09,64.55999755859375
2022-05-10,63.5
2022-05-11,63.79999923706055
2022-05-12,65.38999938964844
2022-05-13,67.41000366210938
2022-05-16,68.05999755859375
2022-05-17,68.61000061035156
2022-05-18,67.55999755859375
2022-05-19,67.1500015258789
2022-05-20,67.98999786376953
2022-05-23,67.22000122070312
2022-05-24,68.44000244140625
2022-05-25,69.18000030517578
2022-05-26,68.06999969482422
2022-05-27,69.3499984741211
2022-05-31,68.22000122070312
2022-06-01,68.08000183105469
2022-06-02,68.44000244140625
2022-06-03,67.36000061035156
2022-06-06,66.9800033569336
2022-06-07,68.05999755859375
2022-06-08,67.11000061035156
2022-06-09,66.27999877929688
2022-06-10,65.95999908447266
2022-06-13,63.209999084472656
2022-06-14,62.790000915527344
2022-06-15,64.80000305175781
2022-06-16,64.2300033569336
2022-06-17,64.87000274658203
2022-06-21,65.47000122070312
2022-06-22,66.38999938964844
2022-06-23,67.98999786376953
2022-06-24,69.19000244140625
2022-06-27,69.44000244140625
2022-06-28,69.12999725341797
2022-06-29,69.36000061035156
2022-06-30,68.26000213623047
2022-07-01,70.1500015258789
2022-07-05,69.29000091552734
2022-07-06,69.5
2022-07-07,68.79000091552734
2022-07-08,68.9800033569336
2022-07-11,69.55999755859375
2022-07-12,69.36000061035156
2022-07-13,68.05000305175781
2022-07-14,68.44999694824219
2022-07-15,70.30999755859375
2022-07-18,69.47000122070312
2022-07-19,70.08000183105469
2022-07-20,70.25
2022-07-21,70.58000183105469
2022-07-22,71.3499984741211
2022-07-25,71.61000061035156
2022-07-26,72.43000030517578
2022-07-27,71.87000274658203
2022-07-28,73.54000091552734
2022-07-29,73.98999786376953
2022-08-01,73.66999816894531
2022-08-02,72.80000305175781
2022-08-03,72.0
2022-08-04,72.47000122070312
2022-08-05,72.76000213623047
2022-08-08,73.26000213623047
2022-08-09,73.55000305175781
2022-08-10,74.12999725341797
2022-08-11,73.86000061035156
2022-08-12,74.66999816894531
2022-08-15,74.75
2022-08-16,73.69999694824219
2022-08-17,73.58000183105469
2022-08-18,72.98999786376953
2022-08-19,72.91000366210938
2022-08-22,71.79000091552734
2022-08-23,70.61000061035156
2022-08-24,70.63999938964844
2022-08-25,71.0199966430664
2022-08-26,69.91000366210938
2022-08-29,69.98999786376953
2022-08-30,68.97000122070312
2022-08-31,68.27999877929688
2022-09-01,68.44999694824219
2022-09-02,67.69000244140625
2022-09-06,67.75
2022-09-07,68.2699966430664
2022-09-08,66.36000061035156
2022-09-09,66.79000091552734
2022-09-12,67.5999984741211
2022-09-13,65.91000366210938
2022-09-14,65.41000366210938
2022-09-15,63.43000030517578
2022-09-16,64.30999755859375
2022-09-19,63.970001220703125
2022-09-20,63.09000015258789
2022-09-21,62.540000915527344
2022-09-22,62.5
2022-09-23,61.810001373291016
2022-09-26,60.900001525878906
2022-09-27,59.4900016784668
2022-09-28,60.369998931884766
2022-09-29,57.95000076293945
2022-09-30,58.20000076293945
2022-10-03,59.220001220703125
2022-10-04,60.27000045776367
2022-10-05,59.52000045776367
2022-10-06,58.52000045776367
2022-10-07,58.029998779296875
2022-10-10,57.349998474121094
2022-10-11,58.060001373291016
2022-10-12,57.529998779296875
2022-10-13,57.54999923706055
2022-10-14,55.540000915527344
2022-10-17,57.4900016784668
2022-10-18,58.630001068115234
2022-10-19,57.83000183105469
2022-10-20,57.470001220703125
2022-10-21,57.630001068115234
2022-10-24,59.0099983215332
2022-10-25,60.4900016784668
2022-10-26,60.599998474121094
2022-10-27,61.13999938964844
2022-10-28,62.310001373291016
2022-10-31,62.27000045776367
2022-11-01,62.209999084472656
2022-11-02,61.06999969482422
2022-11-03,61.630001068115234
2022-11-04,63.0099983215332
2022-11-07,63.130001068115234
2022-11-08,63.34000015258789
2022-11-09,63.25
2022-11-10,65.37000274658203
2022-11-11,64.9800033569336
2022-11-14,64.08000183105469
2022-11-15,64.73999786376953
2022-11-16,63.84000015258789
2022-11-17,64.41000366210938
2022-11-18,64.69999694824219
2022-11-21,65.30000305175781
2022-11-22,65.30000305175781
2022-11-23,64.5199966430664
2022-11-25,64.8499984741211
2022-11-28,61.7400016784668
2022-11-29,62.29999923706055
2022-11-30,63.06999969482422
2022-12-01,62.810001373291016
2022-12-02,62.900001525878906
