Date,HPQ
2022-02-28,34.36000061035156
2022-03-01,34.06999969482422
2022-03-02,36.310001373291016
2022-03-03,36.619998931884766
2022-03-04,36.349998474121094
2022-03-07,35.65999984741211
2022-03-08,35.630001068115234
2022-03-09,36.04999923706055
2022-03-10,36.150001525878906
2022-03-11,36.290000915527344
2022-03-14,34.099998474121094
2022-03-15,34.86000061035156
2022-03-16,35.810001373291016
2022-03-17,34.4900016784668
2022-03-18,37.09000015258789
2022-03-21,37.540000915527344
2022-03-22,38.22999954223633
2022-03-23,37.72999954223633
2022-03-24,38.529998779296875
2022-03-25,39.84000015258789
2022-03-28,38.75
2022-03-29,39.720001220703125
2022-03-30,38.84000015258789
2022-03-31,36.29999923706055
2022-04-01,35.599998474121094
2022-04-04,36.63999938964844
2022-04-05,36.0
2022-04-06,34.90999984741211
2022-04-07,40.060001373291016
2022-04-08,38.630001068115234
2022-04-11,38.189998626708984
2022-04-12,37.88999938964844
2022-04-13,37.939998626708984
2022-04-14,37.470001220703125
2022-04-18,38.43000030517578
2022-04-19,38.689998626708984
2022-04-20,39.380001068115234
2022-04-21,38.290000915527344
2022-04-22,36.790000915527344
2022-04-25,37.0
2022-04-26,36.34000015258789
2022-04-27,36.45000076293945
2022-04-28,37.58000183105469
2022-04-29,36.630001068115234
2022-05-02,37.060001373291016
2022-05-03,37.91999816894531
2022-05-04,39.38999938964844
2022-05-05,37.90999984741211
2022-05-06,37.09000015258789
2022-05-09,37.0099983215332
2022-05-10,37.540000915527344
2022-05-11,35.86000061035156
2022-05-12,35.84000015258789
2022-05-13,36.779998779296875
2022-05-16,37.5099983215332
2022-05-17,39.619998931884766
2022-05-18,36.849998474121094
2022-05-19,35.72999954223633
2022-05-20,34.650001525878906
2022-05-23,35.060001373291016
2022-05-24,34.77000045776367
2022-05-25,35.56999969482422
2022-05-26,36.77000045776367
2022-05-27,38.75
2022-05-31,38.84000015258789
2022-06-01,40.34000015258789
2022-06-02,39.88999938964844
2022-06-03,39.810001373291016
2022-06-06,39.52000045776367
2022-06-07,39.36000061035156
2022-06-08,37.95000076293945
2022-06-09,36.66999816894531
2022-06-10,35.279998779296875
2022-06-13,33.7599983215332
2022-06-14,33.75
2022-06-15,34.40999984741211
2022-06-16,32.709999084472656
2022-06-17,33.54999923706055
2022-06-21,34.290000915527344
2022-06-22,33.7400016784668
2022-06-23,33.869998931884766
2022-06-24,35.22999954223633
2022-06-27,35.36000061035156
2022-06-28,34.439998626708984
2022-06-29,33.61000061035156
2022-06-30,32.779998779296875
