Date,AJG
2022-02-28,158.19000244140625
2022-03-01,156.10000610351562
2022-03-02,158.77999877929688
2022-03-03,158.41000366210938
2022-03-04,159.8699951171875
2022-03-07,154.5500030517578
2022-03-08,150.1300048828125
2022-03-09,155.94000244140625
2022-03-10,155.0399932861328
2022-03-11,153.6199951171875
2022-03-14,154.74000549316406
2022-03-15,158.55999755859375
2022-03-16,162.6699981689453
2022-03-17,165.13999938964844
2022-03-18,167.3699951171875
2022-03-21,166.6199951171875
2022-03-22,167.60000610351562
2022-03-23,164.07000732421875
2022-03-24,166.27000427246094
2022-03-25,168.05999755859375
2022-03-28,170.3300018310547
2022-03-29,172.75999450683594
2022-03-30,173.8000030517578
2022-03-31,174.60000610351562
2022-04-01,176.39999389648438
2022-04-04,173.9199981689453
2022-04-05,174.8699951171875
2022-04-06,179.0500030517578
2022-04-07,181.4499969482422
2022-04-08,183.19000244140625
2022-04-11,183.22000122070312
2022-04-12,180.25
2022-04-13,181.00999450683594
2022-04-14,180.61000061035156
2022-04-18,180.17999267578125
2022-04-19,179.5
2022-04-20,183.89999389648438
2022-04-21,184.14999389648438
2022-04-22,178.02999877929688
2022-04-25,178.88999938964844
2022-04-26,173.52000427246094
2022-04-27,175.39999389648438
2022-04-28,179.3300018310547
2022-04-29,168.49000549316406
2022-05-02,165.85000610351562
2022-05-03,165.50999450683594
2022-05-04,170.3699951171875
2022-05-05,164.99000549316406
2022-05-06,164.47999572753906
2022-05-09,160.19000244140625
2022-05-10,158.25
2022-05-11,157.77999877929688
2022-05-12,157.47999572753906
2022-05-13,162.02000427246094
2022-05-16,161.13999938964844
2022-05-17,164.1699981689453
2022-05-18,156.7100067138672
2022-05-19,155.25
2022-05-20,155.0
2022-05-23,158.52999877929688
2022-05-24,157.75999450683594
2022-05-25,157.49000549316406
2022-05-26,161.02000427246094
2022-05-27,165.63999938964844
2022-05-31,161.94000244140625
2022-06-01,160.50999450683594
2022-06-02,164.3699951171875
2022-06-03,162.2100067138672
2022-06-06,162.0
2022-06-07,163.55999755859375
2022-06-08,161.17999267578125
2022-06-09,156.9600067138672
2022-06-10,153.0
2022-06-13,151.5800018310547
2022-06-14,153.22999572753906
2022-06-15,152.75
2022-06-16,149.0500030517578
2022-06-17,149.7100067138672
2022-06-21,155.2100067138672
2022-06-22,157.30999755859375
2022-06-23,160.0399932861328
2022-06-24,165.25
2022-06-27,165.22999572753906
2022-06-28,163.17999267578125
2022-06-29,163.1999969482422
2022-06-30,163.0399932861328
2022-07-01,164.6300048828125
2022-07-05,166.07000732421875
2022-07-06,168.33999633789062
2022-07-07,167.3000030517578
2022-07-08,166.75999450683594
2022-07-11,165.83999633789062
2022-07-12,164.82000732421875
2022-07-13,164.66000366210938
2022-07-14,162.74000549316406
2022-07-15,165.75
2022-07-18,161.8800048828125
2022-07-19,166.52000427246094
2022-07-20,166.57000732421875
2022-07-21,169.60000610351562
2022-07-22,168.22999572753906
2022-07-25,169.7100067138672
2022-07-26,169.99000549316406
2022-07-27,173.30999755859375
2022-07-28,176.05999755859375
2022-07-29,178.99000549316406
2022-08-01,172.52000427246094
2022-08-02,172.33999633789062
2022-08-03,177.24000549316406
2022-08-04,176.49000549316406
2022-08-05,178.50999450683594
2022-08-08,179.38999938964844
2022-08-09,182.75
2022-08-10,185.41000366210938
2022-08-11,185.1999969482422
2022-08-12,189.39999389648438
2022-08-15,190.14999389648438
2022-08-16,190.66000366210938
2022-08-17,190.85000610351562
2022-08-18,191.52000427246094
2022-08-19,190.6999969482422
2022-08-22,188.8800048828125
2022-08-23,186.35000610351562
2022-08-24,187.9600067138672
2022-08-25,191.0800018310547
2022-08-26,187.6999969482422
2022-08-29,185.05999755859375
2022-08-30,182.88999938964844
2022-08-31,181.57000732421875
2022-09-01,181.60000610351562
2022-09-02,180.47000122070312
2022-09-06,180.89999389648438
2022-09-07,186.5800018310547
2022-09-08,187.08999633789062
2022-09-09,188.4199981689453
2022-09-12,187.6300048828125
2022-09-13,184.80999755859375
2022-09-14,185.10000610351562
2022-09-15,184.52000427246094
2022-09-16,179.4499969482422
2022-09-19,181.38999938964844
2022-09-20,179.1699981689453
2022-09-21,174.32000732421875
2022-09-22,172.52999877929688
2022-09-23,171.8300018310547
2022-09-26,169.4600067138672
2022-09-27,169.72999572753906
2022-09-28,170.8000030517578
2022-09-29,171.13999938964844
2022-09-30,171.22000122070312
2022-10-03,176.5800018310547
2022-10-04,180.00999450683594
2022-10-05,181.75999450683594
2022-10-06,179.10000610351562
2022-10-07,174.30999755859375
2022-10-10,176.57000732421875
2022-10-11,176.1300048828125
2022-10-12,174.8699951171875
2022-10-13,178.66000366210938
2022-10-14,170.36000061035156
2022-10-17,175.0800018310547
2022-10-18,176.13999938964844
2022-10-19,178.0500030517578
2022-10-20,173.82000732421875
2022-10-21,175.3699951171875
2022-10-24,179.14999389648438
2022-10-25,175.4199981689453
2022-10-26,175.91000366210938
2022-10-27,177.52999877929688
2022-10-28,188.5800018310547
2022-10-31,187.0800018310547
2022-11-01,187.4199981689453
2022-11-02,185.35000610351562
2022-11-03,187.35000610351562
2022-11-04,188.38999938964844
2022-11-07,191.99000549316406
2022-11-08,192.38999938964844
2022-11-09,188.5800018310547
2022-11-10,193.0
2022-11-11,186.0
2022-11-14,185.77000427246094
2022-11-15,187.77999877929688
2022-11-16,189.50999450683594
2022-11-17,190.27000427246094
2022-11-18,194.3300018310547
2022-11-21,195.75
2022-11-22,197.22999572753906
2022-11-23,197.32000732421875
2022-11-25,199.2899932861328
