Date,FAST
2022-02-28,51.459999084472656
2022-03-01,51.560001373291016
2022-03-02,52.56999969482422
2022-03-03,53.150001525878906
2022-03-04,53.970001220703125
2022-03-07,54.099998474121094
2022-03-08,54.15999984741211
2022-03-09,54.7599983215332
2022-03-10,54.470001220703125
2022-03-11,53.970001220703125
2022-03-14,54.4900016784668
2022-03-15,55.790000915527344
2022-03-16,55.970001220703125
2022-03-17,57.13999938964844
2022-03-18,57.869998931884766
2022-03-21,57.7599983215332
2022-03-22,57.75
2022-03-23,57.06999969482422
2022-03-24,57.349998474121094
2022-03-25,57.58000183105469
2022-03-28,58.459999084472656
2022-03-29,58.97999954223633
2022-03-30,59.709999084472656
2022-03-31,59.400001525878906
2022-04-01,59.66999816894531
2022-04-04,60.150001525878906
2022-04-05,59.31999969482422
2022-04-06,59.72999954223633
2022-04-07,58.709999084472656
2022-04-08,57.689998626708984
2022-04-11,57.970001220703125
2022-04-12,57.689998626708984
2022-04-13,58.97999954223633
2022-04-14,56.0099983215332
2022-04-18,54.95000076293945
2022-04-19,56.70000076293945
2022-04-20,57.02000045776367
2022-04-21,57.709999084472656
2022-04-22,56.95000076293945
2022-04-25,56.95000076293945
2022-04-26,55.95000076293945
2022-04-27,55.7400016784668
2022-04-28,57.439998626708984
2022-04-29,55.310001373291016
2022-05-02,55.0
2022-05-03,54.810001373291016
2022-05-04,57.25
2022-05-05,54.18000030517578
2022-05-06,53.15999984741211
2022-05-09,53.099998474121094
2022-05-10,51.900001525878906
2022-05-11,50.58000183105469
2022-05-12,52.22999954223633
2022-05-13,52.689998626708984
2022-05-16,52.709999084472656
2022-05-17,53.25
2022-05-18,51.29999923706055
2022-05-19,51.34000015258789
2022-05-20,51.45000076293945
2022-05-23,51.93000030517578
2022-05-24,51.9900016784668
2022-05-25,51.68000030517578
2022-05-26,52.52000045776367
2022-05-27,54.119998931884766
2022-05-31,53.560001373291016
2022-06-01,53.90999984741211
2022-06-02,55.13999938964844
2022-06-03,54.439998626708984
2022-06-06,54.72999954223633
2022-06-07,54.959999084472656
2022-06-08,53.810001373291016
2022-06-09,52.84000015258789
2022-06-10,51.97999954223633
2022-06-13,50.08000183105469
2022-06-14,49.130001068115234
2022-06-15,49.61000061035156
2022-06-16,48.72999954223633
2022-06-17,48.47999954223633
2022-06-21,49.7400016784668
2022-06-22,49.84000015258789
2022-06-23,50.439998626708984
2022-06-24,51.900001525878906
2022-06-27,51.369998931884766
2022-06-28,49.16999816894531
2022-06-29,49.709999084472656
2022-06-30,49.91999816894531
2022-07-01,49.7400016784668
2022-07-05,49.66999816894531
2022-07-06,50.41999816894531
2022-07-07,50.790000915527344
2022-07-08,50.63999938964844
2022-07-11,50.5
2022-07-12,49.9900016784668
2022-07-13,46.77000045776367
2022-07-14,47.34000015258789
2022-07-15,48.040000915527344
2022-07-18,47.88999938964844
2022-07-19,48.5
2022-07-20,48.4900016784668
2022-07-21,48.7599983215332
2022-07-22,48.459999084472656
2022-07-25,48.29999923706055
2022-07-26,47.709999084472656
2022-07-27,48.279998779296875
2022-07-28,49.900001525878906
2022-07-29,51.36000061035156
2022-08-01,51.540000915527344
2022-08-02,51.08000183105469
2022-08-03,51.81999969482422
2022-08-04,52.290000915527344
2022-08-05,52.95000076293945
2022-08-08,53.66999816894531
2022-08-09,53.29999923706055
2022-08-10,54.43000030517578
2022-08-11,54.560001373291016
2022-08-12,55.779998779296875
2022-08-15,56.11000061035156
2022-08-16,56.04999923706055
2022-08-17,55.70000076293945
2022-08-18,55.79999923706055
2022-08-19,55.209999084472656
2022-08-22,53.65999984741211
2022-08-23,52.790000915527344
2022-08-24,53.0099983215332
2022-08-25,53.31999969482422
2022-08-26,50.959999084472656
2022-08-29,51.0099983215332
2022-08-30,50.52000045776367
2022-08-31,50.33000183105469
2022-09-01,50.95000076293945
2022-09-02,50.470001220703125
2022-09-06,50.29999923706055
2022-09-07,51.099998474121094
2022-09-08,50.68000030517578
2022-09-09,51.20000076293945
2022-09-12,50.77000045776367
2022-09-13,48.02000045776367
2022-09-14,47.91999816894531
2022-09-15,47.22999954223633
2022-09-16,47.36000061035156
2022-09-19,48.43000030517578
2022-09-20,47.77000045776367
2022-09-21,47.38999938964844
2022-09-22,47.59000015258789
2022-09-23,47.720001220703125
2022-09-26,47.29999923706055
2022-09-27,46.91999816894531
2022-09-28,47.59000015258789
2022-09-29,46.56999969482422
2022-09-30,46.040000915527344
2022-10-03,47.38999938964844
2022-10-04,48.38999938964844
2022-10-05,48.130001068115234
2022-10-06,47.380001068115234
2022-10-07,45.849998474121094
2022-10-10,46.16999816894531
2022-10-11,46.380001068115234
2022-10-12,45.66999816894531
2022-10-13,46.790000915527344
2022-10-14,43.869998931884766
2022-10-17,46.099998474121094
2022-10-18,47.47999954223633
2022-10-19,46.08000183105469
2022-10-20,45.349998474121094
2022-10-21,46.09000015258789
2022-10-24,46.790000915527344
2022-10-25,47.20000076293945
2022-10-26,46.66999816894531
2022-10-27,47.04999923706055
2022-10-28,48.689998626708984
2022-10-31,48.33000183105469
2022-11-01,48.83000183105469
2022-11-02,48.0099983215332
2022-11-03,48.220001220703125
2022-11-04,49.4900016784668
2022-11-07,49.56999969482422
2022-11-08,49.779998779296875
2022-11-09,48.880001068115234
2022-11-10,51.869998931884766
2022-11-11,51.79999923706055
2022-11-14,51.68000030517578
2022-11-15,51.630001068115234
2022-11-16,51.7599983215332
2022-11-17,51.59000015258789
2022-11-18,51.65999984741211
2022-11-21,52.04999923706055
2022-11-22,52.38999938964844
