Date,EFX
2022-02-28,218.33999633789062
2022-03-01,219.0399932861328
2022-03-02,224.57000732421875
2022-03-03,224.2100067138672
2022-03-04,227.6699981689453
2022-03-07,217.8300018310547
2022-03-08,217.25999450683594
2022-03-09,225.0500030517578
2022-03-10,226.2100067138672
2022-03-11,223.89999389648438
2022-03-14,228.42999267578125
2022-03-15,230.7899932861328
2022-03-16,233.8300018310547
2022-03-17,239.4199981689453
2022-03-18,241.11000061035156
2022-03-21,237.83999633789062
2022-03-22,239.60000610351562
2022-03-23,236.6199951171875
2022-03-24,236.52999877929688
2022-03-25,235.4600067138672
2022-03-28,238.63999938964844
2022-03-29,243.1300048828125
2022-03-30,239.52999877929688
2022-03-31,237.10000610351562
2022-04-01,234.1300048828125
2022-04-04,234.5
2022-04-05,231.85000610351562
2022-04-06,223.0399932861328
2022-04-07,224.42999267578125
2022-04-08,223.14999389648438
2022-04-11,218.25999450683594
2022-04-12,217.19000244140625
2022-04-13,215.0
2022-04-14,216.3800048828125
2022-04-18,212.89999389648438
2022-04-19,218.42999267578125
2022-04-20,221.41000366210938
2022-04-21,202.9499969482422
2022-04-22,203.60000610351562
2022-04-25,213.39999389648438
2022-04-26,207.55999755859375
2022-04-27,200.41000366210938
2022-04-28,206.3300018310547
2022-04-29,203.52000427246094
2022-05-02,205.5
2022-05-03,205.0399932861328
2022-05-04,212.6199951171875
2022-05-05,208.22999572753906
2022-05-06,205.10000610351562
2022-05-09,199.6300048828125
2022-05-10,200.39999389648438
2022-05-11,191.55999755859375
2022-05-12,192.66000366210938
2022-05-13,198.19000244140625
2022-05-16,195.99000549316406
2022-05-17,197.32000732421875
2022-05-18,188.0800018310547
2022-05-19,191.16000366210938
2022-05-20,194.61000061035156
2022-05-23,196.97999572753906
2022-05-24,191.52000427246094
2022-05-25,195.6199951171875
2022-05-26,202.22999572753906
2022-05-27,206.2899932861328
2022-05-31,202.5800018310547
2022-06-01,198.5800018310547
2022-06-02,203.64999389648438
2022-06-03,200.55999755859375
2022-06-06,199.47000122070312
2022-06-07,200.5399932861328
2022-06-08,196.17999267578125
2022-06-09,191.97000122070312
2022-06-10,183.35000610351562
2022-06-13,179.58999633789062
2022-06-14,172.02000427246094
2022-06-15,178.33999633789062
2022-06-16,170.35000610351562
2022-06-17,173.1199951171875
2022-06-21,175.32000732421875
2022-06-22,180.77000427246094
2022-06-23,182.33999633789062
2022-06-24,184.8300018310547
2022-06-27,184.94000244140625
2022-06-28,179.47000122070312
2022-06-29,180.1699981689453
2022-06-30,182.77999877929688
2022-07-01,186.5500030517578
2022-07-05,186.00999450683594
2022-07-06,188.91000366210938
2022-07-07,190.99000549316406
2022-07-08,190.4499969482422
2022-07-11,189.69000244140625
2022-07-12,187.17999267578125
2022-07-13,184.6300048828125
2022-07-14,189.4199981689453
2022-07-15,192.4199981689453
2022-07-18,191.6699981689453
2022-07-19,201.0
2022-07-20,205.1699981689453
2022-07-21,200.55999755859375
2022-07-22,200.85000610351562
2022-07-25,198.16000366210938
2022-07-26,193.1999969482422
2022-07-27,198.38999938964844
2022-07-28,207.5
2022-07-29,208.91000366210938
2022-08-01,210.77999877929688
2022-08-02,206.30999755859375
2022-08-03,213.00999450683594
2022-08-04,213.7899932861328
2022-08-05,212.4499969482422
2022-08-08,213.10000610351562
2022-08-09,212.30999755859375
2022-08-10,219.55999755859375
2022-08-11,218.3000030517578
2022-08-12,222.3300018310547
2022-08-15,220.24000549316406
2022-08-16,215.99000549316406
2022-08-17,214.02000427246094
2022-08-18,212.77999877929688
2022-08-19,208.69000244140625
2022-08-22,207.72000122070312
2022-08-23,204.52000427246094
2022-08-24,205.8699951171875
2022-08-25,207.72000122070312
2022-08-26,197.1300048828125
2022-08-29,192.0800018310547
2022-08-30,189.7899932861328
2022-08-31,188.75
2022-09-01,190.0500030517578
2022-09-02,187.5
2022-09-06,187.3800048828125
2022-09-07,193.47999572753906
2022-09-08,196.3699951171875
2022-09-09,197.16000366210938
2022-09-12,198.6300048828125
2022-09-13,191.3300018310547
2022-09-14,187.9499969482422
2022-09-15,186.72000122070312
2022-09-16,183.25
2022-09-19,182.61000061035156
2022-09-20,177.83999633789062
2022-09-21,176.69000244140625
2022-09-22,172.2899932861328
2022-09-23,174.91000366210938
2022-09-26,173.35000610351562
2022-09-27,169.3300018310547
2022-09-28,173.1300048828125
2022-09-29,167.10000610351562
2022-09-30,171.42999267578125
2022-10-03,173.33999633789062
2022-10-04,182.3000030517578
2022-10-05,179.97999572753906
2022-10-06,174.32000732421875
2022-10-07,168.82000732421875
2022-10-10,168.5500030517578
2022-10-11,163.82000732421875
2022-10-12,164.6999969482422
2022-10-13,164.92999267578125
2022-10-14,159.08999633789062
2022-10-17,164.24000549316406
2022-10-18,165.94000244140625
2022-10-19,160.1199951171875
2022-10-20,150.24000549316406
2022-10-21,152.02000427246094
2022-10-24,157.0
2022-10-25,161.47999572753906
2022-10-26,164.99000549316406
2022-10-27,166.5500030517578
2022-10-28,170.88999938964844
2022-10-31,169.5399932861328
2022-11-01,168.99000549316406
2022-11-02,161.86000061035156
2022-11-03,159.75
2022-11-04,163.08999633789062
2022-11-07,165.75
2022-11-08,167.85000610351562
2022-11-09,165.1199951171875
2022-11-10,187.80999755859375
2022-11-11,193.99000549316406
2022-11-14,197.91000366210938
2022-11-15,207.10000610351562
2022-11-16,203.16000366210938
2022-11-17,199.00999450683594
2022-11-18,200.17999267578125
2022-11-21,196.58999633789062
2022-11-22,193.9499969482422
2022-11-23,197.92999267578125
2022-11-25,200.42999267578125
