Date,PM
2022-02-28,101.06999969482422
2022-03-01,101.44000244140625
2022-03-02,102.54000091552734
2022-03-03,102.4800033569336
2022-03-04,99.80000305175781
2022-03-07,93.19999694824219
2022-03-08,93.97000122070312
2022-03-09,93.80999755859375
2022-03-10,91.88999938964844
2022-03-11,88.87000274658203
2022-03-14,89.58999633789062
2022-03-15,92.66000366210938
2022-03-16,93.7699966430664
2022-03-17,93.33000183105469
2022-03-18,93.9000015258789
2022-03-21,94.13999938964844
2022-03-22,93.6500015258789
2022-03-23,91.25
2022-03-24,92.58000183105469
2022-03-25,93.44999694824219
2022-03-28,92.06999969482422
2022-03-29,93.62999725341797
2022-03-30,93.94000244140625
2022-03-31,93.94000244140625
2022-04-01,96.77999877929688
2022-04-04,96.27999877929688
2022-04-05,95.66000366210938
2022-04-06,99.0199966430664
2022-04-07,99.66999816894531
2022-04-08,100.06999969482422
2022-04-11,101.23999786376953
2022-04-12,100.48999786376953
2022-04-13,101.19999694824219
2022-04-14,101.7699966430664
2022-04-18,101.05000305175781
2022-04-19,102.58000183105469
2022-04-20,103.05000305175781
2022-04-21,105.05999755859375
2022-04-22,102.69000244140625
2022-04-25,102.52999877929688
2022-04-26,102.7699966430664
2022-04-27,101.69000244140625
2022-04-28,102.41000366210938
2022-04-29,100.0
2022-05-02,98.56999969482422
2022-05-03,98.98999786376953
2022-05-04,100.55999755859375
2022-05-05,99.7699966430664
2022-05-06,98.94000244140625
2022-05-09,99.87000274658203
2022-05-10,98.87999725341797
2022-05-11,103.62000274658203
2022-05-12,103.37000274658203
2022-05-13,104.43000030517578
2022-05-16,105.91000366210938
2022-05-17,106.30000305175781
2022-05-18,106.18000030517578
2022-05-19,100.5
2022-05-20,101.1500015258789
2022-05-23,102.91000366210938
2022-05-24,106.62000274658203
2022-05-25,108.56999969482422
2022-05-26,108.06999969482422
2022-05-27,106.97000122070312
2022-05-31,106.25
2022-06-01,105.76000213623047
2022-06-02,106.20999908447266
2022-06-03,105.5199966430664
2022-06-06,106.37000274658203
2022-06-07,106.27999877929688
2022-06-08,103.54000091552734
2022-06-09,101.69000244140625
2022-06-10,102.33000183105469
2022-06-13,98.5
2022-06-14,98.97000122070312
2022-06-15,98.20999908447266
2022-06-16,98.2699966430664
2022-06-17,97.94999694824219
2022-06-21,100.0999984741211
2022-06-22,99.18000030517578
2022-06-23,101.56999969482422
2022-06-24,103.4000015258789
2022-06-27,102.70999908447266
2022-06-28,102.44000244140625
2022-06-29,100.87000274658203
2022-06-30,98.73999786376953
2022-07-01,99.72000122070312
2022-07-05,98.08000183105469
2022-07-06,95.0
2022-07-07,94.98999786376953
2022-07-08,93.88999938964844
2022-07-11,93.2300033569336
2022-07-12,93.80000305175781
2022-07-13,90.6500015258789
2022-07-14,89.62000274658203
2022-07-15,90.18000030517578
2022-07-18,89.51000213623047
2022-07-19,91.43000030517578
2022-07-20,89.83000183105469
2022-07-21,93.58999633789062
2022-07-22,95.93000030517578
2022-07-25,95.83999633789062
2022-07-26,96.52999877929688
2022-07-27,96.95999908447266
2022-07-28,97.16999816894531
2022-07-29,97.1500015258789
2022-08-01,98.4800033569336
2022-08-02,98.6500015258789
2022-08-03,98.80999755859375
2022-08-04,98.0
2022-08-05,97.5999984741211
2022-08-08,97.63999938964844
2022-08-09,97.37000274658203
2022-08-10,98.12999725341797
2022-08-11,99.47000122070312
2022-08-12,99.23999786376953
2022-08-15,101.0
2022-08-16,101.72000122070312
2022-08-17,101.16999816894531
2022-08-18,100.5
2022-08-19,100.12999725341797
2022-08-22,98.29000091552734
2022-08-23,97.80000305175781
2022-08-24,97.63999938964844
2022-08-25,98.19000244140625
2022-08-26,96.55000305175781
2022-08-29,96.23999786376953
2022-08-30,95.48999786376953
2022-08-31,95.48999786376953
2022-09-01,96.4800033569336
