Date,XEL
2022-02-28,67.33000183105469
2022-03-01,66.51000213623047
2022-03-02,67.55999755859375
2022-03-03,69.12999725341797
2022-03-04,71.26000213623047
2022-03-07,71.55000305175781
2022-03-08,70.19000244140625
2022-03-09,69.83999633789062
2022-03-10,70.16000366210938
2022-03-11,70.37000274658203
2022-03-14,69.51000213623047
2022-03-15,70.2300033569336
2022-03-16,69.25
2022-03-17,69.69999694824219
2022-03-18,68.79000091552734
2022-03-21,69.31999969482422
2022-03-22,69.20999908447266
2022-03-23,69.30000305175781
2022-03-24,69.87999725341797
2022-03-25,70.69999694824219
2022-03-28,71.23999786376953
2022-03-29,71.83000183105469
2022-03-30,72.31999969482422
2022-03-31,72.16999816894531
2022-04-01,72.75
2022-04-04,72.69999694824219
2022-04-05,73.06999969482422
2022-04-06,74.98999786376953
2022-04-07,74.56999969482422
2022-04-08,74.81999969482422
2022-04-11,74.36000061035156
2022-04-12,74.7300033569336
2022-04-13,74.37000274658203
2022-04-14,74.33999633789062
2022-04-18,74.19999694824219
2022-04-19,74.83999633789062
2022-04-20,75.3499984741211
2022-04-21,75.30000305175781
2022-04-22,74.30000305175781
2022-04-25,73.69999694824219
2022-04-26,73.37999725341797
2022-04-27,72.97000122070312
2022-04-28,74.87999725341797
2022-04-29,73.26000213623047
2022-05-02,72.66999816894531
2022-05-03,72.12999725341797
2022-05-04,73.4000015258789
2022-05-05,72.79000091552734
2022-05-06,73.08000183105469
2022-05-09,73.6500015258789
2022-05-10,73.48999786376953
2022-05-11,73.97000122070312
2022-05-12,73.55000305175781
2022-05-13,74.48999786376953
2022-05-16,74.83000183105469
2022-05-17,75.30000305175781
2022-05-18,74.88999938964844
2022-05-19,75.01000213623047
2022-05-20,74.22000122070312
2022-05-23,74.87000274658203
2022-05-24,76.26000213623047
2022-05-25,75.69999694824219
2022-05-26,74.95999908447266
2022-05-27,76.33999633789062
2022-05-31,75.33999633789062
2022-06-01,75.12000274658203
2022-06-02,75.4800033569336
2022-06-03,74.87999725341797
2022-06-06,74.70999908447266
2022-06-07,75.58000183105469
2022-06-08,73.16999816894531
2022-06-09,71.27999877929688
2022-06-10,71.01000213623047
2022-06-13,68.38999938964844
2022-06-14,65.87999725341797
2022-06-15,65.8499984741211
2022-06-16,64.94999694824219
2022-06-17,63.90999984741211
2022-06-21,64.76000213623047
2022-06-22,65.77999877929688
2022-06-23,67.27999877929688
2022-06-24,68.55999755859375
2022-06-27,69.33000183105469
2022-06-28,69.98999786376953
2022-06-29,70.20999908447266
2022-06-30,70.76000213623047
2022-07-01,72.62999725341797
2022-07-05,69.88999938964844
2022-07-06,71.01000213623047
2022-07-07,69.58000183105469
2022-07-08,69.5999984741211
2022-07-11,69.88999938964844
2022-07-12,69.5
2022-07-13,69.19999694824219
2022-07-14,69.30999755859375
2022-07-15,69.95999908447266
2022-07-18,68.55000305175781
2022-07-19,68.86000061035156
2022-07-20,67.5999984741211
2022-07-21,67.69999694824219
2022-07-22,68.66999816894531
2022-07-25,69.45999908447266
2022-07-26,70.20999908447266
2022-07-27,70.25
2022-07-28,72.20999908447266
