Date,VST
2022-02-28,22.81999969482422
2022-03-01,21.93000030517578
2022-03-02,22.219999313354492
2022-03-03,21.979999542236328
2022-03-04,22.510000228881836
2022-03-07,22.360000610351562
2022-03-08,22.649999618530273
2022-03-09,22.739999771118164
2022-03-10,22.649999618530273
2022-03-11,22.43000030517578
2022-03-14,22.420000076293945
2022-03-15,22.329999923706055
2022-03-16,22.59000015258789
2022-03-17,22.309999465942383
2022-03-18,22.40999984741211
2022-03-21,22.049999237060547
2022-03-22,22.389999389648438
2022-03-23,21.799999237060547
2022-03-24,22.049999237060547
2022-03-25,22.739999771118164
2022-03-28,23.110000610351562
2022-03-29,23.149999618530273
2022-03-30,23.100000381469727
2022-03-31,23.25
2022-04-01,23.440000534057617
2022-04-04,23.329999923706055
2022-04-05,23.579999923706055
2022-04-06,24.0
2022-04-07,24.1200008392334
2022-04-08,24.510000228881836
2022-04-11,24.0
2022-04-12,24.049999237060547
2022-04-13,23.799999237060547
2022-04-14,24.030000686645508
2022-04-18,24.84000015258789
2022-04-19,24.81999969482422
2022-04-20,26.260000228881836
2022-04-21,25.739999771118164
2022-04-22,25.350000381469727
2022-04-25,25.010000228881836
2022-04-26,24.899999618530273
2022-04-27,24.8799991607666
2022-04-28,25.1299991607666
2022-04-29,25.020000457763672
2022-05-02,24.690000534057617
2022-05-03,25.25
2022-05-04,25.920000076293945
2022-05-05,25.40999984741211
2022-05-06,26.6200008392334
2022-05-09,24.1299991607666
2022-05-10,24.440000534057617
2022-05-11,24.290000915527344
2022-05-12,23.40999984741211
2022-05-13,24.579999923706055
2022-05-16,25.0
2022-05-17,25.25
2022-05-18,25.229999542236328
2022-05-19,26.079999923706055
2022-05-20,25.229999542236328
2022-05-23,25.729999542236328
2022-05-24,25.479999542236328
2022-05-25,26.100000381469727
2022-05-26,25.93000030517578
2022-05-27,26.309999465942383
2022-05-31,26.3700008392334
2022-06-01,25.899999618530273
2022-06-02,25.979999542236328
2022-06-03,25.850000381469727
2022-06-06,26.489999771118164
2022-06-07,27.389999389648438
2022-06-08,26.84000015258789
2022-06-09,26.200000762939453
2022-06-10,25.440000534057617
2022-06-13,23.5
2022-06-14,22.959999084472656
2022-06-15,23.5
2022-06-16,22.520000457763672
2022-06-17,22.420000076293945
2022-06-21,22.770000457763672
2022-06-22,22.709999084472656
2022-06-23,23.40999984741211
2022-06-24,23.389999389648438
2022-06-27,23.75
2022-06-28,23.25
2022-06-29,22.889999389648438
2022-06-30,22.850000381469727
2022-07-01,23.350000381469727
2022-07-05,21.65999984741211
2022-07-06,21.700000762939453
2022-07-07,22.229999542236328
2022-07-08,22.079999923706055
2022-07-11,22.09000015258789
2022-07-12,22.520000457763672
2022-07-13,22.729999542236328
2022-07-14,22.93000030517578
2022-07-15,22.579999923706055
2022-07-18,22.81999969482422
2022-07-19,23.6299991607666
2022-07-20,23.639999389648438
2022-07-21,23.360000610351562
2022-07-22,23.0
2022-07-25,23.360000610351562
2022-07-26,23.75
2022-07-27,23.829999923706055
2022-07-28,24.81999969482422
2022-07-29,25.850000381469727
2022-08-01,25.360000610351562
2022-08-02,25.260000228881836
2022-08-03,25.459999084472656
2022-08-04,25.6200008392334
2022-08-05,24.600000381469727
2022-08-08,24.729999542236328
2022-08-09,24.790000915527344
2022-08-10,25.170000076293945
2022-08-11,25.34000015258789
2022-08-12,25.8799991607666
2022-08-15,25.969999313354492
2022-08-16,25.829999923706055
2022-08-17,25.530000686645508
2022-08-18,25.84000015258789
2022-08-19,25.25
2022-08-22,24.729999542236328
2022-08-23,24.469999313354492
2022-08-24,25.190000534057617
2022-08-25,25.649999618530273
2022-08-26,24.93000030517578
2022-08-29,24.739999771118164
2022-08-30,24.18000030517578
2022-08-31,24.75
2022-09-01,24.959999084472656
2022-09-02,24.959999084472656
2022-09-06,24.34000015258789
2022-09-07,24.639999389648438
2022-09-08,24.899999618530273
2022-09-09,25.25
2022-09-12,25.790000915527344
2022-09-13,24.979999542236328
2022-09-14,25.360000610351562
2022-09-15,25.3700008392334
2022-09-16,25.309999465942383
2022-09-19,25.6200008392334
2022-09-20,24.90999984741211
2022-09-21,24.440000534057617
2022-09-22,24.059999465942383
2022-09-23,23.3700008392334
2022-09-26,22.469999313354492
2022-09-27,22.020000457763672
2022-09-28,22.299999237060547
2022-09-29,21.3799991607666
2022-09-30,21.0
2022-10-03,21.469999313354492
2022-10-04,22.940000534057617
2022-10-05,22.889999389648438
2022-10-06,22.649999618530273
2022-10-07,21.969999313354492
2022-10-10,21.68000030517578
2022-10-11,21.799999237060547
2022-10-12,21.440000534057617
2022-10-13,21.68000030517578
2022-10-14,21.420000076293945
2022-10-17,22.030000686645508
2022-10-18,22.559999465942383
2022-10-19,22.200000762939453
2022-10-20,21.520000457763672
2022-10-21,21.75
2022-10-24,21.489999771118164
2022-10-25,21.989999771118164
2022-10-26,21.899999618530273
2022-10-27,21.979999542236328
2022-10-28,22.979999542236328
2022-10-31,22.969999313354492
2022-11-01,22.8700008392334
2022-11-02,22.8700008392334
2022-11-03,23.229999542236328
2022-11-04,22.850000381469727
2022-11-07,23.829999923706055
2022-11-08,24.1200008392334
2022-11-09,23.549999237060547
2022-11-10,24.59000015258789
2022-11-11,24.09000015258789
2022-11-14,22.950000762939453
2022-11-15,22.700000762939453
2022-11-16,22.829999923706055
2022-11-17,22.459999084472656
2022-11-18,22.90999984741211
2022-11-21,22.8799991607666
2022-11-22,23.43000030517578
2022-11-23,24.0
2022-11-25,24.079999923706055
2022-11-28,23.790000915527344
2022-11-29,24.229999542236328
