Date,UHS
2022-02-28,143.92999267578125
2022-03-01,144.8800048828125
2022-03-02,149.05999755859375
2022-03-03,149.85000610351562
2022-03-04,149.4600067138672
2022-03-07,150.4199981689453
2022-03-08,149.32000732421875
2022-03-09,151.25999450683594
2022-03-10,150.4499969482422
2022-03-11,150.66000366210938
2022-03-14,146.1699981689453
2022-03-15,148.97999572753906
2022-03-16,149.6999969482422
2022-03-17,149.08999633789062
2022-03-18,146.7899932861328
2022-03-21,147.5500030517578
2022-03-22,146.60000610351562
2022-03-23,143.80999755859375
2022-03-24,146.35000610351562
2022-03-25,148.08999633789062
2022-03-28,149.36000061035156
2022-03-29,147.94000244140625
2022-03-30,145.57000732421875
2022-03-31,144.9499969482422
2022-04-01,144.17999267578125
2022-04-04,140.10000610351562
2022-04-05,139.24000549316406
2022-04-06,140.47999572753906
2022-04-07,144.3699951171875
2022-04-08,146.0
2022-04-11,147.86000061035156
2022-04-12,149.27000427246094
2022-04-13,148.9600067138672
2022-04-14,151.13999938964844
2022-04-18,151.39999389648438
2022-04-19,151.4600067138672
2022-04-20,155.5500030517578
2022-04-21,154.49000549316406
2022-04-22,132.92999267578125
2022-04-25,138.75999450683594
2022-04-26,125.31999969482422
2022-04-27,123.58999633789062
2022-04-28,124.16000366210938
2022-04-29,122.52999877929688
2022-05-02,122.23999786376953
2022-05-03,125.11000061035156
2022-05-04,129.9499969482422
2022-05-05,126.29000091552734
2022-05-06,127.80000305175781
2022-05-09,125.33000183105469
2022-05-10,125.44000244140625
2022-05-11,121.87000274658203
2022-05-12,123.48999786376953
2022-05-13,124.66000366210938
2022-05-16,124.25
2022-05-17,127.4800033569336
2022-05-18,119.08000183105469
2022-05-19,118.88999938964844
2022-05-20,120.93000030517578
2022-05-23,121.73999786376953
2022-05-24,121.41000366210938
2022-05-25,122.0999984741211
2022-05-26,123.25
2022-05-27,124.95999908447266
2022-05-31,124.61000061035156
2022-06-01,120.75
2022-06-02,122.66000366210938
2022-06-03,121.16999816894531
2022-06-06,121.16999816894531
2022-06-07,122.2699966430664
2022-06-08,120.41000366210938
2022-06-09,117.98999786376953
2022-06-10,114.75
2022-06-13,109.55999755859375
2022-06-14,104.87000274658203
2022-06-15,105.44000244140625
2022-06-16,101.47000122070312
2022-06-17,103.79000091552734
2022-06-21,102.95999908447266
2022-06-22,104.91000366210938
2022-06-23,105.38999938964844
2022-06-24,108.7699966430664
2022-06-27,108.19000244140625
2022-06-28,106.08999633789062
2022-06-29,107.23999786376953
2022-06-30,100.70999908447266
2022-07-01,105.97000122070312
2022-07-05,104.9000015258789
2022-07-06,102.25
2022-07-07,105.29000091552734
2022-07-08,103.44000244140625
2022-07-11,101.31999969482422
2022-07-12,101.83000183105469
2022-07-13,102.05000305175781
2022-07-14,100.2699966430664
2022-07-15,103.05000305175781
2022-07-18,103.75
2022-07-19,107.72000122070312
2022-07-20,108.0
2022-07-21,109.4800033569336
2022-07-22,110.98999786376953
2022-07-25,110.0999984741211
2022-07-26,109.36000061035156
2022-07-27,109.2699966430664
2022-07-28,111.77999877929688
2022-07-29,112.47000122070312
2022-08-01,110.25
2022-08-02,109.91999816894531
2022-08-03,111.16000366210938
2022-08-04,109.69999694824219
2022-08-05,110.3499984741211
2022-08-08,110.16000366210938
2022-08-09,109.62000274658203
2022-08-10,112.63999938964844
2022-08-11,111.38999938964844
2022-08-12,111.95999908447266
2022-08-15,111.79000091552734
2022-08-16,108.44000244140625
2022-08-17,106.2699966430664
2022-08-18,108.26000213623047
2022-08-19,107.9800033569336
2022-08-22,105.20999908447266
2022-08-23,103.58999633789062
2022-08-24,104.61000061035156
2022-08-25,105.79000091552734
2022-08-26,101.47000122070312
2022-08-29,101.30999755859375
2022-08-30,99.80999755859375
2022-08-31,97.83999633789062
2022-09-01,97.25
2022-09-02,96.95999908447266
2022-09-06,96.2300033569336
2022-09-07,100.87999725341797
2022-09-08,101.23999786376953
2022-09-09,103.01000213623047
