Date,FMC
2022-02-28,117.25
2022-03-01,116.08999633789062
2022-03-02,119.55999755859375
2022-03-03,120.6500015258789
2022-03-04,121.27999877929688
2022-03-07,118.91000366210938
2022-03-08,117.45999908447266
2022-03-09,120.0
2022-03-10,124.41999816894531
2022-03-11,123.2699966430664
2022-03-14,126.01000213623047
2022-03-15,127.68000030517578
2022-03-16,126.12999725341797
2022-03-17,129.63999938964844
2022-03-18,129.44000244140625
2022-03-21,131.39999389648438
2022-03-22,130.52999877929688
2022-03-23,131.25999450683594
2022-03-24,133.85000610351562
2022-03-25,136.5500030517578
2022-03-28,135.9499969482422
2022-03-29,130.6999969482422
2022-03-30,132.77000427246094
2022-03-31,131.57000732421875
2022-04-01,131.1300048828125
2022-04-04,132.2100067138672
2022-04-05,133.6999969482422
2022-04-06,134.0
2022-04-07,135.8300018310547
2022-04-08,138.39999389648438
2022-04-11,136.5800018310547
2022-04-12,137.16000366210938
2022-04-13,138.58999633789062
2022-04-14,136.7899932861328
2022-04-18,137.3800048828125
2022-04-19,139.3300018310547
2022-04-20,139.49000549316406
2022-04-21,137.00999450683594
2022-04-22,132.6300048828125
2022-04-25,131.64999389648438
2022-04-26,130.6699981689453
2022-04-27,132.4199981689453
2022-04-28,134.6999969482422
2022-04-29,132.5399932861328
2022-05-02,131.77999877929688
2022-05-03,123.5
2022-05-04,122.52999877929688
2022-05-05,118.54000091552734
2022-05-06,119.0
2022-05-09,113.91000366210938
2022-05-10,112.66999816894531
2022-05-11,115.51000213623047
2022-05-12,114.55000305175781
2022-05-13,116.7699966430664
2022-05-16,117.0199966430664
2022-05-17,119.30999755859375
2022-05-18,118.69000244140625
2022-05-19,121.37999725341797
2022-05-20,119.43000030517578
2022-05-23,123.51000213623047
2022-05-24,123.55999755859375
2022-05-25,122.27999877929688
2022-05-26,123.13999938964844
2022-05-27,126.01000213623047
2022-05-31,122.58000183105469
2022-06-01,121.70999908447266
2022-06-02,125.55000305175781
2022-06-03,121.31999969482422
2022-06-06,120.47000122070312
2022-06-07,121.2300033569336
2022-06-08,117.83000183105469
2022-06-09,115.47000122070312
2022-06-10,112.69999694824219
2022-06-13,108.11000061035156
2022-06-14,107.91999816894531
2022-06-15,107.16000366210938
2022-06-16,103.91000366210938
2022-06-17,103.9800033569336
2022-06-21,108.83000183105469
2022-06-22,107.62000274658203
2022-06-23,103.69000244140625
2022-06-24,108.2300033569336
2022-06-27,108.91999816894531
2022-06-28,107.83000183105469
2022-06-29,108.22000122070312
2022-06-30,107.01000213623047
2022-07-01,107.5
2022-07-05,103.9800033569336
2022-07-06,103.5999984741211
2022-07-07,104.44999694824219
2022-07-08,104.93000030517578
2022-07-11,104.62999725341797
2022-07-12,103.54000091552734
2022-07-13,102.73999786376953
2022-07-14,100.04000091552734
2022-07-15,100.91000366210938
2022-07-18,100.37000274658203
2022-07-19,103.80000305175781
2022-07-20,104.86000061035156
2022-07-21,105.77999877929688
2022-07-22,105.9000015258789
2022-07-25,107.62999725341797
2022-07-26,107.79000091552734
2022-07-27,109.76000213623047
2022-07-28,110.22000122070312
2022-07-29,111.0999984741211
2022-08-01,109.11000061035156
2022-08-02,107.5
2022-08-03,109.04000091552734
2022-08-04,106.05000305175781
2022-08-05,106.33000183105469
2022-08-08,108.02999877929688
2022-08-09,107.3499984741211
2022-08-10,109.2300033569336
2022-08-11,109.56999969482422
2022-08-12,112.2699966430664
2022-08-15,111.98999786376953
2022-08-16,113.76000213623047
2022-08-17,112.98999786376953
2022-08-18,112.88999938964844
2022-08-19,111.44000244140625
2022-08-22,108.81999969482422
2022-08-23,113.29000091552734
2022-08-24,114.68000030517578
2022-08-25,117.58999633789062
2022-08-26,113.91999816894531
2022-08-29,113.0199966430664
2022-08-30,109.70999908447266
2022-08-31,108.08000183105469
2022-09-01,106.81999969482422
2022-09-02,106.44000244140625
2022-09-06,105.02999877929688
2022-09-07,108.61000061035156
2022-09-08,109.9800033569336
2022-09-09,112.69999694824219
2022-09-12,113.05999755859375
2022-09-13,110.33999633789062
2022-09-14,110.98999786376953
2022-09-15,108.25
2022-09-16,105.87999725341797
2022-09-19,107.61000061035156
2022-09-20,106.31999969482422
2022-09-21,105.69999694824219
2022-09-22,107.18000030517578
2022-09-23,104.80000305175781
2022-09-26,103.29000091552734
2022-09-27,105.0
2022-09-28,108.37999725341797
2022-09-29,106.30999755859375
2022-09-30,105.69999694824219
2022-10-03,109.11000061035156
2022-10-04,112.44000244140625
2022-10-05,112.04000091552734
2022-10-06,111.97000122070312
2022-10-07,110.76000213623047
2022-10-10,112.41999816894531
2022-10-11,112.41999816894531
2022-10-12,114.69999694824219
2022-10-13,116.5199966430664
2022-10-14,110.83999633789062
2022-10-17,114.44999694824219
2022-10-18,117.69000244140625
2022-10-19,116.66999816894531
2022-10-20,115.3499984741211
2022-10-21,117.19999694824219
2022-10-24,115.69999694824219
2022-10-25,118.6500015258789
2022-10-26,118.4000015258789
2022-10-27,118.55000305175781
2022-10-28,117.95999908447266
2022-10-31,118.9000015258789
2022-11-01,119.58000183105469
2022-11-02,119.87000274658203
2022-11-03,123.33999633789062
2022-11-04,124.5
2022-11-07,124.47000122070312
2022-11-08,127.1500015258789
2022-11-09,125.87000274658203
2022-11-10,126.44999694824219
2022-11-11,125.55000305175781
2022-11-14,127.12999725341797
2022-11-15,128.72999572753906
2022-11-16,126.72000122070312
2022-11-17,127.30000305175781
2022-11-18,127.6500015258789
2022-11-21,127.2699966430664
2022-11-22,128.1300048828125
2022-11-23,128.25
2022-11-25,129.17999267578125
