Date,EL
2022-02-28,296.3299865722656
2022-03-01,285.5899963378906
2022-03-02,291.75
2022-03-03,292.20001220703125
2022-03-04,285.69000244140625
2022-03-07,263.8699951171875
2022-03-08,269.8399963378906
2022-03-09,277.67999267578125
2022-03-10,273.3599853515625
2022-03-11,264.2300109863281
2022-03-14,250.3800048828125
2022-03-15,258.8999938964844
2022-03-16,270.8800048828125
2022-03-17,272.3900146484375
2022-03-18,276.8699951171875
2022-03-21,273.9700012207031
2022-03-22,281.8999938964844
2022-03-23,273.42999267578125
2022-03-24,276.67999267578125
2022-03-25,274.8900146484375
2022-03-28,277.6199951171875
2022-03-29,284.92999267578125
2022-03-30,279.1600036621094
2022-03-31,272.32000732421875
2022-04-01,274.4100036621094
2022-04-04,278.6199951171875
2022-04-05,272.6600036621094
2022-04-06,264.7300109863281
2022-04-07,267.0199890136719
2022-04-08,266.6400146484375
2022-04-11,262.2799987792969
2022-04-12,262.70001220703125
2022-04-13,266.5799865722656
2022-04-14,263.8699951171875
2022-04-18,264.1199951171875
2022-04-19,274.55999755859375
2022-04-20,278.260009765625
2022-04-21,271.95001220703125
2022-04-22,264.0400085449219
2022-04-25,268.2200012207031
2022-04-26,254.77000427246094
2022-04-27,259.6400146484375
2022-04-28,272.3299865722656
2022-04-29,264.05999755859375
2022-05-02,260.6300048828125
2022-05-03,245.52000427246094
2022-05-04,257.260009765625
2022-05-05,241.8300018310547
2022-05-06,240.3000030517578
2022-05-09,233.5800018310547
2022-05-10,229.67999267578125
2022-05-11,229.49000549316406
2022-05-12,231.0
2022-05-13,240.38999938964844
2022-05-16,235.3800048828125
2022-05-17,242.5800018310547
2022-05-18,229.1300048828125
2022-05-19,235.3800048828125
2022-05-20,237.2100067138672
2022-05-23,236.60000610351562
2022-05-24,232.05999755859375
2022-05-25,232.11000061035156
2022-05-26,240.39999389648438
2022-05-27,251.86000061035156
2022-05-31,254.64999389648438
2022-06-01,250.4199981689453
2022-06-02,264.3999938964844
2022-06-03,264.2200012207031
2022-06-06,265.67999267578125
2022-06-07,271.32000732421875
2022-06-08,267.8599853515625
2022-06-09,258.7900085449219
2022-06-10,249.47999572753906
2022-06-13,238.25999450683594
2022-06-14,240.77999877929688
2022-06-15,243.1199951171875
2022-06-16,233.1199951171875
2022-06-17,237.8300018310547
2022-06-21,246.75999450683594
2022-06-22,247.91000366210938
2022-06-23,258.55999755859375
2022-06-24,270.20001220703125
2022-06-27,262.8699951171875
2022-06-28,257.3699951171875
2022-06-29,256.989990234375
2022-06-30,254.6699981689453
2022-07-01,256.5199890136719
2022-07-05,259.0299987792969
2022-07-06,257.239990234375
2022-07-07,259.3399963378906
2022-07-08,251.47999572753906
2022-07-11,245.58999633789062
2022-07-12,244.3000030517578
2022-07-13,245.44000244140625
