Date,REG
2022-02-28,65.88999938964844
2022-03-01,64.8499984741211
2022-03-02,66.66000366210938
2022-03-03,67.62999725341797
2022-03-04,67.77999877929688
2022-03-07,65.94999694824219
2022-03-08,67.73999786376953
2022-03-09,68.37999725341797
2022-03-10,67.83000183105469
2022-03-11,66.83999633789062
2022-03-14,65.20999908447266
2022-03-15,66.36000061035156
2022-03-16,66.62999725341797
2022-03-17,67.43000030517578
2022-03-18,67.51000213623047
2022-03-21,67.45999908447266
2022-03-22,68.68000030517578
2022-03-23,67.8499984741211
2022-03-24,67.5999984741211
2022-03-25,69.2300033569336
2022-03-28,69.18000030517578
2022-03-29,72.44000244140625
2022-03-30,72.38999938964844
2022-03-31,71.33999633789062
2022-04-01,71.83999633789062
2022-04-04,70.97000122070312
2022-04-05,70.55000305175781
2022-04-06,70.63999938964844
2022-04-07,69.19000244140625
2022-04-08,70.54000091552734
2022-04-11,70.02999877929688
2022-04-12,69.4800033569336
2022-04-13,70.52999877929688
2022-04-14,70.58000183105469
2022-04-18,70.55999755859375
2022-04-19,71.62999725341797
2022-04-20,72.72000122070312
2022-04-21,72.51000213623047
2022-04-22,70.44000244140625
2022-04-25,70.19999694824219
2022-04-26,70.11000061035156
2022-04-27,70.02999877929688
2022-04-28,71.93000030517578
2022-04-29,68.83000183105469
2022-05-02,67.12000274658203
2022-05-03,68.5999984741211
2022-05-04,72.95999908447266
2022-05-05,69.56999969482422
2022-05-06,68.58000183105469
2022-05-09,66.94000244140625
2022-05-10,66.02999877929688
2022-05-11,64.62000274658203
2022-05-12,65.55000305175781
2022-05-13,67.88999938964844
2022-05-16,68.01000213623047
2022-05-17,69.5199966430664
2022-05-18,66.33999633789062
2022-05-19,64.20999908447266
2022-05-20,63.2599983215332
2022-05-23,63.61000061035156
2022-05-24,65.4000015258789
2022-05-25,66.16000366210938
2022-05-26,67.20999908447266
2022-05-27,69.0999984741211
2022-05-31,68.20999908447266
2022-06-01,67.3499984741211
