Date,EBAY
2022-02-28,54.59000015258789
2022-03-01,54.349998474121094
2022-03-02,55.09000015258789
2022-03-03,54.41999816894531
2022-03-04,55.65999984741211
2022-03-07,54.849998474121094
2022-03-08,53.310001373291016
2022-03-09,53.060001373291016
2022-03-10,52.36000061035156
2022-03-11,50.060001373291016
2022-03-14,52.09000015258789
2022-03-15,53.939998626708984
2022-03-16,54.77000045776367
2022-03-17,55.66999816894531
2022-03-18,56.02000045776367
2022-03-21,55.31999969482422
2022-03-22,55.75
2022-03-23,55.599998474121094
2022-03-24,57.22999954223633
2022-03-25,57.41999816894531
2022-03-28,58.779998779296875
2022-03-29,60.209999084472656
2022-03-30,59.36000061035156
2022-03-31,57.2599983215332
2022-04-01,57.709999084472656
2022-04-04,56.72999954223633
2022-04-05,56.400001525878906
2022-04-06,54.119998931884766
2022-04-07,54.380001068115234
2022-04-08,55.029998779296875
2022-04-11,54.88999938964844
2022-04-12,54.2400016784668
2022-04-13,55.119998931884766
2022-04-14,54.150001525878906
2022-04-18,54.560001373291016
2022-04-19,55.16999816894531
2022-04-20,54.86000061035156
2022-04-21,54.77000045776367
2022-04-22,53.16999816894531
2022-04-25,53.630001068115234
2022-04-26,53.099998474121094
2022-04-27,52.060001373291016
2022-04-28,53.77000045776367
2022-04-29,51.91999816894531
2022-05-02,53.150001525878906
2022-05-03,53.459999084472656
2022-05-04,54.41999816894531
2022-05-05,48.040000915527344
2022-05-06,48.810001373291016
2022-05-09,49.2599983215332
2022-05-10,48.59000015258789
2022-05-11,46.58000183105469
2022-05-12,46.15999984741211
2022-05-13,46.650001525878906
2022-05-16,45.09000015258789
2022-05-17,46.91999816894531
2022-05-18,44.939998626708984
2022-05-19,44.619998931884766
2022-05-20,44.310001373291016
2022-05-23,45.189998626708984
2022-05-24,44.18000030517578
2022-05-25,44.810001373291016
2022-05-26,46.470001220703125
2022-05-27,48.81999969482422
2022-05-31,48.66999816894531
2022-06-01,46.970001220703125
2022-06-02,47.77000045776367
2022-06-03,47.09000015258789
2022-06-06,47.66999816894531
2022-06-07,47.5099983215332
2022-06-08,47.68000030517578
2022-06-09,46.689998626708984
2022-06-10,44.279998779296875
2022-06-13,42.93000030517578
2022-06-14,42.58000183105469
2022-06-15,43.5099983215332
2022-06-16,41.08000183105469
2022-06-17,42.209999084472656
2022-06-21,42.290000915527344
2022-06-22,43.130001068115234
2022-06-23,42.970001220703125
2022-06-24,45.66999816894531
2022-06-27,44.380001068115234
2022-06-28,42.650001525878906
2022-06-29,42.66999816894531
2022-06-30,41.66999816894531
2022-07-01,42.88999938964844
2022-07-05,43.93000030517578
2022-07-06,43.720001220703125
2022-07-07,43.81999969482422
2022-07-08,43.13999938964844
2022-07-11,42.83000183105469
2022-07-12,43.20000076293945
2022-07-13,42.4900016784668
2022-07-14,42.029998779296875
2022-07-15,43.61000061035156
2022-07-18,43.59000015258789
2022-07-19,45.380001068115234
2022-07-20,46.189998626708984
2022-07-21,46.650001525878906
2022-07-22,46.68000030517578
2022-07-25,46.560001373291016
2022-07-26,45.65999984741211
2022-07-27,47.18000030517578
2022-07-28,48.209999084472656
2022-07-29,48.630001068115234
2022-08-01,48.939998626708984
2022-08-02,48.43000030517578
2022-08-03,50.47999954223633
2022-08-04,47.869998931884766
2022-08-05,47.279998779296875
2022-08-08,47.61000061035156
2022-08-09,48.0
2022-08-10,48.5
2022-08-11,48.56999969482422
2022-08-12,49.439998626708984
2022-08-15,48.68000030517578
2022-08-16,49.5
2022-08-17,48.56999969482422
2022-08-18,48.540000915527344
2022-08-19,47.06999969482422
2022-08-22,45.38999938964844
2022-08-23,45.43000030517578
2022-08-24,45.529998779296875
2022-08-25,46.59000015258789
2022-08-26,44.529998779296875
2022-08-29,44.459999084472656
2022-08-30,44.45000076293945
2022-08-31,44.130001068115234
2022-09-01,44.77000045776367
2022-09-02,44.11000061035156
2022-09-06,43.040000915527344
2022-09-07,44.65999984741211
2022-09-08,44.25
2022-09-09,45.099998474121094
2022-09-12,45.52000045776367
2022-09-13,42.790000915527344
2022-09-14,42.56999969482422
2022-09-15,42.65999984741211
2022-09-16,42.0
2022-09-19,41.349998474121094
2022-09-20,39.900001525878906
2022-09-21,38.93000030517578
