Date,MSCI
2022-02-28,501.69000244140625
2022-03-01,500.3800048828125
2022-03-02,511.0899963378906
2022-03-03,507.1099853515625
2022-03-04,497.7799987792969
2022-03-07,467.3999938964844
2022-03-08,466.0
2022-03-09,488.1300048828125
2022-03-10,465.260009765625
2022-03-11,456.6300048828125
2022-03-14,457.3299865722656
2022-03-15,470.94000244140625
2022-03-16,492.9599914550781
2022-03-17,498.44000244140625
2022-03-18,520.3400268554688
2022-03-21,507.0
2022-03-22,509.760009765625
2022-03-23,491.25
2022-03-24,495.7300109863281
2022-03-25,490.30999755859375
2022-03-28,507.80999755859375
2022-03-29,516.77001953125
2022-03-30,510.2799987792969
2022-03-31,502.8800048828125
2022-04-01,516.0
2022-04-04,519.510009765625
2022-04-05,513.22998046875
2022-04-06,506.6499938964844
2022-04-07,510.0
2022-04-08,506.489990234375
2022-04-11,486.0899963378906
2022-04-12,480.30999755859375
2022-04-13,493.2699890136719
2022-04-14,482.70001220703125
2022-04-18,478.010009765625
2022-04-19,490.5199890136719
2022-04-20,493.5400085449219
2022-04-21,474.7799987792969
2022-04-22,456.0400085449219
2022-04-25,462.29998779296875
2022-04-26,429.80999755859375
2022-04-27,417.7799987792969
2022-04-28,433.3800048828125
2022-04-29,421.25
2022-05-02,423.75
2022-05-03,431.9100036621094
2022-05-04,432.739990234375
2022-05-05,416.04998779296875
2022-05-06,405.6099853515625
2022-05-09,379.0799865722656
2022-05-10,388.8900146484375
2022-05-11,387.3999938964844
2022-05-12,387.9800109863281
2022-05-13,408.1400146484375
2022-05-16,400.0
2022-05-17,407.75
2022-05-18,399.5
2022-05-19,410.0199890136719
2022-05-20,417.0400085449219
2022-05-23,417.67999267578125
2022-05-24,414.6099853515625
2022-05-25,416.79998779296875
2022-05-26,432.7799987792969
2022-05-27,448.1700134277344
2022-05-31,442.3500061035156
2022-06-01,431.45001220703125
2022-06-02,451.6199951171875
2022-06-03,438.45001220703125
2022-06-06,438.6600036621094
2022-06-07,446.2900085449219
2022-06-08,435.5299987792969
2022-06-09,427.0799865722656
2022-06-10,410.04998779296875
2022-06-13,393.0
2022-06-14,391.0
2022-06-15,397.3900146484375
2022-06-16,385.760009765625
2022-06-17,386.7099914550781
2022-06-21,400.25
2022-06-22,400.8699951171875
2022-06-23,416.7099914550781
2022-06-24,432.05999755859375
2022-06-27,429.7799987792969
2022-06-28,413.1199951171875
2022-06-29,415.260009765625
2022-06-30,412.1499938964844
2022-07-01,417.7200012207031
2022-07-05,422.010009765625
2022-07-06,426.239990234375
2022-07-07,435.489990234375
2022-07-08,433.95001220703125
2022-07-11,431.8500061035156
2022-07-12,420.32000732421875
2022-07-13,413.7200012207031
2022-07-14,410.1099853515625
2022-07-15,418.8699951171875
2022-07-18,412.010009765625
