Date,DOV
2022-02-28,156.86000061035156
2022-03-01,151.6699981689453
2022-03-02,157.14999389648438
2022-03-03,157.07000732421875
2022-03-04,150.94000244140625
2022-03-07,146.86000061035156
2022-03-08,146.19000244140625
2022-03-09,151.1999969482422
2022-03-10,151.97999572753906
2022-03-11,150.6300048828125
2022-03-14,151.4199981689453
2022-03-15,152.19000244140625
2022-03-16,155.8000030517578
2022-03-17,157.3300018310547
2022-03-18,159.27000427246094
2022-03-21,158.16000366210938
2022-03-22,159.38999938964844
2022-03-23,157.8300018310547
2022-03-24,157.22999572753906
2022-03-25,158.27999877929688
2022-03-28,158.64999389648438
2022-03-29,162.74000549316406
2022-03-30,160.5800018310547
2022-03-31,156.89999389648438
2022-04-01,158.5500030517578
2022-04-04,157.92999267578125
2022-04-05,153.9199981689453
2022-04-06,154.75
2022-04-07,154.42999267578125
2022-04-08,150.8800048828125
2022-04-11,149.22999572753906
2022-04-12,147.8699951171875
2022-04-13,149.41000366210938
2022-04-14,146.38999938964844
2022-04-18,146.6199951171875
2022-04-19,151.67999267578125
2022-04-20,155.52000427246094
2022-04-21,144.16000366210938
2022-04-22,143.0
2022-04-25,142.24000549316406
2022-04-26,139.0500030517578
2022-04-27,137.99000549316406
2022-04-28,139.49000549316406
2022-04-29,133.3000030517578
2022-05-02,134.3699951171875
2022-05-03,136.0399932861328
2022-05-04,138.24000549316406
2022-05-05,135.22999572753906
2022-05-06,133.00999450683594
2022-05-09,132.10000610351562
2022-05-10,129.9499969482422
2022-05-11,130.0800018310547
2022-05-12,131.35000610351562
2022-05-13,132.8300018310547
2022-05-16,133.3699951171875
2022-05-17,135.89999389648438
2022-05-18,129.38999938964844
2022-05-19,129.5399932861328
2022-05-20,130.77999877929688
2022-05-23,130.8000030517578
2022-05-24,130.85000610351562
2022-05-25,129.75999450683594
2022-05-26,133.05999755859375
2022-05-27,134.5500030517578
2022-05-31,133.91000366210938
2022-06-01,132.77999877929688
2022-06-02,135.52999877929688
2022-06-03,133.42999267578125
2022-06-06,133.19000244140625
2022-06-07,136.1199951171875
2022-06-08,134.6199951171875
2022-06-09,132.7100067138672
2022-06-10,128.41000366210938
2022-06-13,123.95999908447266
2022-06-14,123.0
2022-06-15,124.05999755859375
2022-06-16,119.81999969482422
2022-06-17,117.29000091552734
2022-06-21,119.22000122070312
2022-06-22,119.41999816894531
2022-06-23,118.58000183105469
2022-06-24,123.22000122070312
2022-06-27,123.06999969482422
2022-06-28,121.77999877929688
2022-06-29,121.26000213623047
2022-06-30,121.31999969482422
2022-07-01,122.41000366210938
2022-07-05,121.7699966430664
2022-07-06,122.08000183105469
2022-07-07,123.61000061035156
2022-07-08,121.77999877929688
2022-07-11,121.33000183105469
2022-07-12,120.7699966430664
2022-07-13,119.72000122070312
2022-07-14,117.93000030517578
2022-07-15,120.52999877929688
2022-07-18,119.9800033569336
2022-07-19,124.91000366210938
2022-07-20,125.69999694824219
2022-07-21,127.44000244140625
2022-07-22,128.63999938964844
2022-07-25,126.66999816894531
2022-07-26,127.2300033569336
2022-07-27,130.10000610351562
2022-07-28,131.8000030517578
2022-07-29,133.67999267578125
2022-08-01,132.27999877929688
2022-08-02,131.1300048828125
2022-08-03,133.1699981689453
2022-08-04,132.4600067138672
2022-08-05,134.02999877929688
2022-08-08,134.5
2022-08-09,131.85000610351562
2022-08-10,135.8300018310547
2022-08-11,136.47999572753906
2022-08-12,139.47999572753906
2022-08-15,140.27999877929688
2022-08-16,141.3300018310547
2022-08-17,139.08999633789062
2022-08-18,140.4499969482422
2022-08-19,137.8699951171875
