Date,IFF
2022-02-28,133.0
2022-03-01,128.41000366210938
2022-03-02,129.72000122070312
2022-03-03,127.02999877929688
2022-03-04,123.5
2022-03-07,116.13999938964844
2022-03-08,119.70999908447266
2022-03-09,120.81999969482422
2022-03-10,121.2300033569336
2022-03-11,118.13999938964844
2022-03-14,116.51000213623047
2022-03-15,120.4800033569336
2022-03-16,124.9800033569336
2022-03-17,126.55999755859375
2022-03-18,129.1300048828125
2022-03-21,126.56999969482422
2022-03-22,127.55999755859375
2022-03-23,126.12999725341797
2022-03-24,127.9800033569336
2022-03-25,129.5
2022-03-28,130.36000061035156
2022-03-29,134.16000366210938
2022-03-30,131.2100067138672
2022-03-31,131.3300018310547
2022-04-01,134.3300018310547
2022-04-04,130.83999633789062
2022-04-05,129.39999389648438
2022-04-06,125.5
2022-04-07,125.9000015258789
2022-04-08,124.2699966430664
2022-04-11,125.66999816894531
2022-04-12,124.43000030517578
2022-04-13,127.5999984741211
2022-04-14,125.43000030517578
2022-04-18,122.7300033569336
2022-04-19,124.54000091552734
2022-04-20,125.1500015258789
2022-04-21,124.8499984741211
2022-04-22,124.61000061035156
2022-04-25,123.06999969482422
2022-04-26,119.81999969482422
2022-04-27,123.25
2022-04-28,125.16999816894531
2022-04-29,121.30000305175781
2022-05-02,121.56999969482422
2022-05-03,121.9000015258789
2022-05-04,126.48999786376953
2022-05-05,122.75
2022-05-06,122.1500015258789
2022-05-09,119.48999786376953
2022-05-10,125.5
2022-05-11,128.0
2022-05-12,128.52999877929688
2022-05-13,132.16000366210938
2022-05-16,127.95999908447266
2022-05-17,129.8300018310547
2022-05-18,126.94999694824219
2022-05-19,129.00999450683594
2022-05-20,128.92999267578125
2022-05-23,129.11000061035156
2022-05-24,128.5399932861328
2022-05-25,129.69000244140625
2022-05-26,131.0
2022-05-27,132.9600067138672
2022-05-31,132.1699981689453
2022-06-01,132.16000366210938
2022-06-02,133.80999755859375
2022-06-03,132.57000732421875
2022-06-06,132.58999633789062
2022-06-07,134.52000427246094
2022-06-08,132.9199981689453
2022-06-09,130.8000030517578
2022-06-10,124.9000015258789
2022-06-13,119.55999755859375
2022-06-14,117.16999816894531
2022-06-15,116.43000030517578
2022-06-16,109.55999755859375
2022-06-17,108.30999755859375
2022-06-21,112.94999694824219
2022-06-22,115.70999908447266
2022-06-23,116.37000274658203
2022-06-24,121.41000366210938
2022-06-27,119.13999938964844
2022-06-28,116.69000244140625
2022-06-29,117.37999725341797
2022-06-30,119.12000274658203
2022-07-01,119.26000213623047
2022-07-05,118.9000015258789
2022-07-06,119.43000030517578
