Date,APD
2022-02-28,236.3000030517578
2022-03-01,230.52999877929688
2022-03-02,233.3300018310547
2022-03-03,231.86000061035156
2022-03-04,228.42999267578125
2022-03-07,221.5
2022-03-08,218.77000427246094
2022-03-09,227.0
2022-03-10,227.60000610351562
2022-03-11,219.3800048828125
2022-03-14,218.27000427246094
2022-03-15,222.6300048828125
2022-03-16,224.60000610351562
2022-03-17,228.5500030517578
2022-03-18,231.6699981689453
2022-03-21,234.1999969482422
2022-03-22,236.5399932861328
2022-03-23,235.24000549316406
2022-03-24,242.41000366210938
2022-03-25,246.55999755859375
2022-03-28,248.30999755859375
2022-03-29,252.33999633789062
2022-03-30,253.16000366210938
2022-03-31,249.91000366210938
2022-04-01,248.99000549316406
2022-04-04,252.64999389648438
2022-04-05,251.67999267578125
2022-04-06,250.10000610351562
2022-04-07,251.3699951171875
2022-04-08,251.1999969482422
2022-04-11,249.8300018310547
2022-04-12,247.77999877929688
2022-04-13,249.9199981689453
2022-04-14,246.83999633789062
2022-04-18,246.0
2022-04-19,249.57000732421875
2022-04-20,248.74000549316406
2022-04-21,251.13999938964844
2022-04-22,242.9199981689453
2022-04-25,242.75999450683594
2022-04-26,235.6300048828125
2022-04-27,238.25
2022-04-28,240.47999572753906
2022-04-29,234.07000732421875
2022-05-02,235.39999389648438
2022-05-03,239.10000610351562
2022-05-04,247.49000549316406
2022-05-05,235.97999572753906
2022-05-06,235.82000732421875
2022-05-09,233.22000122070312
2022-05-10,230.67999267578125
2022-05-11,232.88999938964844
2022-05-12,231.41000366210938
2022-05-13,233.7100067138672
2022-05-16,232.9199981689453
2022-05-17,239.5800018310547
2022-05-18,234.47000122070312
2022-05-19,234.22000122070312
2022-05-20,237.58999633789062
2022-05-23,237.9499969482422
2022-05-24,236.82000732421875
2022-05-25,236.4199981689453
2022-05-26,242.49000549316406
2022-05-27,250.64999389648438
2022-05-31,246.16000366210938
2022-06-01,243.50999450683594
2022-06-02,252.85000610351562
2022-06-03,252.27000427246094
2022-06-06,257.45001220703125
2022-06-07,260.7900085449219
2022-06-08,252.3800048828125
2022-06-09,253.6199951171875
2022-06-10,248.1999969482422
2022-06-13,242.69000244140625
2022-06-14,239.22000122070312
2022-06-15,239.2899932861328
2022-06-16,235.10000610351562
2022-06-17,235.97000122070312
2022-06-21,241.00999450683594
2022-06-22,241.0
2022-06-23,242.05999755859375
2022-06-24,252.0800018310547
2022-06-27,246.17999267578125
2022-06-28,242.50999450683594
2022-06-29,243.1300048828125
2022-06-30,240.47999572753906
2022-07-01,242.75
2022-07-05,239.97000122070312
2022-07-06,237.22000122070312
2022-07-07,235.82000732421875
2022-07-08,232.2100067138672
2022-07-11,234.08999633789062
2022-07-12,231.92999267578125
