Date,PNR
2022-02-28,57.90999984741211
2022-03-01,56.040000915527344
2022-03-02,57.400001525878906
2022-03-03,58.66999816894531
2022-03-04,56.56999969482422
2022-03-07,54.529998779296875
2022-03-08,53.68000030517578
2022-03-09,55.52000045776367
2022-03-10,54.650001525878906
2022-03-11,53.79999923706055
2022-03-14,54.0
2022-03-15,54.84000015258789
2022-03-16,56.83000183105469
2022-03-17,56.95000076293945
2022-03-18,57.220001220703125
2022-03-21,56.849998474121094
2022-03-22,57.380001068115234
2022-03-23,56.310001373291016
2022-03-24,55.43000030517578
2022-03-25,55.470001220703125
2022-03-28,55.5099983215332
2022-03-29,56.849998474121094
2022-03-30,56.41999816894531
2022-03-31,54.209999084472656
2022-04-01,54.880001068115234
2022-04-04,54.790000915527344
2022-04-05,53.900001525878906
2022-04-06,52.79999923706055
2022-04-07,53.220001220703125
2022-04-08,53.2599983215332
2022-04-11,52.560001373291016
2022-04-12,52.619998931884766
2022-04-13,52.959999084472656
2022-04-14,52.43000030517578
2022-04-18,51.72999954223633
2022-04-19,53.619998931884766
2022-04-20,54.31999969482422
2022-04-21,53.38999938964844
2022-04-22,52.68000030517578
2022-04-25,52.77000045776367
2022-04-26,51.68000030517578
2022-04-27,51.9900016784668
2022-04-28,53.02000045776367
2022-04-29,50.75
2022-05-02,51.56999969482422
2022-05-03,52.54999923706055
2022-05-04,53.790000915527344
2022-05-05,51.45000076293945
2022-05-06,50.47999954223633
2022-05-09,51.189998626708984
2022-05-10,49.16999816894531
2022-05-11,48.68000030517578
2022-05-12,49.470001220703125
2022-05-13,50.02000045776367
2022-05-16,49.619998931884766
2022-05-17,50.56999969482422
2022-05-18,48.09000015258789
2022-05-19,48.349998474121094
2022-05-20,48.959999084472656
2022-05-23,49.11000061035156
2022-05-24,48.810001373291016
2022-05-25,49.43000030517578
2022-05-26,50.29999923706055
2022-05-27,50.36000061035156
2022-05-31,50.16999816894531
2022-06-01,49.58000183105469
2022-06-02,51.349998474121094
2022-06-03,50.79999923706055
2022-06-06,50.880001068115234
2022-06-07,51.13999938964844
2022-06-08,49.869998931884766
2022-06-09,49.5099983215332
2022-06-10,47.869998931884766
2022-06-13,46.33000183105469
2022-06-14,45.86000061035156
2022-06-15,46.029998779296875
2022-06-16,44.02000045776367
2022-06-17,43.900001525878906
2022-06-21,44.29999923706055
2022-06-22,44.630001068115234
2022-06-23,45.529998779296875
2022-06-24,47.029998779296875
2022-06-27,46.45000076293945
2022-06-28,45.52000045776367
2022-06-29,45.709999084472656
2022-06-30,45.77000045776367
2022-07-01,46.470001220703125
2022-07-05,46.88999938964844
2022-07-06,46.900001525878906
2022-07-07,47.529998779296875
2022-07-08,46.5
2022-07-11,46.709999084472656
2022-07-12,46.189998626708984
2022-07-13,45.849998474121094
2022-07-14,45.20000076293945
2022-07-15,46.209999084472656
2022-07-18,45.91999816894531
2022-07-19,47.970001220703125
2022-07-20,48.59000015258789
2022-07-21,47.220001220703125
2022-07-22,46.9900016784668
2022-07-25,46.939998626708984
2022-07-26,48.040000915527344
2022-07-27,49.369998931884766
2022-07-28,48.459999084472656
2022-07-29,48.88999938964844
2022-08-01,48.45000076293945
2022-08-02,48.08000183105469
2022-08-03,49.0
2022-08-04,49.29999923706055
2022-08-05,49.099998474121094
2022-08-08,50.36000061035156
2022-08-09,48.290000915527344
2022-08-10,49.869998931884766
2022-08-11,49.650001525878906
2022-08-12,50.689998626708984
2022-08-15,50.7599983215332
2022-08-16,50.95000076293945
2022-08-17,50.45000076293945
2022-08-18,50.400001525878906
2022-08-19,49.380001068115234
2022-08-22,47.810001373291016
2022-08-23,47.869998931884766
2022-08-24,47.84000015258789
2022-08-25,48.790000915527344
2022-08-26,46.18000030517578
2022-08-29,45.08000183105469
2022-08-30,45.290000915527344
2022-08-31,44.5
2022-09-01,44.18000030517578
2022-09-02,43.90999984741211
2022-09-06,43.869998931884766
2022-09-07,45.189998626708984
2022-09-08,45.66999816894531
2022-09-09,47.119998931884766
2022-09-12,47.54999923706055
2022-09-13,45.0
2022-09-14,44.41999816894531
2022-09-15,43.599998474121094
2022-09-16,42.84000015258789
2022-09-19,43.59000015258789
2022-09-20,42.040000915527344
2022-09-21,41.56999969482422
2022-09-22,41.0
2022-09-23,41.25
2022-09-26,40.630001068115234
2022-09-27,40.81999969482422
2022-09-28,41.810001373291016
2022-09-29,40.93000030517578
2022-09-30,40.630001068115234
2022-10-03,41.810001373291016
2022-10-04,43.11000061035156
2022-10-05,42.52000045776367
2022-10-06,42.08000183105469
2022-10-07,40.90999984741211
2022-10-10,41.02000045776367
2022-10-11,40.849998474121094
2022-10-12,40.58000183105469
2022-10-13,41.5099983215332
2022-10-14,40.84000015258789
2022-10-17,41.790000915527344
2022-10-18,41.91999816894531
2022-10-19,40.130001068115234
2022-10-20,39.0099983215332
2022-10-21,39.619998931884766
2022-10-24,40.779998779296875
2022-10-25,42.22999954223633
2022-10-26,41.849998474121094
2022-10-27,41.310001373291016
2022-10-28,42.7599983215332
2022-10-31,42.95000076293945
2022-11-01,42.400001525878906
2022-11-02,40.38999938964844
2022-11-03,40.18000030517578
2022-11-04,41.060001373291016
2022-11-07,41.880001068115234
2022-11-08,41.7599983215332
2022-11-09,40.59000015258789
2022-11-10,45.099998474121094
2022-11-11,46.689998626708984
2022-11-14,45.970001220703125
2022-11-15,46.709999084472656
2022-11-16,45.54999923706055
2022-11-17,44.38999938964844
2022-11-18,45.029998779296875
2022-11-21,44.97999954223633
2022-11-22,45.54999923706055
2022-11-23,45.95000076293945
