Date,PFG
2022-02-28,70.63999938964844
2022-03-01,67.47000122070312
2022-03-02,69.37000274658203
2022-03-03,69.01000213623047
2022-03-04,67.05999755859375
2022-03-07,64.37000274658203
2022-03-08,64.88999938964844
2022-03-09,66.16999816894531
2022-03-10,65.55999755859375
2022-03-11,65.05999755859375
2022-03-14,66.20999908447266
2022-03-15,67.4800033569336
2022-03-16,69.55999755859375
2022-03-17,70.04000091552734
2022-03-18,70.02999877929688
2022-03-21,69.83999633789062
2022-03-22,70.9800033569336
2022-03-23,70.79000091552734
2022-03-24,71.8499984741211
2022-03-25,73.5999984741211
2022-03-28,73.37000274658203
2022-03-29,74.58999633789062
2022-03-30,74.55999755859375
2022-03-31,73.41000366210938
2022-04-01,73.88999938964844
2022-04-04,73.41000366210938
2022-04-05,74.37999725341797
2022-04-06,73.97000122070312
2022-04-07,73.05999755859375
2022-04-08,73.62000274658203
2022-04-11,73.30000305175781
2022-04-12,72.9800033569336
2022-04-13,74.0
2022-04-14,73.94999694824219
2022-04-18,73.91999816894531
2022-04-19,75.16999816894531
2022-04-20,76.20999908447266
2022-04-21,75.0199966430664
2022-04-22,72.33999633789062
2022-04-25,71.8499984741211
2022-04-26,69.86000061035156
2022-04-27,69.91999816894531
2022-04-28,70.63999938964844
2022-04-29,68.13999938964844
2022-05-02,68.77999877929688
2022-05-03,69.86000061035156
2022-05-04,73.41000366210938
2022-05-05,71.51000213623047
2022-05-06,70.26000213623047
2022-05-09,68.98999786376953
2022-05-10,69.12999725341797
2022-05-11,68.06999969482422
2022-05-12,67.62000274658203
2022-05-13,70.0199966430664
2022-05-16,70.08000183105469
2022-05-17,72.7699966430664
2022-05-18,71.44000244140625
2022-05-19,69.75
2022-05-20,69.23999786376953
2022-05-23,70.52999877929688
2022-05-24,70.33999633789062
2022-05-25,70.95999908447266
2022-05-26,71.9800033569336
2022-05-27,72.94000244140625
2022-05-31,72.93000030517578
2022-06-01,71.5999984741211
2022-06-02,72.19000244140625
