Date,GD
2022-02-28,234.4499969482422
2022-03-01,233.32000732421875
2022-03-02,235.75
2022-03-03,238.1300048828125
2022-03-04,245.2899932861328
2022-03-07,247.2899932861328
2022-03-08,235.30999755859375
2022-03-09,236.80999755859375
2022-03-10,235.52000427246094
2022-03-11,232.47999572753906
2022-03-14,233.8300018310547
2022-03-15,237.6199951171875
2022-03-16,227.69000244140625
2022-03-17,230.50999450683594
2022-03-18,230.22999572753906
2022-03-21,236.07000732421875
2022-03-22,237.8300018310547
2022-03-23,239.69000244140625
2022-03-24,241.0
2022-03-25,244.36000061035156
2022-03-28,240.88999938964844
2022-03-29,241.08999633789062
2022-03-30,244.32000732421875
2022-03-31,241.17999267578125
2022-04-01,242.50999450683594
2022-04-04,239.22999572753906
2022-04-05,239.14999389648438
2022-04-06,240.75999450683594
2022-04-07,243.61000061035156
2022-04-08,242.0399932861328
2022-04-11,243.5500030517578
2022-04-12,243.82000732421875
2022-04-13,243.7100067138672
2022-04-14,243.74000549316406
2022-04-18,243.86000061035156
2022-04-19,246.58999633789062
2022-04-20,247.69000244140625
2022-04-21,242.05999755859375
2022-04-22,238.7899932861328
2022-04-25,239.17999267578125
2022-04-26,236.92999267578125
2022-04-27,239.97999572753906
2022-04-28,241.1999969482422
2022-04-29,236.52999877929688
2022-05-02,233.25
2022-05-03,233.3800048828125
2022-05-04,242.9199981689453
2022-05-05,239.24000549316406
2022-05-06,239.60000610351562
2022-05-09,229.3699951171875
2022-05-10,229.3000030517578
2022-05-11,226.94000244140625
2022-05-12,223.49000549316406
2022-05-13,226.30999755859375
2022-05-16,227.8000030517578
2022-05-17,231.6199951171875
2022-05-18,225.97999572753906
2022-05-19,217.77999877929688
2022-05-20,213.5
2022-05-23,216.6999969482422
2022-05-24,219.82000732421875
2022-05-25,220.0500030517578
2022-05-26,221.25999450683594
2022-05-27,226.50999450683594
2022-05-31,224.91000366210938
2022-06-01,226.22000122070312
2022-06-02,229.44000244140625
2022-06-03,230.1300048828125
2022-06-06,229.89999389648438
2022-06-07,235.5800018310547
2022-06-08,231.36000061035156
2022-06-09,226.88999938964844
2022-06-10,224.6300048828125
2022-06-13,217.52999877929688
2022-06-14,215.89999389648438
2022-06-15,217.9199981689453
2022-06-16,211.88999938964844
2022-06-17,209.77999877929688
2022-06-21,216.5500030517578
2022-06-22,216.00999450683594
2022-06-23,216.60000610351562
2022-06-24,222.3300018310547
2022-06-27,223.5
2022-06-28,220.49000549316406
2022-06-29,219.27999877929688
2022-06-30,221.25
2022-07-01,223.86000061035156
2022-07-05,214.52999877929688
2022-07-06,219.55999755859375
2022-07-07,220.5800018310547
2022-07-08,221.11000061035156
2022-07-11,219.75
2022-07-12,216.6300048828125
2022-07-13,213.38999938964844
2022-07-14,210.4499969482422
2022-07-15,212.77000427246094
2022-07-18,209.7899932861328
2022-07-19,214.67999267578125
2022-07-20,216.72000122070312
2022-07-21,216.88999938964844
2022-07-22,216.75999450683594
2022-07-25,218.8000030517578
2022-07-26,217.6300048828125
2022-07-27,219.85000610351562
2022-07-28,223.8000030517578
2022-07-29,226.6699981689453
2022-08-01,226.17999267578125
2022-08-02,227.0399932861328
2022-08-03,230.6699981689453
2022-08-04,229.16000366210938
2022-08-05,228.75999450683594
2022-08-08,225.7899932861328
2022-08-09,227.6199951171875
2022-08-10,230.4600067138672
2022-08-11,231.82000732421875
2022-08-12,237.9499969482422
2022-08-15,241.25
2022-08-16,241.47999572753906
2022-08-17,242.69000244140625
2022-08-18,243.69000244140625
2022-08-19,241.6699981689453
2022-08-22,234.49000549316406
2022-08-23,234.0
2022-08-24,234.49000549316406
2022-08-25,238.00999450683594
2022-08-26,232.58999633789062
2022-08-29,233.6999969482422
2022-08-30,231.1199951171875
2022-08-31,228.92999267578125
2022-09-01,225.3699951171875
2022-09-02,224.8800048828125
2022-09-06,224.5500030517578
2022-09-07,227.74000549316406
2022-09-08,227.69000244140625
2022-09-09,231.61000061035156
2022-09-12,235.44000244140625
2022-09-13,227.97999572753906
2022-09-14,230.72999572753906
2022-09-15,228.4600067138672
2022-09-16,227.4499969482422
2022-09-19,229.02999877929688
2022-09-20,229.11000061035156
2022-09-21,228.1999969482422
2022-09-22,228.08999633789062
2022-09-23,221.89999389648438
2022-09-26,220.42999267578125
2022-09-27,218.6699981689453
2022-09-28,220.4499969482422
2022-09-29,214.42999267578125
2022-09-30,212.1699981689453
2022-10-03,220.52999877929688
2022-10-04,226.63999938964844
2022-10-05,226.67999267578125
2022-10-06,223.41000366210938
2022-10-07,223.67999267578125
2022-10-10,225.41000366210938
2022-10-11,227.74000549316406
2022-10-12,223.32000732421875
2022-10-13,229.1300048828125
2022-10-14,221.1699981689453
2022-10-17,228.83999633789062
2022-10-18,237.47999572753906
2022-10-19,239.3699951171875
2022-10-20,237.44000244140625
2022-10-21,242.60000610351562
2022-10-24,243.80999755859375
2022-10-25,245.75
2022-10-26,245.6999969482422
2022-10-27,248.0
2022-10-28,250.72000122070312
