Date,SLB
2022-02-28,39.2400016784668
2022-03-01,37.66999816894531
2022-03-02,39.2400016784668
2022-03-03,38.52000045776367
2022-03-04,38.939998626708984
2022-03-07,42.099998474121094
2022-03-08,45.08000183105469
2022-03-09,42.560001373291016
2022-03-10,43.400001525878906
2022-03-11,42.900001525878906
2022-03-14,41.54999923706055
2022-03-15,39.2599983215332
2022-03-16,37.880001068115234
2022-03-17,39.5099983215332
2022-03-18,39.72999954223633
2022-03-21,41.189998626708984
2022-03-22,41.20000076293945
2022-03-23,42.40999984741211
2022-03-24,42.63999938964844
2022-03-25,43.68000030517578
2022-03-28,41.72999954223633
2022-03-29,42.630001068115234
2022-03-30,42.209999084472656
2022-03-31,41.310001373291016
2022-04-01,41.689998626708984
2022-04-04,41.54999923706055
2022-04-05,40.459999084472656
2022-04-06,40.779998779296875
2022-04-07,40.970001220703125
2022-04-08,42.54999923706055
2022-04-11,41.33000183105469
2022-04-12,41.529998779296875
2022-04-13,42.56999969482422
2022-04-14,43.25
2022-04-18,43.68000030517578
2022-04-19,43.43000030517578
2022-04-20,42.68000030517578
2022-04-21,40.650001525878906
2022-04-22,41.650001525878906
2022-04-25,38.689998626708984
2022-04-26,39.540000915527344
2022-04-27,39.95000076293945
2022-04-28,40.11000061035156
2022-04-29,39.0099983215332
2022-05-02,39.11000061035156
2022-05-03,40.150001525878906
2022-05-04,42.599998474121094
2022-05-05,42.08000183105469
2022-05-06,43.029998779296875
2022-05-09,38.040000915527344
2022-05-10,37.88999938964844
2022-05-11,38.369998931884766
2022-05-12,39.029998779296875
2022-05-13,40.7400016784668
2022-05-16,42.13999938964844
2022-05-17,42.95000076293945
2022-05-18,41.130001068115234
2022-05-19,40.849998474121094
2022-05-20,41.119998931884766
2022-05-23,43.810001373291016
2022-05-24,43.900001525878906
2022-05-25,45.04999923706055
2022-05-26,46.689998626708984
2022-05-27,48.209999084472656
2022-05-31,45.959999084472656
2022-06-01,46.68000030517578
2022-06-02,46.29999923706055
2022-06-03,47.470001220703125
2022-06-06,47.220001220703125
2022-06-07,48.93000030517578
2022-06-08,49.56999969482422
2022-06-09,48.13999938964844
2022-06-10,47.209999084472656
2022-06-13,44.31999969482422
2022-06-14,43.220001220703125
2022-06-15,41.52000045776367
2022-06-16,38.47999954223633
2022-06-17,36.63999938964844
2022-06-21,38.81999969482422
2022-06-22,37.52000045776367
2022-06-23,34.97999954223633
2022-06-24,35.060001373291016
2022-06-27,35.88999938964844
2022-06-28,36.970001220703125
2022-06-29,36.18000030517578
2022-06-30,35.7599983215332
2022-07-01,35.650001525878906
2022-07-05,33.33000183105469
2022-07-06,32.72999954223633
2022-07-07,34.380001068115234
2022-07-08,34.31999969482422
2022-07-11,33.369998931884766
2022-07-12,32.72999954223633
2022-07-13,32.290000915527344
2022-07-14,31.329999923706055
2022-07-15,32.29999923706055
2022-07-18,33.130001068115234
2022-07-19,34.220001220703125
2022-07-20,34.13999938964844
2022-07-21,33.630001068115234
2022-07-22,35.06999969482422
2022-07-25,36.16999816894531
2022-07-26,35.599998474121094
2022-07-27,36.33000183105469
2022-07-28,35.709999084472656
2022-07-29,37.029998779296875
2022-08-01,36.400001525878906
2022-08-02,36.689998626708984
2022-08-03,35.540000915527344
2022-08-04,33.95000076293945
2022-08-05,34.65999984741211
2022-08-08,34.650001525878906
2022-08-09,34.9900016784668
2022-08-10,34.91999816894531
2022-08-11,36.88999938964844
2022-08-12,37.13999938964844
2022-08-15,35.7599983215332
2022-08-16,35.58000183105469
2022-08-17,35.400001525878906
2022-08-18,37.130001068115234
2022-08-19,37.119998931884766
2022-08-22,36.91999816894531
2022-08-23,39.36000061035156
2022-08-24,39.90999984741211
2022-08-25,40.16999816894531
2022-08-26,39.41999816894531
2022-08-29,40.380001068115234
2022-08-30,38.68000030517578
2022-08-31,38.150001525878906
2022-09-01,36.849998474121094
2022-09-02,38.06999969482422
2022-09-06,37.36000061035156
2022-09-07,37.060001373291016
2022-09-08,38.16999816894531
2022-09-09,39.650001525878906
2022-09-12,40.150001525878906
2022-09-13,38.470001220703125
2022-09-14,40.2400016784668
2022-09-15,39.630001068115234
2022-09-16,38.369998931884766
2022-09-19,38.970001220703125
2022-09-20,38.5
2022-09-21,37.58000183105469
2022-09-22,38.22999954223633
2022-09-23,35.0
2022-09-26,33.86000061035156
2022-09-27,33.97999954223633
2022-09-28,35.439998626708984
2022-09-29,35.970001220703125
2022-09-30,35.900001525878906
2022-10-03,38.29999923706055
2022-10-04,39.119998931884766
2022-10-05,41.56999969482422
2022-10-06,42.4900016784668
2022-10-07,42.59000015258789
2022-10-10,42.130001068115234
2022-10-11,41.7599983215332
2022-10-12,42.02000045776367
2022-10-13,44.189998626708984
2022-10-14,42.15999984741211
2022-10-17,42.86000061035156
2022-10-18,43.36000061035156
2022-10-19,45.470001220703125
2022-10-20,45.689998626708984
2022-10-21,50.40999984741211
2022-10-24,52.150001525878906
2022-10-25,52.470001220703125
2022-10-26,52.18000030517578
2022-10-27,51.68000030517578
2022-10-28,50.45000076293945
2022-10-31,52.029998779296875
2022-11-01,51.54999923706055
2022-11-02,51.13999938964844
2022-11-03,51.79999923706055
2022-11-04,53.099998474121094
2022-11-07,54.810001373291016
2022-11-08,54.689998626708984
2022-11-09,53.06999969482422
2022-11-10,53.099998474121094
2022-11-11,54.81999969482422
2022-11-14,54.06999969482422
2022-11-15,54.66999816894531
2022-11-16,52.9900016784668
2022-11-17,52.83000183105469
2022-11-18,53.439998626708984
2022-11-21,52.27000045776367
2022-11-22,53.63999938964844
