Date,ORLY
2022-02-28,649.239990234375
2022-03-01,656.52001953125
2022-03-02,675.8699951171875
2022-03-03,684.1900024414062
2022-03-04,674.0900268554688
2022-03-07,660.4299926757812
2022-03-08,655.1699829101562
2022-03-09,674.7000122070312
2022-03-10,675.5800170898438
2022-03-11,675.1099853515625
2022-03-14,674.8200073242188
2022-03-15,695.8400268554688
2022-03-16,700.8599853515625
2022-03-17,701.3200073242188
2022-03-18,689.97998046875
2022-03-21,685.469970703125
2022-03-22,687.0
2022-03-23,688.25
2022-03-24,700.239990234375
2022-03-25,703.3599853515625
2022-03-28,686.5499877929688
2022-03-29,702.52001953125
2022-03-30,696.530029296875
2022-03-31,684.9600219726562
2022-04-01,667.4299926757812
2022-04-04,686.8499755859375
2022-04-05,690.489990234375
2022-04-06,701.1400146484375
2022-04-07,726.8300170898438
2022-04-08,736.469970703125
2022-04-11,723.9400024414062
2022-04-12,717.5499877929688
2022-04-13,724.0999755859375
2022-04-14,713.8800048828125
2022-04-18,721.6199951171875
2022-04-19,730.2899780273438
2022-04-20,743.8599853515625
2022-04-21,728.1500244140625
2022-04-22,707.77001953125
2022-04-25,713.4199829101562
2022-04-26,714.25
2022-04-27,713.2899780273438
2022-04-28,623.280029296875
2022-04-29,606.5499877929688
2022-05-02,610.6500244140625
2022-05-03,603.489990234375
2022-05-04,628.0800170898438
2022-05-05,603.5499877929688
2022-05-06,608.4000244140625
2022-05-09,610.0700073242188
2022-05-10,611.8099975585938
2022-05-11,607.530029296875
2022-05-12,622.3400268554688
2022-05-13,635.6199951171875
2022-05-16,638.8300170898438
2022-05-17,648.3400268554688
2022-05-18,599.8699951171875
2022-05-19,601.530029296875
2022-05-20,572.5700073242188
2022-05-23,579.1099853515625
2022-05-24,608.1799926757812
2022-05-25,615.7899780273438
2022-05-26,639.1500244140625
2022-05-27,647.3400268554688
2022-05-31,637.1699829101562
2022-06-01,624.6099853515625
2022-06-02,634.1199951171875
2022-06-03,631.6099853515625
2022-06-06,637.7999877929688
2022-06-07,634.8400268554688
2022-06-08,624.8300170898438
2022-06-09,619.1300048828125
2022-06-10,607.4400024414062
2022-06-13,594.27001953125
2022-06-14,596.6900024414062
2022-06-15,599.010009765625
2022-06-16,585.0
2022-06-17,586.719970703125
2022-06-21,597.3499755859375
2022-06-22,608.8200073242188
2022-06-23,628.1900024414062
2022-06-24,639.0599975585938
2022-06-27,641.1199951171875
2022-06-28,630.52001953125
2022-06-29,637.1300048828125
2022-06-30,631.760009765625
2022-07-01,636.0800170898438
2022-07-05,647.510009765625
2022-07-06,657.75
2022-07-07,661.6199951171875
2022-07-08,657.8800048828125
2022-07-11,655.2999877929688
2022-07-12,653.2899780273438
2022-07-13,667.1599731445312
2022-07-14,673.780029296875
2022-07-15,683.2000122070312
2022-07-18,672.739990234375
2022-07-19,689.3200073242188
2022-07-20,689.9600219726562
2022-07-21,685.8599853515625
2022-07-22,688.2000122070312
2022-07-25,685.2000122070312
2022-07-26,675.3499755859375
2022-07-27,689.4000244140625
2022-07-28,707.010009765625
2022-07-29,703.5900268554688
2022-08-01,708.989990234375
2022-08-02,708.469970703125
2022-08-03,705.3699951171875
2022-08-04,706.9199829101562
2022-08-05,709.010009765625
2022-08-08,712.27001953125
2022-08-09,717.02001953125
2022-08-10,719.8300170898438
2022-08-11,719.4099731445312
2022-08-12,731.5900268554688
2022-08-15,737.9600219726562
2022-08-16,742.5900268554688
2022-08-17,743.760009765625
2022-08-18,736.719970703125
2022-08-19,736.5499877929688
2022-08-22,724.3800048828125
2022-08-23,720.0900268554688
2022-08-24,711.2100219726562
2022-08-25,713.72998046875
2022-08-26,698.7899780273438
2022-08-29,704.77001953125
2022-08-30,698.260009765625
2022-08-31,697.1199951171875
2022-09-01,706.469970703125
2022-09-02,702.7000122070312
2022-09-06,707.530029296875
2022-09-07,724.4099731445312
2022-09-08,728.6400146484375
2022-09-09,721.02001953125
2022-09-12,727.4199829101562
2022-09-13,695.6799926757812
2022-09-14,689.4299926757812
2022-09-15,688.8699951171875
2022-09-16,693.510009765625
2022-09-19,695.280029296875
2022-09-20,701.0700073242188
2022-09-21,695.4299926757812
2022-09-22,693.5599975585938
2022-09-23,688.22998046875
2022-09-26,693.719970703125
2022-09-27,693.1900024414062
2022-09-28,717.6300048828125
2022-09-29,711.760009765625
2022-09-30,703.3499755859375
2022-10-03,718.1900024414062
2022-10-04,729.7100219726562
2022-10-05,732.0900268554688
2022-10-06,732.4099731445312
2022-10-07,710.77001953125
2022-10-10,724.5700073242188
2022-10-11,730.9000244140625
2022-10-12,727.5599975585938
2022-10-13,737.97998046875
2022-10-14,731.9099731445312
2022-10-17,736.27001953125
2022-10-18,742.1099853515625
2022-10-19,737.719970703125
2022-10-20,730.9199829101562
2022-10-21,744.0700073242188
2022-10-24,768.4600219726562
2022-10-25,775.72998046875
2022-10-26,777.4600219726562
2022-10-27,813.219970703125
2022-10-28,836.2999877929688
2022-10-31,837.1699829101562
2022-11-01,834.0
2022-11-02,815.1099853515625
2022-11-03,819.3699951171875
2022-11-04,815.739990234375
2022-11-07,830.2000122070312
2022-11-08,833.510009765625
2022-11-09,828.7000122070312
2022-11-10,843.8499755859375
2022-11-11,815.5999755859375
2022-11-14,824.9199829101562
2022-11-15,825.1199951171875
2022-11-16,833.97998046875
2022-11-17,829.97998046875
2022-11-18,838.27001953125
2022-11-21,846.3900146484375
2022-11-22,852.1300048828125
2022-11-23,850.8200073242188
2022-11-25,855.969970703125
2022-11-28,852.5599975585938
2022-11-29,849.72998046875
2022-11-30,864.5399780273438
2022-12-01,857.1799926757812
2022-12-02,858.4099731445312
2022-12-05,843.0999755859375
2022-12-06,829.6599731445312
2022-12-07,828.7899780273438
2022-12-08,836.3599853515625
2022-12-09,827.7999877929688
2022-12-12,834.3499755859375
2022-12-13,818.760009765625
2022-12-14,814.5
2022-12-15,807.2000122070312
2022-12-16,811.77001953125
2022-12-19,816.4299926757812
2022-12-20,823.6300048828125
2022-12-21,833.6199951171875
2022-12-22,823.780029296875
2022-12-23,833.5499877929688
2022-12-27,843.8400268554688
2022-12-28,844.6199951171875
2022-12-29,843.6599731445312
2022-12-30,844.030029296875
2023-01-03,840.719970703125
2023-01-04,826.739990234375
2023-01-05,834.2899780273438
2023-01-06,842.52001953125
2023-01-09,828.7100219726562
2023-01-10,826.8800048828125
2023-01-11,825.5
2023-01-12,810.8499755859375
2023-01-13,815.469970703125
2023-01-17,809.739990234375
2023-01-18,805.0800170898438
2023-01-19,793.72998046875
2023-01-20,793.3800048828125
2023-01-23,794.4000244140625
2023-01-24,799.0900268554688
2023-01-25,800.469970703125
2023-01-26,800.6300048828125
2023-01-27,771.1699829101562
2023-01-30,789.6300048828125
