Date,ZBH
2022-02-28,123.48543548583984
2022-03-01,124.13999938964844
2022-03-02,122.69000244140625
2022-03-03,122.12999725341797
2022-03-04,120.44000244140625
2022-03-07,116.68000030517578
2022-03-08,115.75
2022-03-09,117.63999938964844
2022-03-10,119.33999633789062
2022-03-11,118.81999969482422
2022-03-14,117.69000244140625
2022-03-15,119.19999694824219
2022-03-16,121.98999786376953
2022-03-17,122.27999877929688
2022-03-18,120.7699966430664
2022-03-21,121.04000091552734
2022-03-22,120.4800033569336
2022-03-23,120.73999786376953
2022-03-24,124.1500015258789
2022-03-25,125.27999877929688
2022-03-28,125.68000030517578
2022-03-29,129.5800018310547
2022-03-30,128.69000244140625
2022-03-31,127.9000015258789
2022-04-01,127.7300033569336
2022-04-04,125.86000061035156
2022-04-05,129.1300048828125
2022-04-06,127.8499984741211
2022-04-07,129.91000366210938
2022-04-08,129.6199951171875
2022-04-11,126.9000015258789
2022-04-12,126.63999938964844
2022-04-13,127.94999694824219
2022-04-14,126.0
2022-04-18,125.2300033569336
2022-04-19,130.60000610351562
2022-04-20,133.85000610351562
2022-04-21,131.66000366210938
2022-04-22,125.69999694824219
2022-04-25,127.80999755859375
2022-04-26,124.1500015258789
2022-04-27,122.87999725341797
2022-04-28,124.61000061035156
2022-04-29,120.75
2022-05-02,120.6500015258789
2022-05-03,120.68000030517578
2022-05-04,126.31999969482422
2022-05-05,122.54000091552734
2022-05-06,120.33000183105469
2022-05-09,115.0
2022-05-10,114.16999816894531
2022-05-11,113.41999816894531
2022-05-12,113.0999984741211
2022-05-13,115.06999969482422
2022-05-16,115.12000274658203
2022-05-17,119.37999725341797
2022-05-18,116.44999694824219
2022-05-19,116.91000366210938
2022-05-20,117.61000061035156
2022-05-23,120.83000183105469
2022-05-24,119.38999938964844
2022-05-25,119.1500015258789
2022-05-26,120.6500015258789
2022-05-27,119.83000183105469
2022-05-31,120.20999908447266
2022-06-01,119.27999877929688
2022-06-02,122.06999969482422
2022-06-03,120.62999725341797
2022-06-06,118.41000366210938
2022-06-07,119.12999725341797
2022-06-08,118.52999877929688
2022-06-09,115.02999877929688
2022-06-10,113.37999725341797
2022-06-13,110.0999984741211
2022-06-14,105.2699966430664
2022-06-15,106.97000122070312
2022-06-16,103.23999786376953
2022-06-17,102.6500015258789
2022-06-21,102.2300033569336
2022-06-22,105.30999755859375
2022-06-23,106.4000015258789
2022-06-24,108.87000274658203
2022-06-27,108.51000213623047
2022-06-28,106.4800033569336
2022-06-29,106.55000305175781
2022-06-30,105.05999755859375
2022-07-01,107.2699966430664
2022-07-05,106.88999938964844
2022-07-06,105.7300033569336
2022-07-07,106.05999755859375
2022-07-08,105.33999633789062
2022-07-11,103.30000305175781
2022-07-12,103.02999877929688
2022-07-13,102.44000244140625
2022-07-14,101.6500015258789
2022-07-15,103.51000213623047
2022-07-18,103.4800033569336
2022-07-19,107.23999786376953
2022-07-20,108.0
2022-07-21,108.44999694824219
2022-07-22,107.0
2022-07-25,107.9000015258789
2022-07-26,108.0199966430664
2022-07-27,111.11000061035156
2022-07-28,110.77999877929688
2022-07-29,110.38999938964844
2022-08-01,109.76000213623047
2022-08-02,114.05999755859375
2022-08-03,115.61000061035156
2022-08-04,113.3499984741211
2022-08-05,113.26000213623047
2022-08-08,113.16000366210938
2022-08-09,112.48999786376953
2022-08-10,114.97000122070312
2022-08-11,115.0
2022-08-12,117.22000122070312
2022-08-15,116.7300033569336
2022-08-16,116.12000274658203
2022-08-17,114.63999938964844
2022-08-18,114.5199966430664
2022-08-19,113.2300033569336
2022-08-22,111.36000061035156
2022-08-23,109.30000305175781
2022-08-24,109.69999694824219
2022-08-25,111.94000244140625
2022-08-26,107.51000213623047
2022-08-29,107.62000274658203
2022-08-30,107.37000274658203
2022-08-31,106.31999969482422
2022-09-01,106.80000305175781
2022-09-02,105.56999969482422
2022-09-06,104.93000030517578
2022-09-07,108.58000183105469
2022-09-08,110.79000091552734
2022-09-09,114.5
2022-09-12,119.2699966430664
2022-09-13,116.4000015258789
2022-09-14,116.41000366210938
2022-09-15,115.7699966430664
2022-09-16,112.69000244140625
2022-09-19,113.4000015258789
2022-09-20,111.7699966430664
2022-09-21,110.19999694824219
2022-09-22,108.01000213623047
2022-09-23,106.20999908447266
2022-09-26,105.1500015258789
2022-09-27,104.81999969482422
2022-09-28,107.52999877929688
2022-09-29,107.12000274658203
2022-09-30,104.55000305175781
2022-10-03,107.31999969482422
2022-10-04,111.69000244140625
2022-10-05,112.48999786376953
2022-10-06,110.5999984741211
2022-10-07,108.26000213623047
2022-10-10,106.94000244140625
2022-10-11,108.31999969482422
2022-10-12,107.05999755859375
2022-10-13,109.43000030517578
2022-10-14,106.91000366210938
2022-10-17,110.51000213623047
2022-10-18,109.02999877929688
2022-10-19,108.12000274658203
2022-10-20,106.33000183105469
2022-10-21,107.38999938964844
2022-10-24,109.02999877929688
2022-10-25,110.7300033569336
2022-10-26,112.2699966430664
2022-10-27,111.55999755859375
2022-10-28,113.47000122070312
2022-10-31,113.3499984741211
2022-11-01,111.83999633789062
2022-11-02,107.69000244140625
2022-11-03,105.41999816894531
2022-11-04,104.8499984741211
2022-11-07,107.52999877929688
2022-11-08,106.2300033569336
2022-11-09,105.7699966430664
2022-11-10,112.9000015258789
2022-11-11,115.55999755859375
2022-11-14,113.30999755859375
2022-11-15,115.12000274658203
2022-11-16,114.45999908447266
2022-11-17,112.12000274658203
2022-11-18,114.08999633789062
2022-11-21,114.52999877929688
2022-11-22,115.33000183105469
2022-11-23,118.01000213623047
