Date,RVTY
2022-02-28,179.61000061035156
2022-03-01,177.1999969482422
2022-03-02,177.30999755859375
2022-03-03,179.0
2022-03-04,176.42999267578125
2022-03-07,172.25999450683594
2022-03-08,165.30999755859375
2022-03-09,172.5800018310547
2022-03-10,172.33999633789062
2022-03-11,165.88999938964844
2022-03-14,162.30999755859375
2022-03-15,168.8800048828125
2022-03-16,176.10000610351562
2022-03-17,178.36000061035156
2022-03-18,182.38999938964844
2022-03-21,180.63999938964844
2022-03-22,184.5399932861328
2022-03-23,176.64999389648438
2022-03-24,179.33999633789062
2022-03-25,176.8000030517578
2022-03-28,177.35000610351562
2022-03-29,180.27999877929688
2022-03-30,178.49000549316406
2022-03-31,174.4600067138672
2022-04-01,171.57000732421875
2022-04-04,169.86000061035156
2022-04-05,166.1699981689453
2022-04-06,166.11000061035156
2022-04-07,172.41000366210938
2022-04-08,172.49000549316406
2022-04-11,165.77000427246094
2022-04-12,161.25999450683594
2022-04-13,164.1699981689453
2022-04-14,161.4199981689453
2022-04-18,160.3800048828125
2022-04-19,160.8000030517578
2022-04-20,164.14999389648438
2022-04-21,159.47000122070312
2022-04-22,152.58999633789062
2022-04-25,149.52999877929688
2022-04-26,142.58999633789062
2022-04-27,142.42999267578125
2022-04-28,146.41000366210938
2022-04-29,146.61000061035156
2022-05-02,147.88999938964844
2022-05-03,152.86000061035156
2022-05-04,157.0800018310547
2022-05-05,147.9199981689453
2022-05-06,147.8699951171875
2022-05-09,142.4499969482422
2022-05-10,145.02000427246094
2022-05-11,142.0500030517578
2022-05-12,142.85000610351562
2022-05-13,148.61000061035156
2022-05-16,146.7899932861328
2022-05-17,147.6300048828125
2022-05-18,142.49000549316406
2022-05-19,143.5500030517578
2022-05-20,146.72999572753906
2022-05-23,146.47999572753906
2022-05-24,144.11000061035156
2022-05-25,142.72999572753906
2022-05-26,146.64999389648438
2022-05-27,156.17999267578125
2022-05-31,149.6699981689453
2022-06-01,146.10000610351562
2022-06-02,150.86000061035156
2022-06-03,147.6699981689453
2022-06-06,148.83999633789062
2022-06-07,152.05999755859375
2022-06-08,149.1999969482422
2022-06-09,146.4499969482422
2022-06-10,141.89999389648438
2022-06-13,137.8699951171875
2022-06-14,138.13999938964844
2022-06-15,140.41000366210938
2022-06-16,137.5399932861328
2022-06-17,134.91000366210938
2022-06-21,135.63999938964844
2022-06-22,138.24000549316406
2022-06-23,144.30999755859375
2022-06-24,145.52999877929688
2022-06-27,144.97000122070312
2022-06-28,141.3300018310547
2022-06-29,142.27999877929688
2022-06-30,142.22000122070312
2022-07-01,144.07000732421875
2022-07-05,144.55999755859375
2022-07-06,145.99000549316406
2022-07-07,146.5
2022-07-08,146.00999450683594
2022-07-11,144.58999633789062
2022-07-12,138.60000610351562
