Date,PCAR
2022-02-28,61.206668853759766
2022-03-01,59.526668548583984
2022-03-02,61.09333419799805
2022-03-03,61.106666564941406
2022-03-04,58.633331298828125
2022-03-07,55.459999084472656
2022-03-08,55.67333221435547
2022-03-09,58.21333312988281
2022-03-10,57.43333435058594
2022-03-11,57.040000915527344
2022-03-14,58.106666564941406
2022-03-15,58.4466667175293
2022-03-16,60.206668853759766
2022-03-17,60.18000030517578
2022-03-18,59.11333465576172
2022-03-21,59.14666748046875
2022-03-22,59.439998626708984
2022-03-23,58.619998931884766
2022-03-24,59.29999923706055
2022-03-25,59.313331604003906
2022-03-28,59.53333282470703
2022-03-29,60.633331298828125
2022-03-30,59.599998474121094
2022-03-31,58.71333312988281
2022-04-01,56.813331604003906
2022-04-04,56.34000015258789
2022-04-05,55.22666549682617
2022-04-06,55.6533317565918
2022-04-07,55.51333236694336
2022-04-08,55.366668701171875
2022-04-11,55.0533332824707
2022-04-12,54.939998626708984
2022-04-13,55.49333190917969
2022-04-14,55.80666732788086
2022-04-18,55.893333435058594
2022-04-19,57.266666412353516
2022-04-20,58.400001525878906
2022-04-21,58.733333587646484
2022-04-22,57.12666702270508
2022-04-25,57.56666564941406
2022-04-26,55.880001068115234
2022-04-27,56.22666549682617
2022-04-28,56.706668853759766
2022-04-29,55.366668701171875
2022-05-02,56.00666809082031
2022-05-03,56.720001220703125
2022-05-04,58.67333221435547
2022-05-05,56.79999923706055
2022-05-06,56.33333206176758
2022-05-09,56.900001525878906
2022-05-10,55.83333206176758
2022-05-11,55.073333740234375
2022-05-12,55.65999984741211
2022-05-13,55.83333206176758
2022-05-16,55.52000045776367
2022-05-17,56.733333587646484
2022-05-18,54.11333465576172
2022-05-19,54.279998779296875
2022-05-20,53.206668853759766
2022-05-23,54.573333740234375
2022-05-24,54.82666778564453
2022-05-25,55.68000030517578
2022-05-26,56.09333419799805
2022-05-27,57.11333465576172
2022-05-31,57.893333435058594
2022-06-01,59.026668548583984
2022-06-02,59.29999923706055
2022-06-03,58.86000061035156
2022-06-06,59.09333419799805
2022-06-07,59.31999969482422
2022-06-08,59.586666107177734
2022-06-09,58.686668395996094
2022-06-10,56.733333587646484
2022-06-13,55.31999969482422
2022-06-14,56.106666564941406
2022-06-15,57.233333587646484
2022-06-16,54.380001068115234
2022-06-17,54.61333465576172
2022-06-21,56.34000015258789
2022-06-22,55.71333312988281
2022-06-23,54.38666534423828
2022-06-24,56.13999938964844
2022-06-27,55.880001068115234
2022-06-28,55.473331451416016
2022-06-29,55.41999816894531
2022-06-30,54.893333435058594
2022-07-01,55.2599983215332
2022-07-05,54.573333740234375
