Date,BLK
2022-02-28,743.8900146484375
2022-03-01,714.8099975585938
2022-03-02,738.0399780273438
2022-03-03,737.7100219726562
2022-03-04,696.5900268554688
2022-03-07,677.0700073242188
2022-03-08,662.8699951171875
2022-03-09,693.25
2022-03-10,697.2000122070312
2022-03-11,687.0399780273438
2022-03-14,697.530029296875
2022-03-15,707.6699829101562
2022-03-16,731.1099853515625
2022-03-17,740.9299926757812
2022-03-18,738.5900268554688
2022-03-21,733.8300170898438
2022-03-22,746.8699951171875
2022-03-23,736.4600219726562
2022-03-24,738.280029296875
2022-03-25,741.0399780273438
2022-03-28,749.8800048828125
2022-03-29,773.239990234375
2022-03-30,777.3599853515625
2022-03-31,764.1699829101562
2022-04-01,769.760009765625
2022-04-04,782.22998046875
2022-04-05,764.4299926757812
2022-04-06,745.22998046875
2022-04-07,748.8900146484375
2022-04-08,736.0999755859375
2022-04-11,728.3800048828125
2022-04-12,716.8300170898438
2022-04-13,715.739990234375
2022-04-14,688.1699829101562
2022-04-18,680.0
2022-04-19,701.5700073242188
2022-04-20,699.0
2022-04-21,681.4600219726562
2022-04-22,662.9400024414062
2022-04-25,668.280029296875
2022-04-26,647.0499877929688
2022-04-27,643.02001953125
2022-04-28,650.969970703125
2022-04-29,624.6799926757812
2022-05-02,624.7999877929688
2022-05-03,631.0599975585938
2022-05-04,665.22998046875
2022-05-05,633.8099975585938
2022-05-06,628.6199951171875
2022-05-09,605.5599975585938
2022-05-10,610.22998046875
2022-05-11,600.3499755859375
2022-05-12,600.4000244140625
2022-05-13,615.3300170898438
2022-05-16,598.5999755859375
2022-05-17,611.719970703125
2022-05-18,591.8599853515625
2022-05-19,593.0800170898438
2022-05-20,600.4400024414062
2022-05-23,611.510009765625
2022-05-24,618.3499755859375
2022-05-25,626.5999755859375
2022-05-26,652.4400024414062
2022-05-27,666.530029296875
2022-05-31,669.0800170898438
2022-06-01,660.510009765625
2022-06-02,686.489990234375
2022-06-03,671.739990234375
2022-06-06,675.3400268554688
2022-06-07,679.6099853515625
2022-06-08,662.4099731445312
2022-06-09,659.8499755859375
2022-06-10,617.6699829101562
2022-06-13,598.719970703125
2022-06-14,591.22998046875
2022-06-15,599.9000244140625
2022-06-16,585.77001953125
2022-06-17,582.260009765625
2022-06-21,614.5399780273438
2022-06-22,609.280029296875
2022-06-23,624.7100219726562
2022-06-24,647.780029296875
2022-06-27,636.9199829101562
2022-06-28,629.1199951171875
2022-06-29,617.9600219726562
2022-06-30,609.0399780273438
2022-07-01,616.7000122070312
2022-07-05,620.719970703125
2022-07-06,614.739990234375
2022-07-07,623.7000122070312
2022-07-08,619.5599975585938
2022-07-11,605.0
2022-07-12,603.2899780273438
