Date,TEL
2022-02-28,142.42999267578125
2022-03-01,135.2899932861328
2022-03-02,138.64999389648438
2022-03-03,136.66000366210938
2022-03-04,133.42999267578125
2022-03-07,127.69999694824219
2022-03-08,128.75999450683594
2022-03-09,130.42999267578125
2022-03-10,130.2899932861328
2022-03-11,127.41999816894531
2022-03-14,126.41999816894531
2022-03-15,127.37999725341797
2022-03-16,131.36000061035156
2022-03-17,132.66000366210938
2022-03-18,133.83999633789062
2022-03-21,132.00999450683594
2022-03-22,131.8300018310547
2022-03-23,129.22999572753906
2022-03-24,131.8300018310547
2022-03-25,132.24000549316406
2022-03-28,131.44000244140625
2022-03-29,136.9199981689453
2022-03-30,133.58999633789062
2022-03-31,130.97999572753906
2022-04-01,131.82000732421875
2022-04-04,132.14999389648438
2022-04-05,127.52999877929688
2022-04-06,125.05999755859375
2022-04-07,125.4000015258789
2022-04-08,124.76000213623047
2022-04-11,123.22000122070312
2022-04-12,123.4000015258789
2022-04-13,124.18000030517578
2022-04-14,120.87999725341797
2022-04-18,122.0
2022-04-19,124.37999725341797
2022-04-20,126.66999816894531
2022-04-21,126.0199966430664
2022-04-22,122.87999725341797
2022-04-25,124.4000015258789
2022-04-26,120.26000213623047
2022-04-27,125.18000030517578
2022-04-28,126.95999908447266
2022-04-29,124.77999877929688
2022-05-02,125.77999877929688
2022-05-03,126.97000122070312
2022-05-04,131.1699981689453
2022-05-05,127.6500015258789
2022-05-06,127.30999755859375
2022-05-09,123.29000091552734
2022-05-10,124.81999969482422
2022-05-11,122.0199966430664
2022-05-12,122.61000061035156
2022-05-13,125.22000122070312
2022-05-16,123.75
2022-05-17,129.13999938964844
2022-05-18,122.31999969482422
2022-05-19,122.68000030517578
2022-05-20,122.68000030517578
2022-05-23,123.6500015258789
2022-05-24,123.62999725341797
2022-05-25,122.37999725341797
2022-05-26,124.83999633789062
2022-05-27,129.49000549316406
2022-05-31,129.38999938964844
2022-06-01,128.16000366210938
2022-06-02,131.6699981689453
2022-06-03,130.07000732421875
2022-06-06,131.94000244140625
2022-06-07,132.6699981689453
2022-06-08,130.8000030517578
2022-06-09,127.79000091552734
2022-06-10,123.37999725341797
2022-06-13,118.52999877929688
2022-06-14,118.38999938964844
2022-06-15,120.5999984741211
2022-06-16,112.87000274658203
2022-06-17,115.52999877929688
2022-06-21,117.93000030517578
2022-06-22,114.58999633789062
2022-06-23,115.58999633789062
2022-06-24,118.38999938964844
2022-06-27,117.55000305175781
2022-06-28,114.91999816894531
2022-06-29,112.88999938964844
2022-06-30,113.1500015258789
2022-07-01,111.0
2022-07-05,111.47000122070312
2022-07-06,112.7300033569336
2022-07-07,114.83000183105469
2022-07-08,115.04000091552734
2022-07-11,112.77999877929688
2022-07-12,113.01000213623047
2022-07-13,113.5199966430664
2022-07-14,112.41999816894531
2022-07-15,115.66000366210938
2022-07-18,115.06999969482422
2022-07-19,120.01000213623047
2022-07-20,122.20999908447266
2022-07-21,124.81999969482422
2022-07-22,123.05000305175781
2022-07-25,123.05999755859375
2022-07-26,123.05000305175781
2022-07-27,127.83000183105469
2022-07-28,131.22999572753906
2022-07-29,133.72999572753906
2022-08-01,132.11000061035156
2022-08-02,131.38999938964844
2022-08-03,133.22999572753906
2022-08-04,133.25999450683594
2022-08-05,133.13999938964844
2022-08-08,132.9199981689453
2022-08-09,131.0399932861328
2022-08-10,134.2100067138672
2022-08-11,134.25999450683594
2022-08-12,137.30999755859375
2022-08-15,137.17999267578125
2022-08-16,137.4499969482422
2022-08-17,135.97000122070312
2022-08-18,137.02999877929688
2022-08-19,134.8699951171875
2022-08-22,129.77000427246094
2022-08-23,130.36000061035156
2022-08-24,129.1199951171875
2022-08-25,132.41000366210938
2022-08-26,126.7699966430664
2022-08-29,126.23999786376953
2022-08-30,126.36000061035156
2022-08-31,126.20999908447266
2022-09-01,124.72000122070312
2022-09-02,123.88999938964844
2022-09-06,123.0999984741211
2022-09-07,126.47000122070312
2022-09-08,127.16000366210938
2022-09-09,129.0399932861328
2022-09-12,131.0500030517578
2022-09-13,126.33000183105469
2022-09-14,126.02999877929688
2022-09-15,124.27999877929688
2022-09-16,122.7300033569336
2022-09-19,123.36000061035156
2022-09-20,121.62999725341797
2022-09-21,120.19999694824219
2022-09-22,116.5199966430664
2022-09-23,114.58000183105469
2022-09-26,113.38999938964844
2022-09-27,113.44000244140625
2022-09-28,115.22000122070312
2022-09-29,112.54000091552734
2022-09-30,110.36000061035156
2022-10-03,114.31999969482422
2022-10-04,118.52999877929688
2022-10-05,118.22000122070312
2022-10-06,118.08000183105469
2022-10-07,114.16000366210938
2022-10-10,111.66999816894531
2022-10-11,109.91999816894531
2022-10-12,108.13999938964844
2022-10-13,111.45999908447266
2022-10-14,107.5199966430664
2022-10-17,111.91000366210938
2022-10-18,112.91000366210938
2022-10-19,112.02999877929688
2022-10-20,110.91000366210938
2022-10-21,114.88999938964844
2022-10-24,115.4800033569336
2022-10-25,117.2699966430664
2022-10-26,118.8499984741211
2022-10-27,119.0
2022-10-28,122.6500015258789
2022-10-31,122.2300033569336
2022-11-01,123.44000244140625
2022-11-02,113.63999938964844
2022-11-03,112.94999694824219
2022-11-04,116.68000030517578
2022-11-07,116.79000091552734
2022-11-08,117.1500015258789
2022-11-09,114.19999694824219
2022-11-10,122.1500015258789
2022-11-11,124.11000061035156
2022-11-14,124.5199966430664
2022-11-15,127.02999877929688
2022-11-16,125.76000213623047
2022-11-17,124.38999938964844
2022-11-18,126.38999938964844
2022-11-21,124.69000244140625
2022-11-22,126.56999969482422
