Date,MTB
2022-02-28,182.22999572753906
2022-03-01,169.85000610351562
2022-03-02,178.80999755859375
2022-03-03,180.64999389648438
2022-03-04,176.22000122070312
2022-03-07,170.49000549316406
2022-03-08,168.1300048828125
2022-03-09,173.2100067138672
2022-03-10,173.89999389648438
2022-03-11,172.22000122070312
2022-03-14,175.1999969482422
2022-03-15,175.00999450683594
2022-03-16,181.41000366210938
2022-03-17,179.07000732421875
2022-03-18,179.2899932861328
2022-03-21,180.5800018310547
2022-03-22,184.49000549316406
2022-03-23,178.91000366210938
2022-03-24,179.69000244140625
2022-03-25,183.57000732421875
2022-03-28,179.38999938964844
2022-03-29,182.02999877929688
2022-03-30,172.25999450683594
2022-03-31,169.5
2022-04-01,164.66000366210938
2022-04-04,165.57000732421875
2022-04-05,163.77999877929688
2022-04-06,162.52000427246094
2022-04-07,161.2100067138672
2022-04-08,163.07000732421875
2022-04-11,163.52999877929688
2022-04-12,160.47999572753906
2022-04-13,159.7100067138672
2022-04-14,159.55999755859375
2022-04-18,159.16000366210938
2022-04-19,162.0399932861328
2022-04-20,176.33999633789062
2022-04-21,177.77999877929688
2022-04-22,172.41000366210938
2022-04-25,174.0
2022-04-26,169.2100067138672
2022-04-27,171.25
2022-04-28,171.30999755859375
2022-04-29,166.63999938964844
2022-05-02,168.22999572753906
2022-05-03,170.22999572753906
2022-05-04,176.08999633789062
2022-05-05,172.13999938964844
2022-05-06,170.47999572753906
2022-05-09,168.02999877929688
2022-05-10,165.8300018310547
2022-05-11,164.5500030517578
2022-05-12,165.72999572753906
2022-05-13,166.5800018310547
2022-05-16,163.8699951171875
2022-05-17,170.74000549316406
2022-05-18,165.6999969482422
2022-05-19,162.88999938964844
2022-05-20,162.72999572753906
2022-05-23,168.2899932861328
2022-05-24,169.05999755859375
2022-05-25,173.66000366210938
2022-05-26,177.75
2022-05-27,180.8000030517578
2022-05-31,179.97000122070312
2022-06-01,177.7899932861328
2022-06-02,180.3800048828125
2022-06-03,177.97000122070312
2022-06-06,177.86000061035156
2022-06-07,180.61000061035156
2022-06-08,177.88999938964844
2022-06-09,171.36000061035156
2022-06-10,165.83999633789062
2022-06-13,162.38999938964844
2022-06-14,164.89999389648438
2022-06-15,165.49000549316406
2022-06-16,160.63999938964844
2022-06-17,162.33999633789062
2022-06-21,165.25999450683594
2022-06-22,164.72000122070312
2022-06-23,159.63999938964844
2022-06-24,166.63999938964844
2022-06-27,164.4199981689453
2022-06-28,163.1199951171875
2022-06-29,162.3300018310547
2022-06-30,159.38999938964844
2022-07-01,159.7100067138672
2022-07-05,158.6300048828125
2022-07-06,157.05999755859375
2022-07-07,158.85000610351562
2022-07-08,158.9199981689453
2022-07-11,158.69000244140625
