Date,EW
2022-02-28,112.37000274658203
2022-03-01,111.61000061035156
2022-03-02,111.37999725341797
2022-03-03,111.9800033569336
2022-03-04,110.63999938964844
2022-03-07,108.3499984741211
2022-03-08,102.0
2022-03-09,105.91000366210938
2022-03-10,105.69999694824219
2022-03-11,103.44999694824219
2022-03-14,102.25
2022-03-15,106.1500015258789
2022-03-16,109.79000091552734
2022-03-17,112.54000091552734
2022-03-18,112.7699966430664
2022-03-21,111.55000305175781
2022-03-22,112.94999694824219
2022-03-23,107.19999694824219
2022-03-24,109.45999908447266
2022-03-25,112.37000274658203
2022-03-28,114.12999725341797
2022-03-29,116.75
2022-03-30,117.08999633789062
2022-03-31,117.72000122070312
2022-04-01,123.06999969482422
2022-04-04,120.27999877929688
2022-04-05,120.22000122070312
2022-04-06,120.36000061035156
2022-04-07,123.73999786376953
2022-04-08,123.91999816894531
2022-04-11,121.5
2022-04-12,120.83999633789062
2022-04-13,121.91000366210938
2022-04-14,120.0199966430664
2022-04-18,119.27999877929688
2022-04-19,124.5199966430664
2022-04-20,128.27000427246094
2022-04-21,125.61000061035156
2022-04-22,118.37999725341797
2022-04-25,119.80000305175781
2022-04-26,116.2699966430664
2022-04-27,109.80000305175781
2022-04-28,109.7699966430664
2022-04-29,105.77999877929688
2022-05-02,104.83000183105469
2022-05-03,105.93000030517578
2022-05-04,108.6500015258789
2022-05-05,103.36000061035156
2022-05-06,100.5199966430664
2022-05-09,94.69000244140625
2022-05-10,94.83000183105469
2022-05-11,93.2699966430664
2022-05-12,93.44000244140625
2022-05-13,97.55000305175781
2022-05-16,95.93000030517578
2022-05-17,97.38999938964844
2022-05-18,93.41000366210938
2022-05-19,94.37000274658203
2022-05-20,94.31999969482422
2022-05-23,96.12999725341797
2022-05-24,94.54000091552734
2022-05-25,96.8499984741211
2022-05-26,98.56999969482422
2022-05-27,101.12000274658203
2022-05-31,100.8499984741211
2022-06-01,97.33999633789062
2022-06-02,101.20999908447266
2022-06-03,96.7300033569336
2022-06-06,96.41000366210938
2022-06-07,97.25
2022-06-08,96.29000091552734
2022-06-09,93.63999938964844
2022-06-10,93.0
2022-06-13,88.55000305175781
2022-06-14,86.5
2022-06-15,88.77999877929688
2022-06-16,87.7300033569336
2022-06-17,87.79000091552734
2022-06-21,89.33999633789062
2022-06-22,90.79000091552734
2022-06-23,93.62000274658203
2022-06-24,96.9800033569336
2022-06-27,96.80999755859375
2022-06-28,94.7300033569336
2022-06-29,96.02999877929688
2022-06-30,95.08999633789062
2022-07-01,97.38999938964844
2022-07-05,97.97000122070312
2022-07-06,97.9800033569336
2022-07-07,98.43000030517578
2022-07-08,98.38999938964844
2022-07-11,96.87999725341797
