Date,ERIE
2022-02-28,175.10000610351562
2022-03-01,170.41000366210938
2022-03-02,173.50999450683594
2022-03-03,172.39999389648438
2022-03-04,171.3000030517578
2022-03-07,170.1999969482422
2022-03-08,167.27000427246094
2022-03-09,170.6199951171875
2022-03-10,170.10000610351562
2022-03-11,170.5
2022-03-14,168.88999938964844
2022-03-15,170.0
2022-03-16,169.86000061035156
2022-03-17,173.07000732421875
2022-03-18,176.89999389648438
2022-03-21,179.5
2022-03-22,180.3300018310547
2022-03-23,177.91000366210938
2022-03-24,177.77000427246094
2022-03-25,178.32000732421875
2022-03-28,177.7100067138672
2022-03-29,180.14999389648438
2022-03-30,179.6999969482422
2022-03-31,176.1300048828125
2022-04-01,181.36000061035156
2022-04-04,178.75
2022-04-05,179.36000061035156
2022-04-06,183.2100067138672
2022-04-07,185.80999755859375
2022-04-08,185.69000244140625
2022-04-11,185.4499969482422
2022-04-12,184.94000244140625
2022-04-13,186.67999267578125
2022-04-14,186.75
2022-04-18,178.6699981689453
2022-04-19,179.0
2022-04-20,178.94000244140625
2022-04-21,177.86000061035156
2022-04-22,173.52000427246094
2022-04-25,173.80999755859375
2022-04-26,167.0
2022-04-27,167.97000122070312
2022-04-28,168.6199951171875
2022-04-29,160.27999877929688
2022-05-02,165.1300048828125
2022-05-03,166.75
2022-05-04,173.5800018310547
2022-05-05,170.00999450683594
2022-05-06,170.17999267578125
2022-05-09,165.80999755859375
2022-05-10,164.4199981689453
2022-05-11,163.42999267578125
2022-05-12,164.7899932861328
2022-05-13,164.97999572753906
2022-05-16,163.83999633789062
2022-05-17,166.7899932861328
2022-05-18,163.6999969482422
2022-05-19,162.30999755859375
2022-05-20,163.4600067138672
2022-05-23,163.33999633789062
2022-05-24,161.1999969482422
2022-05-25,163.24000549316406
2022-05-26,163.89999389648438
2022-05-27,167.1999969482422
2022-05-31,167.75
2022-06-01,165.25999450683594
2022-06-02,171.64999389648438
2022-06-03,170.8800048828125
2022-06-06,173.17999267578125
2022-06-07,177.82000732421875
2022-06-08,177.7899932861328
2022-06-09,177.42999267578125
2022-06-10,174.82000732421875
2022-06-13,171.72000122070312
2022-06-14,173.0399932861328
2022-06-15,174.85000610351562
2022-06-16,170.27999877929688
2022-06-17,172.9199981689453
2022-06-21,177.6699981689453
2022-06-22,179.24000549316406
2022-06-23,183.3300018310547
2022-06-24,190.9600067138672
2022-06-27,190.22999572753906
2022-06-28,190.5
