Date,BBY
2022-02-28,96.63999938964844
2022-03-01,97.18000030517578
2022-03-02,100.83999633789062
2022-03-03,110.13999938964844
2022-03-04,106.0999984741211
2022-03-07,104.70999908447266
2022-03-08,101.12999725341797
2022-03-09,101.73999786376953
2022-03-10,98.66000366210938
2022-03-11,94.58999633789062
2022-03-14,94.63999938964844
2022-03-15,99.05999755859375
2022-03-16,98.83999633789062
2022-03-17,99.29000091552734
2022-03-18,101.83999633789062
2022-03-21,99.04000091552734
2022-03-22,99.30000305175781
2022-03-23,96.58999633789062
2022-03-24,96.70999908447266
2022-03-25,96.30000305175781
2022-03-28,96.7300033569336
2022-03-29,100.75
2022-03-30,96.43000030517578
2022-03-31,90.9000015258789
2022-04-01,90.37999725341797
2022-04-04,94.33999633789062
2022-04-05,92.5199966430664
2022-04-06,91.05999755859375
2022-04-07,92.06999969482422
2022-04-08,93.36000061035156
2022-04-11,94.16000366210938
2022-04-12,93.2300033569336
2022-04-13,95.2300033569336
2022-04-14,93.83999633789062
2022-04-18,93.4800033569336
2022-04-19,95.56999969482422
2022-04-20,94.4000015258789
2022-04-21,93.63999938964844
2022-04-22,91.27999877929688
2022-04-25,93.06999969482422
2022-04-26,92.83000183105469
2022-04-27,93.02999877929688
2022-04-28,93.58000183105469
2022-04-29,89.93000030517578
2022-05-02,93.80999755859375
2022-05-03,94.6500015258789
2022-05-04,97.79000091552734
2022-05-05,92.20999908447266
2022-05-06,91.41000366210938
2022-05-09,91.08000183105469
2022-05-10,88.73999786376953
2022-05-11,83.79000091552734
2022-05-12,87.36000061035156
2022-05-13,86.36000061035156
2022-05-16,84.7699966430664
2022-05-17,84.5
2022-05-18,75.62000274658203
2022-05-19,73.31999969482422
2022-05-20,72.36000061035156
2022-05-23,72.58999633789062
2022-05-24,73.47000122070312
2022-05-25,80.05999755859375
2022-05-26,82.05000305175781
2022-05-27,83.98999786376953
2022-05-31,82.05999755859375
2022-06-01,80.08000183105469
2022-06-02,81.26000213623047
2022-06-03,80.38999938964844
2022-06-06,79.2699966430664
2022-06-07,78.3499984741211
2022-06-08,77.12000274658203
2022-06-09,74.93000030517578
2022-06-10,72.5999984741211
2022-06-13,69.44999694824219
2022-06-14,70.58999633789062
2022-06-15,71.76000213623047
2022-06-16,68.4800033569336
2022-06-17,70.51000213623047
2022-06-21,70.47000122070312
2022-06-22,69.87999725341797
2022-06-23,71.29000091552734
2022-06-24,74.69000244140625
2022-06-27,72.13999938964844
2022-06-28,68.8499984741211
2022-06-29,67.1500015258789
2022-06-30,65.19000244140625
2022-07-01,66.7699966430664
2022-07-05,69.9800033569336
2022-07-06,68.5199966430664
2022-07-07,70.88999938964844
2022-07-08,71.16999816894531
2022-07-11,69.91000366210938
2022-07-12,70.41999816894531
2022-07-13,71.29000091552734
2022-07-14,71.13999938964844
2022-07-15,72.47000122070312
2022-07-18,73.33999633789062
2022-07-19,75.97000122070312
2022-07-20,78.12000274658203
2022-07-21,78.19999694824219
2022-07-22,76.80000305175781
2022-07-25,75.83999633789062
2022-07-26,72.01000213623047
2022-07-27,74.48999786376953
2022-07-28,77.98999786376953
2022-07-29,76.98999786376953
2022-08-01,76.9800033569336
2022-08-02,74.61000061035156
2022-08-03,75.69000244140625
2022-08-04,76.29000091552734
2022-08-05,76.37999725341797
2022-08-08,78.54000091552734
2022-08-09,76.33999633789062
2022-08-10,78.51000213623047
2022-08-11,80.41999816894531
2022-08-12,80.30000305175781
2022-08-15,81.33000183105469
2022-08-16,84.94999694824219
2022-08-17,82.26000213623047
2022-08-18,82.41999816894531
2022-08-19,79.52999877929688
2022-08-22,77.41999816894531
2022-08-23,78.83999633789062
2022-08-24,77.62999725341797
2022-08-25,78.19000244140625
2022-08-26,74.1500015258789
2022-08-29,73.69999694824219
2022-08-30,74.88999938964844
2022-08-31,70.69000244140625
2022-09-01,71.8499984741211
2022-09-02,71.13999938964844
2022-09-06,71.37999725341797
2022-09-07,73.23999786376953
2022-09-08,74.69999694824219
2022-09-09,76.23999786376953
2022-09-12,77.81999969482422
2022-09-13,73.69000244140625
2022-09-14,73.55000305175781
2022-09-15,72.41999816894531
2022-09-16,72.62999725341797
2022-09-19,73.97000122070312
2022-09-20,70.91999816894531
2022-09-21,69.9800033569336
2022-09-22,68.56999969482422
2022-09-23,68.77999877929688
2022-09-26,65.31999969482422
2022-09-27,65.41000366210938
2022-09-28,67.44000244140625
2022-09-29,65.08000183105469
2022-09-30,63.34000015258789
2022-10-03,63.66999816894531
2022-10-04,67.4000015258789
2022-10-05,67.9000015258789
2022-10-06,66.80999755859375
2022-10-07,64.52999877929688
2022-10-10,63.34000015258789
2022-10-11,63.849998474121094
2022-10-12,63.20000076293945
2022-10-13,64.51000213623047
2022-10-14,63.349998474121094
2022-10-17,65.58999633789062
2022-10-18,66.55999755859375
2022-10-19,63.7400016784668
2022-10-20,62.849998474121094
2022-10-21,63.77000045776367
2022-10-24,63.79999923706055
2022-10-25,65.69000244140625
2022-10-26,65.98999786376953
2022-10-27,65.83999633789062
2022-10-28,68.3499984741211
2022-10-31,68.41000366210938
2022-11-01,68.87999725341797
2022-11-02,66.01000213623047
2022-11-03,67.06999969482422
2022-11-04,68.19999694824219
2022-11-07,68.66000366210938
2022-11-08,68.81999969482422
2022-11-09,67.30000305175781
2022-11-10,72.02999877929688
2022-11-11,74.55000305175781
2022-11-14,74.26000213623047
2022-11-15,75.5999984741211
2022-11-16,69.12000274658203
2022-11-17,70.02999877929688
2022-11-18,72.05000305175781
2022-11-21,70.83000183105469
