Date,FFIV
2022-02-28,200.85000610351562
2022-03-01,196.49000549316406
2022-03-02,202.63999938964844
2022-03-03,201.6300048828125
2022-03-04,201.77999877929688
2022-03-07,196.2899932861328
2022-03-08,194.58999633789062
2022-03-09,199.60000610351562
2022-03-10,196.57000732421875
2022-03-11,194.42999267578125
2022-03-14,189.19000244140625
2022-03-15,194.22999572753906
2022-03-16,197.25999450683594
2022-03-17,200.4499969482422
2022-03-18,203.97000122070312
2022-03-21,206.1300048828125
2022-03-22,209.49000549316406
2022-03-23,204.74000549316406
2022-03-24,208.66000366210938
2022-03-25,209.86000061035156
2022-03-28,212.1699981689453
2022-03-29,215.5399932861328
2022-03-30,212.77999877929688
2022-03-31,208.9499969482422
2022-04-01,209.1699981689453
2022-04-04,212.0
2022-04-05,213.5
2022-04-06,211.52000427246094
2022-04-07,213.9199981689453
2022-04-08,210.2100067138672
2022-04-11,207.49000549316406
2022-04-12,206.0800018310547
2022-04-13,209.11000061035156
2022-04-14,199.52999877929688
2022-04-18,197.3300018310547
2022-04-19,202.4600067138672
2022-04-20,204.57000732421875
2022-04-21,203.22000122070312
2022-04-22,200.4600067138672
2022-04-25,203.0
2022-04-26,193.91000366210938
2022-04-27,169.00999450683594
2022-04-28,175.91000366210938
2022-04-29,167.41000366210938
2022-05-02,172.24000549316406
2022-05-03,173.22000122070312
2022-05-04,177.9199981689453
2022-05-05,170.6300048828125
2022-05-06,170.5
2022-05-09,166.44000244140625
2022-05-10,170.6300048828125
2022-05-11,164.02000427246094
2022-05-12,163.1199951171875
2022-05-13,168.57000732421875
2022-05-16,167.11000061035156
2022-05-17,169.0800018310547
2022-05-18,161.3000030517578
2022-05-19,155.30999755859375
2022-05-20,156.27999877929688
2022-05-23,158.38999938964844
2022-05-24,157.60000610351562
2022-05-25,157.2899932861328
2022-05-26,162.3300018310547
2022-05-27,167.2899932861328
2022-05-31,163.0399932861328
2022-06-01,161.88999938964844
2022-06-02,168.27000427246094
2022-06-03,166.50999450683594
2022-06-06,166.49000549316406
2022-06-07,166.07000732421875
2022-06-08,166.1300048828125
2022-06-09,161.99000549316406
2022-06-10,156.64999389648438
2022-06-13,150.3800048828125
2022-06-14,150.7899932861328
2022-06-15,153.27000427246094
2022-06-16,149.13999938964844
2022-06-17,150.63999938964844
2022-06-21,152.8300018310547
2022-06-22,152.38999938964844
2022-06-23,153.50999450683594
2022-06-24,158.47000122070312
2022-06-27,157.22999572753906
2022-06-28,153.17999267578125
2022-06-29,152.75
2022-06-30,153.0399932861328
2022-07-01,153.33999633789062
2022-07-05,155.3300018310547
2022-07-06,155.38999938964844
2022-07-07,158.6699981689453
2022-07-08,157.86000061035156
2022-07-11,152.6199951171875
2022-07-12,149.97999572753906
