Date,LH
2022-02-28,233.04124450683594
2022-03-01,231.14260864257812
2022-03-02,232.33677673339844
2022-03-03,232.34536743164062
2022-03-04,231.2199249267578
2022-03-07,229.1666717529297
2022-03-08,223.2130584716797
2022-03-09,228.2044677734375
2022-03-10,228.71133422851562
2022-03-11,228.08419799804688
2022-03-14,228.23023986816406
2022-03-15,233.273193359375
2022-03-16,235.41236877441406
2022-03-17,235.67869567871094
2022-03-18,236.45188903808594
2022-03-21,237.68040466308594
2022-03-22,238.3505096435547
2022-03-23,233.41065979003906
2022-03-24,233.1958770751953
2022-03-25,235.36082458496094
2022-03-28,237.47422790527344
2022-03-29,237.7577362060547
2022-03-30,231.0996551513672
2022-03-31,226.51202392578125
2022-04-01,226.091064453125
2022-04-04,226.228515625
2022-04-05,227.01890563964844
2022-04-06,227.5601348876953
2022-04-07,233.5824737548828
2022-04-08,237.7577362060547
2022-04-11,234.0377960205078
2022-04-12,230.80755615234375
2022-04-13,231.03952026367188
2022-04-14,231.13401794433594
2022-04-18,229.4845428466797
2022-04-19,232.93814086914062
2022-04-20,238.7199249267578
2022-04-21,237.3711395263672
2022-04-22,230.68728637695312
2022-04-25,226.89002990722656
2022-04-26,214.8711395263672
2022-04-27,217.38832092285156
2022-04-28,206.75257873535156
2022-04-29,206.42611694335938
2022-05-02,208.771484375
2022-05-03,210.74742126464844
2022-05-04,217.955322265625
2022-05-05,216.45188903808594
2022-05-06,216.05670166015625
2022-05-09,207.26803588867188
2022-05-10,206.7353973388672
2022-05-11,204.97422790527344
2022-05-12,210.17181396484375
2022-05-13,210.15463256835938
2022-05-16,208.23023986816406
2022-05-17,212.84364318847656
2022-05-18,208.29037475585938
2022-05-19,211.70962524414062
2022-05-20,213.5309295654297
2022-05-23,214.34707641601562
2022-05-24,214.04638671875
2022-05-25,212.54295349121094
2022-05-26,214.90550231933594
2022-05-27,221.5377960205078
2022-05-31,211.95875549316406
2022-06-01,211.1511993408203
2022-06-02,213.7371063232422
2022-06-03,209.32130432128906
2022-06-06,207.8865966796875
2022-06-07,210.90206909179688
2022-06-08,203.9175262451172
2022-06-09,197.41409301757812
2022-06-10,192.92955017089844
2022-06-13,185.97079467773438
2022-06-14,183.728515625
2022-06-15,188.10997009277344
2022-06-16,187.40550231933594
2022-06-17,194.34707641601562
2022-06-21,197.19931030273438
2022-06-22,200.3951873779297
2022-06-23,205.85910034179688
2022-06-24,208.38487243652344
