Date,DVA
2022-02-28,112.7699966430664
2022-03-01,111.01000213623047
2022-03-02,112.79000091552734
2022-03-03,112.30999755859375
2022-03-04,110.05999755859375
2022-03-07,109.47000122070312
2022-03-08,111.94000244140625
2022-03-09,112.5
2022-03-10,111.41999816894531
2022-03-11,109.97000122070312
2022-03-14,108.69999694824219
2022-03-15,110.62999725341797
2022-03-16,112.33999633789062
2022-03-17,112.55999755859375
2022-03-18,113.58999633789062
2022-03-21,111.9000015258789
2022-03-22,110.75
2022-03-23,109.86000061035156
2022-03-24,111.7699966430664
2022-03-25,114.37999725341797
2022-03-28,115.97000122070312
2022-03-29,115.58000183105469
2022-03-30,114.62999725341797
2022-03-31,113.11000061035156
2022-04-01,114.1500015258789
2022-04-04,113.11000061035156
2022-04-05,114.22000122070312
2022-04-06,116.20999908447266
2022-04-07,118.25
2022-04-08,122.06999969482422
2022-04-11,119.38999938964844
2022-04-12,119.22000122070312
2022-04-13,120.69999694824219
2022-04-14,121.44999694824219
2022-04-18,119.5199966430664
2022-04-19,120.76000213623047
2022-04-20,123.37999725341797
2022-04-21,122.66000366210938
2022-04-22,111.41000366210938
2022-04-25,112.54000091552734
2022-04-26,109.75
2022-04-27,108.05000305175781
2022-04-28,109.91000366210938
2022-04-29,108.37000274658203
2022-05-02,107.20999908447266
2022-05-03,107.5
2022-05-04,110.80000305175781
2022-05-05,106.94000244140625
2022-05-06,102.95999908447266
2022-05-09,104.37000274658203
2022-05-10,105.2300033569336
2022-05-11,102.20999908447266
2022-05-12,103.05000305175781
2022-05-13,100.05000305175781
2022-05-16,99.9000015258789
2022-05-17,98.79000091552734
2022-05-18,94.55999755859375
2022-05-19,94.25
2022-05-20,94.43000030517578
2022-05-23,94.25
2022-05-24,93.41000366210938
2022-05-25,95.41999816894531
2022-05-26,97.44000244140625
2022-05-27,97.77999877929688
2022-05-31,97.48999786376953
2022-06-01,95.4000015258789
2022-06-02,96.8499984741211
2022-06-03,96.69999694824219
2022-06-06,95.81999969482422
2022-06-07,95.33000183105469
2022-06-08,93.3499984741211
2022-06-09,93.61000061035156
2022-06-10,93.16000366210938
2022-06-13,89.70999908447266
2022-06-14,89.97000122070312
2022-06-15,90.1500015258789
2022-06-16,87.94000244140625
2022-06-17,89.4800033569336
2022-06-21,76.05000305175781
2022-06-22,80.58000183105469
2022-06-23,77.93000030517578
2022-06-24,77.5
2022-06-27,79.44000244140625
2022-06-28,81.30000305175781
2022-06-29,81.45999908447266
2022-06-30,79.95999908447266
2022-07-01,83.11000061035156
2022-07-05,82.06999969482422
2022-07-06,80.23999786376953
2022-07-07,83.72000122070312
2022-07-08,83.12000274658203
2022-07-11,81.95999908447266
2022-07-12,84.5
2022-07-13,83.9800033569336
2022-07-14,82.62999725341797
2022-07-15,85.47000122070312
