Date,DVN
2022-02-28,59.54999923706055
2022-03-01,59.25
2022-03-02,58.650001525878906
2022-03-03,58.849998474121094
2022-03-04,59.56999969482422
2022-03-07,59.88999938964844
2022-03-08,59.47999954223633
2022-03-09,58.939998626708984
2022-03-10,60.56999969482422
2022-03-11,58.63999938964844
2022-03-14,52.689998626708984
2022-03-15,53.0099983215332
2022-03-16,52.459999084472656
2022-03-17,57.52000045776367
2022-03-18,58.27000045776367
2022-03-21,61.439998626708984
2022-03-22,60.630001068115234
2022-03-23,61.66999816894531
2022-03-24,61.540000915527344
2022-03-25,62.5
2022-03-28,60.45000076293945
2022-03-29,60.5099983215332
2022-03-30,60.560001373291016
2022-03-31,59.130001068115234
2022-04-01,60.349998474121094
2022-04-04,60.849998474121094
2022-04-05,58.470001220703125
2022-04-06,58.34000015258789
2022-04-07,60.22999954223633
2022-04-08,62.369998931884766
2022-04-11,60.029998779296875
2022-04-12,62.2599983215332
2022-04-13,63.75
2022-04-14,62.560001373291016
2022-04-18,63.540000915527344
2022-04-19,63.0
2022-04-20,64.61000061035156
2022-04-21,61.150001525878906
2022-04-22,58.06999969482422
2022-04-25,56.18000030517578
2022-04-26,56.400001525878906
2022-04-27,58.06999969482422
2022-04-28,59.88999938964844
2022-04-29,58.16999816894531
2022-05-02,58.349998474121094
2022-05-03,64.27999877929688
2022-05-04,67.73999786376953
2022-05-05,67.1500015258789
2022-05-06,69.69000244140625
2022-05-09,62.02000045776367
2022-05-10,63.7599983215332
2022-05-11,64.68000030517578
2022-05-12,64.61000061035156
2022-05-13,68.69999694824219
2022-05-16,70.98999786376953
2022-05-17,72.58000183105469
2022-05-18,69.91999816894531
2022-05-19,69.51000213623047
2022-05-20,69.91999816894531
2022-05-23,71.05999755859375
2022-05-24,70.38999938964844
2022-05-25,71.94000244140625
2022-05-26,73.80999755859375
2022-05-27,75.80000305175781
2022-05-31,74.9000015258789
2022-06-01,76.4800033569336
2022-06-02,76.30999755859375
2022-06-03,77.0199966430664
2022-06-06,77.05000305175781
2022-06-07,78.04000091552734
2022-06-08,77.93000030517578
2022-06-09,77.8499984741211
2022-06-10,74.05999755859375
2022-06-13,69.23999786376953
