Date,BAX
2022-02-28,84.97000122070312
2022-03-01,84.13999938964844
2022-03-02,85.2300033569336
2022-03-03,85.19000244140625
2022-03-04,86.0199966430664
2022-03-07,84.9800033569336
2022-03-08,80.44999694824219
2022-03-09,79.73999786376953
2022-03-10,78.9800033569336
2022-03-11,76.8499984741211
2022-03-14,77.98999786376953
2022-03-15,78.66999816894531
2022-03-16,78.95999908447266
2022-03-17,79.44000244140625
2022-03-18,79.12000274658203
2022-03-21,79.05000305175781
2022-03-22,78.01000213623047
2022-03-23,77.06999969482422
2022-03-24,77.68000030517578
2022-03-25,77.20999908447266
2022-03-28,78.91999816894531
2022-03-29,79.51000213623047
2022-03-30,79.37999725341797
2022-03-31,77.54000091552734
2022-04-01,78.58000183105469
2022-04-04,75.47000122070312
2022-04-05,76.48999786376953
2022-04-06,77.0
2022-04-07,78.01000213623047
2022-04-08,80.0
2022-04-11,78.7699966430664
2022-04-12,78.06999969482422
2022-04-13,78.44000244140625
2022-04-14,76.44000244140625
2022-04-18,74.97000122070312
2022-04-19,76.51000213623047
2022-04-20,78.55999755859375
2022-04-21,77.9800033569336
2022-04-22,73.08000183105469
2022-04-25,72.91000366210938
2022-04-26,70.52999877929688
2022-04-27,71.06999969482422
2022-04-28,70.80000305175781
2022-04-29,71.05999755859375
2022-05-02,70.61000061035156
2022-05-03,72.05000305175781
2022-05-04,73.19999694824219
2022-05-05,72.98999786376953
2022-05-06,72.79000091552734
2022-05-09,73.62000274658203
2022-05-10,72.45999908447266
2022-05-11,72.0
2022-05-12,72.6500015258789
2022-05-13,73.02999877929688
2022-05-16,73.69000244140625
2022-05-17,74.33999633789062
2022-05-18,72.12000274658203
2022-05-19,72.5999984741211
2022-05-20,73.2300033569336
2022-05-23,73.37000274658203
2022-05-24,73.9000015258789
2022-05-25,75.19000244140625
2022-05-26,75.75
2022-05-27,76.16000366210938
2022-05-31,76.05000305175781
2022-06-01,74.47000122070312
2022-06-02,74.26000213623047
2022-06-03,72.54000091552734
2022-06-06,72.5
2022-06-07,72.58000183105469
2022-06-08,72.8499984741211
2022-06-09,72.02999877929688
2022-06-10,73.12000274658203
2022-06-13,71.56999969482422
2022-06-14,67.4800033569336
2022-06-15,67.83000183105469
2022-06-16,65.29000091552734
2022-06-17,63.83000183105469
2022-06-21,64.0199966430664
2022-06-22,64.75
2022-06-23,65.08000183105469
2022-06-24,66.77999877929688
2022-06-27,66.70999908447266
2022-06-28,65.25
2022-06-29,65.80999755859375
2022-06-30,64.2300033569336
2022-07-01,65.48999786376953
2022-07-05,65.38999938964844
2022-07-06,65.11000061035156
2022-07-07,65.20999908447266
2022-07-08,65.18000030517578
2022-07-11,64.51000213623047
2022-07-12,64.68000030517578
2022-07-13,63.779998779296875
