Date,WRB
2022-02-28,40.133331298828125
2022-03-01,39.19111251831055
2022-03-02,40.2400016784668
2022-03-03,40.16444396972656
2022-03-04,40.040000915527344
2022-03-07,39.511112213134766
2022-03-08,39.657779693603516
2022-03-09,40.746665954589844
2022-03-10,41.2488899230957
2022-03-11,41.9555549621582
2022-03-14,41.635555267333984
2022-03-15,42.22222137451172
2022-03-16,41.795555114746094
2022-03-17,42.328887939453125
2022-03-18,42.66666793823242
2022-03-21,43.54222106933594
2022-03-22,43.924442291259766
2022-03-23,43.53333282470703
2022-03-24,43.560001373291016
2022-03-25,43.98666763305664
2022-03-28,44.17333221435547
2022-03-29,44.5
2022-03-30,44.720001220703125
2022-03-31,44.393333435058594
2022-04-01,44.87333297729492
2022-04-04,43.973331451416016
2022-04-05,44.279998779296875
2022-04-06,44.53333282470703
2022-04-07,44.8466682434082
2022-04-08,45.133331298828125
2022-04-11,44.973331451416016
2022-04-12,45.68000030517578
2022-04-13,45.5533332824707
2022-04-14,45.47999954223633
2022-04-18,46.28666687011719
2022-04-19,46.133331298828125
2022-04-20,47.366668701171875
2022-04-21,46.3466682434082
2022-04-22,45.313331604003906
2022-04-25,45.266666412353516
2022-04-26,44.86000061035156
2022-04-27,45.43333435058594
2022-04-28,45.83333206176758
2022-04-29,44.32666778564453
2022-05-02,44.12666702270508
2022-05-03,44.84000015258789
2022-05-04,46.00666809082031
2022-05-05,45.37333297729492
2022-05-06,45.85333251953125
2022-05-09,44.81999969482422
2022-05-10,44.233333587646484
2022-05-11,44.439998626708984
2022-05-12,44.233333587646484
2022-05-13,44.88666534423828
2022-05-16,45.086666107177734
2022-05-17,46.0533332824707
2022-05-18,45.27333450317383
2022-05-19,44.19333267211914
2022-05-20,44.31999969482422
2022-05-23,45.22666549682617
2022-05-24,45.84000015258789
2022-05-25,46.00666809082031
2022-05-26,46.7400016784668
2022-05-27,47.20000076293945
2022-05-31,47.41999816894531
2022-06-01,47.11333465576172
2022-06-02,47.266666412353516
2022-06-03,47.073333740234375
2022-06-06,47.706668853759766
2022-06-07,48.18000030517578
2022-06-08,47.3466682434082
2022-06-09,46.43333435058594
2022-06-10,45.50666809082031
2022-06-13,44.20000076293945
