Date,BA
2022-02-28,205.33999633789062
2022-03-01,194.91000366210938
2022-03-02,197.80999755859375
2022-03-03,188.85000610351562
2022-03-04,180.83999633789062
2022-03-07,169.1699981689453
2022-03-08,173.8000030517578
2022-03-09,178.55999755859375
2022-03-10,178.38999938964844
2022-03-11,176.22999572753906
2022-03-14,175.52000427246094
2022-03-15,179.88999938964844
2022-03-16,188.99000549316406
2022-03-17,190.19000244140625
2022-03-18,192.8300018310547
2022-03-21,185.89999389648438
2022-03-22,191.0399932861328
2022-03-23,186.0399932861328
2022-03-24,189.0500030517578
2022-03-25,188.9499969482422
2022-03-28,188.16000366210938
2022-03-29,193.8000030517578
2022-03-30,194.91000366210938
2022-03-31,191.5
2022-04-01,190.75999450683594
2022-04-04,191.17999267578125
2022-04-05,182.64999389648438
2022-04-06,178.72000122070312
2022-04-07,177.97000122070312
2022-04-08,175.1999969482422
2022-04-11,175.02999877929688
2022-04-12,176.27999877929688
2022-04-13,182.8699951171875
2022-04-14,181.94000244140625
2022-04-18,179.85000610351562
2022-04-19,185.97999572753906
2022-04-20,183.5500030517578
2022-04-21,181.02000427246094
2022-04-22,176.9199981689453
2022-04-25,175.91000366210938
2022-04-26,167.0399932861328
2022-04-27,154.4600067138672
2022-04-28,154.22000122070312
2022-04-29,148.83999633789062
2022-05-02,148.61000061035156
2022-05-03,153.5800018310547
2022-05-04,156.97000122070312
2022-05-05,150.47000122070312
2022-05-06,148.89999389648438
2022-05-09,133.30999755859375
2022-05-10,132.9499969482422
2022-05-11,129.38999938964844
2022-05-12,123.13999938964844
2022-05-13,127.19999694824219
2022-05-16,124.05000305175781
2022-05-17,132.0500030517578
2022-05-18,125.5199966430664
2022-05-19,127.13999938964844
2022-05-20,120.69999694824219
2022-05-23,124.06999969482422
2022-05-24,119.4000015258789
2022-05-25,122.05999755859375
2022-05-26,127.7300033569336
2022-05-27,132.22999572753906
2022-05-31,131.39999389648438
2022-06-01,130.64999389648438
2022-06-02,140.5
2022-06-03,139.25
2022-06-06,139.24000549316406
2022-06-07,140.82000732421875
2022-06-08,139.6300048828125
2022-06-09,133.72999572753906
2022-06-10,127.0
2022-06-13,115.86000061035156
2022-06-14,122.16000366210938
2022-06-15,133.72000122070312
2022-06-16,133.36000061035156
2022-06-17,136.8000030517578
2022-06-21,136.75
2022-06-22,137.16000366210938
2022-06-23,133.97000122070312
2022-06-24,141.52999877929688
2022-06-27,138.72000122070312
2022-06-28,138.6999969482422
2022-06-29,138.4499969482422
2022-06-30,136.72000122070312
2022-07-01,139.83999633789062
2022-07-05,137.6999969482422
2022-07-06,136.30999755859375
2022-07-07,139.97000122070312
2022-07-08,139.07000732421875
2022-07-11,136.99000549316406
2022-07-12,147.14999389648438
2022-07-13,143.9499969482422
2022-07-14,147.14999389648438
2022-07-15,147.74000549316406
2022-07-18,147.72000122070312
2022-07-19,156.1300048828125
2022-07-20,158.3800048828125
2022-07-21,161.41000366210938
2022-07-22,158.16000366210938
2022-07-25,156.63999938964844
2022-07-26,155.9199981689453
2022-07-27,156.08999633789062
2022-07-28,159.08999633789062
2022-07-29,159.30999755859375
2022-08-01,169.07000732421875
2022-08-02,163.27999877929688
2022-08-03,166.63999938964844
2022-08-04,166.5
2022-08-05,165.0399932861328
2022-08-08,165.88999938964844
2022-08-09,164.85000610351562
2022-08-10,169.02000427246094
2022-08-11,167.8800048828125
2022-08-12,169.99000549316406
2022-08-15,170.47000122070312
2022-08-16,172.0800018310547
2022-08-17,167.1999969482422
2022-08-18,168.69000244140625
2022-08-19,162.9199981689453
2022-08-22,158.97999572753906
2022-08-23,160.07000732421875
2022-08-24,163.60000610351562
2022-08-25,169.3800048828125
2022-08-26,164.52999877929688
2022-08-29,165.4199981689453
2022-08-30,162.2100067138672
2022-08-31,160.25
2022-09-01,153.66000366210938
2022-09-02,151.82000732421875
2022-09-06,152.38999938964844
2022-09-07,155.9499969482422
2022-09-08,157.7899932861328
2022-09-09,157.52000427246094
2022-09-12,158.72000122070312
2022-09-13,147.30999755859375
2022-09-14,149.25999450683594
2022-09-15,149.77999877929688
2022-09-16,144.2899932861328
2022-09-19,144.8800048828125
2022-09-20,145.94000244140625
2022-09-21,143.2899932861328
2022-09-22,138.7100067138672
2022-09-23,131.25999450683594
2022-09-26,127.33999633789062
2022-09-27,127.51000213623047
2022-09-28,133.44000244140625
2022-09-29,125.33000183105469
2022-09-30,121.08000183105469
2022-10-03,126.05000305175781
2022-10-04,133.50999450683594
2022-10-05,132.11000061035156
2022-10-06,132.1999969482422
2022-10-07,129.7899932861328
2022-10-10,131.89999389648438
2022-10-11,131.57000732421875
2022-10-12,130.4199981689453
2022-10-13,132.39999389648438
2022-10-14,133.14999389648438
2022-10-17,136.08999633789062
2022-10-18,137.33999633789062
2022-10-19,138.38999938964844
2022-10-20,139.1300048828125
2022-10-21,141.32000732421875
2022-10-24,142.0500030517578
2022-10-25,146.64999389648438
2022-10-26,133.7899932861328
2022-10-27,139.75999450683594
2022-10-28,143.83999633789062
2022-10-31,142.50999450683594
2022-11-01,143.3800048828125
2022-11-02,147.41000366210938
2022-11-03,156.75
2022-11-04,160.00999450683594
2022-11-07,164.91000366210938
2022-11-08,169.6199951171875
2022-11-09,168.74000549316406
2022-11-10,177.5800018310547
2022-11-11,177.49000549316406
2022-11-14,173.5500030517578
2022-11-15,175.35000610351562
2022-11-16,172.69000244140625
2022-11-17,172.77999877929688
2022-11-18,173.88999938964844
2022-11-21,172.94000244140625
2022-11-22,172.5
2022-11-23,174.85000610351562
2022-11-25,178.36000061035156
2022-11-28,171.8300018310547
2022-11-29,175.32000732421875
2022-11-30,178.8800048828125
2022-12-01,175.77999877929688
2022-12-02,182.8699951171875
2022-12-05,185.10000610351562
2022-12-06,178.42999267578125
2022-12-07,176.5
2022-12-08,179.0800018310547
2022-12-09,179.5399932861328
2022-12-12,186.27000427246094
2022-12-13,187.1300048828125
2022-12-14,188.25
2022-12-15,183.72000122070312
2022-12-16,184.6999969482422
2022-12-19,185.67999267578125
2022-12-20,188.2899932861328
2022-12-21,196.0
2022-12-22,188.25
2022-12-23,189.05999755859375
2022-12-27,189.39999389648438
2022-12-28,188.3800048828125
2022-12-29,188.91000366210938
2022-12-30,190.49000549316406
2023-01-03,195.38999938964844
2023-01-04,203.63999938964844
2023-01-05,204.99000549316406
2023-01-06,213.0
2023-01-09,208.57000732421875
2023-01-10,206.69000244140625
2023-01-11,208.02999877929688
2023-01-12,214.32000732421875
2023-01-13,214.1300048828125
2023-01-17,211.41000366210938
2023-01-18,209.41000366210938
2023-01-19,207.08999633789062
2023-01-20,206.75999450683594
2023-01-23,209.97000122070312
2023-01-24,211.97999572753906
2023-01-25,212.67999267578125
2023-01-26,212.72999572753906
2023-01-27,211.1699981689453
2023-01-30,209.6699981689453
2023-01-31,213.0
2023-02-01,214.75
2023-02-02,209.33999633789062
2023-02-03,206.00999450683594
2023-02-06,206.80999755859375
2023-02-07,214.75999450683594
2023-02-08,213.5
2023-02-09,211.99000549316406
2023-02-10,212.88999938964844
2023-02-13,215.64999389648438
2023-02-14,218.4499969482422
2023-02-15,217.44000244140625
2023-02-16,212.2100067138672
2023-02-17,211.66000366210938
2023-02-21,205.52000427246094
2023-02-22,205.75999450683594
2023-02-23,208.1300048828125
2023-02-24,198.14999389648438
2023-02-27,200.4600067138672
2023-02-28,201.5500030517578
2023-03-01,204.5500030517578
2023-03-02,210.05999755859375
2023-03-03,215.11000061035156
2023-03-06,211.9199981689453
2023-03-07,207.9199981689453
2023-03-08,207.1999969482422
2023-03-09,201.24000549316406
2023-03-10,203.07000732421875
2023-03-13,203.3699951171875
2023-03-14,207.27999877929688
2023-03-15,198.2100067138672
2023-03-16,203.19000244140625
2023-03-17,201.0500030517578
2023-03-20,204.77000427246094
2023-03-21,204.6999969482422
2023-03-22,196.16000366210938
2023-03-23,197.89999389648438
2023-03-24,197.52999877929688
2023-03-27,200.57000732421875
2023-03-28,204.9600067138672
2023-03-29,207.97000122070312
2023-03-30,211.0399932861328
2023-03-31,212.42999267578125
2023-04-03,215.38999938964844
2023-04-04,213.89999389648438
2023-04-05,210.0
2023-04-06,211.3699951171875
2023-04-10,210.77999877929688
2023-04-11,212.32000732421875
2023-04-12,212.33999633789062
2023-04-13,213.58999633789062
2023-04-14,201.7100067138672
2023-04-17,205.02999877929688
2023-04-18,208.3699951171875
2023-04-19,208.7100067138672
2023-04-20,207.22999572753906
2023-04-21,205.14999389648438
2023-04-24,205.77000427246094
2023-04-25,202.19000244140625
2023-04-26,203.02999877929688
2023-04-27,206.0399932861328
2023-04-28,206.77999877929688
2023-05-01,203.8699951171875
2023-05-02,203.25
2023-05-03,200.92999267578125
2023-05-04,197.0500030517578
2023-05-05,198.33999633789062
2023-05-08,197.25999450683594
2023-05-09,201.8800048828125
2023-05-10,200.83999633789062
2023-05-11,201.83999633789062
2023-05-12,200.6999969482422
2023-05-15,202.77000427246094
2023-05-16,200.8699951171875
2023-05-17,206.8699951171875
2023-05-18,207.24000549316406
2023-05-19,205.49000549316406
2023-05-22,205.91000366210938
2023-05-23,202.60000610351562
2023-05-24,199.27000427246094
2023-05-25,200.8699951171875
2023-05-26,203.6300048828125
2023-05-30,204.69000244140625
2023-05-31,205.6999969482422
2023-06-01,207.9600067138672
2023-06-02,213.32000732421875
2023-06-05,208.77999877929688
2023-06-06,207.2899932861328
2023-06-07,211.92999267578125
2023-06-08,218.11000061035156
