Date,CZR
2022-02-28,84.19000244140625
2022-03-01,82.9800033569336
2022-03-02,86.16000366210938
2022-03-03,83.20999908447266
2022-03-04,78.80000305175781
2022-03-07,69.63999938964844
2022-03-08,70.23999786376953
2022-03-09,77.58999633789062
2022-03-10,77.45999908447266
2022-03-11,74.80999755859375
2022-03-14,71.97000122070312
2022-03-15,74.97000122070312
2022-03-16,79.33999633789062
2022-03-17,79.58999633789062
2022-03-18,80.83000183105469
2022-03-21,78.48999786376953
2022-03-22,80.06999969482422
2022-03-23,77.0
2022-03-24,78.98999786376953
2022-03-25,77.4000015258789
2022-03-28,76.87999725341797
2022-03-29,81.2300033569336
2022-03-30,77.52999877929688
2022-03-31,77.36000061035156
2022-04-01,76.6500015258789
2022-04-04,80.69000244140625
2022-04-05,77.16000366210938
2022-04-06,72.01000213623047
2022-04-07,70.55999755859375
2022-04-08,68.9800033569336
2022-04-11,68.58000183105469
2022-04-12,67.0199966430664
2022-04-13,70.01000213623047
2022-04-14,68.87999725341797
2022-04-18,68.37000274658203
2022-04-19,71.75
2022-04-20,71.69999694824219
2022-04-21,68.11000061035156
2022-04-22,66.5999984741211
2022-04-25,68.5
2022-04-26,64.83000183105469
2022-04-27,64.1500015258789
2022-04-28,67.38999938964844
2022-04-29,66.27999877929688
2022-05-02,68.3499984741211
2022-05-03,67.6500015258789
2022-05-04,66.38999938964844
2022-05-05,62.95000076293945
2022-05-06,59.95000076293945
2022-05-09,52.95000076293945
2022-05-10,50.77000045776367
2022-05-11,48.36000061035156
2022-05-12,49.83000183105469
2022-05-13,54.9900016784668
2022-05-16,51.9900016784668
2022-05-17,51.400001525878906
2022-05-18,47.95000076293945
2022-05-19,48.630001068115234
2022-05-20,50.11000061035156
2022-05-23,48.25
2022-05-24,43.13999938964844
2022-05-25,46.400001525878906
2022-05-26,51.02000045776367
2022-05-27,51.599998474121094
2022-05-31,50.16999816894531
2022-06-01,49.560001373291016
2022-06-02,51.869998931884766
2022-06-03,50.599998474121094
2022-06-06,52.34000015258789
2022-06-07,52.369998931884766
2022-06-08,52.150001525878906
2022-06-09,50.15999984741211
2022-06-10,45.5
2022-06-13,39.63999938964844
2022-06-14,39.38999938964844
2022-06-15,41.38999938964844
2022-06-16,37.66999816894531
2022-06-17,39.650001525878906
2022-06-21,40.11000061035156
2022-06-22,39.959999084472656
2022-06-23,39.52000045776367
2022-06-24,44.470001220703125
2022-06-27,44.04999923706055
2022-06-28,42.970001220703125
2022-06-29,40.27000045776367
2022-06-30,38.29999923706055
2022-07-01,38.529998779296875
2022-07-05,42.2599983215332
2022-07-06,40.31999969482422
2022-07-07,41.529998779296875
2022-07-08,39.59000015258789
2022-07-11,38.209999084472656
2022-07-12,38.720001220703125
2022-07-13,38.13999938964844
2022-07-14,35.38999938964844
2022-07-15,37.650001525878906
2022-07-18,38.599998474121094
2022-07-19,41.790000915527344
2022-07-20,44.25
2022-07-21,44.08000183105469
2022-07-22,42.650001525878906
2022-07-25,42.18000030517578
2022-07-26,40.29999923706055
2022-07-27,43.869998931884766
2022-07-28,44.88999938964844
2022-07-29,45.689998626708984
2022-08-01,46.040000915527344
2022-08-02,49.16999816894531
2022-08-03,49.2599983215332
2022-08-04,48.18000030517578
