Date,ROST
2022-02-28,91.38999938964844
2022-03-01,89.55000305175781
2022-03-02,95.0
2022-03-03,93.52999877929688
2022-03-04,89.44000244140625
2022-03-07,85.12000274658203
2022-03-08,85.86000061035156
2022-03-09,88.56999969482422
2022-03-10,89.5999984741211
2022-03-11,87.76000213623047
2022-03-14,85.76000213623047
2022-03-15,87.45999908447266
2022-03-16,91.33999633789062
2022-03-17,92.20999908447266
2022-03-18,93.33000183105469
2022-03-21,91.06999969482422
2022-03-22,91.68000030517578
2022-03-23,89.73999786376953
2022-03-24,90.41999816894531
2022-03-25,90.22000122070312
2022-03-28,91.55999755859375
2022-03-29,95.55000305175781
2022-03-30,92.61000061035156
2022-03-31,90.45999908447266
2022-04-01,90.61000061035156
2022-04-04,93.16999816894531
2022-04-05,93.1500015258789
2022-04-06,94.19000244140625
2022-04-07,95.3499984741211
2022-04-08,96.83999633789062
2022-04-11,99.70999908447266
2022-04-12,102.19000244140625
2022-04-13,102.93000030517578
2022-04-14,103.08000183105469
2022-04-18,104.48999786376953
2022-04-19,107.36000061035156
2022-04-20,108.41000366210938
2022-04-21,107.18000030517578
2022-04-22,103.45999908447266
2022-04-25,105.61000061035156
2022-04-26,103.02999877929688
2022-04-27,101.25
2022-04-28,104.16999816894531
2022-04-29,99.7699966430664
2022-05-02,101.31999969482422
2022-05-03,100.44999694824219
2022-05-04,103.91999816894531
2022-05-05,99.88999938964844
2022-05-06,96.23999786376953
2022-05-09,93.41000366210938
2022-05-10,89.62000274658203
2022-05-11,87.8499984741211
2022-05-12,89.12000274658203
2022-05-13,92.05999755859375
2022-05-16,91.80999755859375
2022-05-17,93.05999755859375
2022-05-18,92.80000305175781
2022-05-19,92.69999694824219
2022-05-20,71.87000274658203
2022-05-23,78.75
2022-05-24,77.61000061035156
2022-05-25,81.36000061035156
2022-05-26,86.98999786376953
2022-05-27,87.30999755859375
2022-05-31,85.0199966430664
2022-06-01,82.66000366210938
2022-06-02,83.20999908447266
2022-06-03,82.72000122070312
2022-06-06,81.33000183105469
2022-06-07,80.51000213623047
2022-06-08,81.05000305175781
2022-06-09,79.76000213623047
2022-06-10,77.19999694824219
2022-06-13,74.83000183105469
2022-06-14,74.0
2022-06-15,76.0
2022-06-16,73.61000061035156
2022-06-17,74.76000213623047
2022-06-21,75.0999984741211
2022-06-22,72.80999755859375
2022-06-23,73.9800033569336
2022-06-24,77.52999877929688
2022-06-27,76.33999633789062
2022-06-28,72.77999877929688
2022-06-29,71.80999755859375
2022-06-30,70.2300033569336
2022-07-01,71.37999725341797
2022-07-05,73.81999969482422
2022-07-06,73.98999786376953
2022-07-07,76.54000091552734
2022-07-08,75.45999908447266
2022-07-11,74.5999984741211
2022-07-12,75.06999969482422
2022-07-13,76.33000183105469
2022-07-14,76.97000122070312
2022-07-15,77.9800033569336
2022-07-18,79.12000274658203
2022-07-19,81.16999816894531
2022-07-20,82.4800033569336
2022-07-21,83.61000061035156
2022-07-22,83.23999786376953
2022-07-25,82.62999725341797
2022-07-26,77.95999908447266
2022-07-27,80.2699966430664
2022-07-28,81.4000015258789
2022-07-29,81.26000213623047
2022-08-01,82.30000305175781
2022-08-02,79.83000183105469
2022-08-03,84.58000183105469
2022-08-04,83.76000213623047
2022-08-05,84.2300033569336
2022-08-08,85.30999755859375
2022-08-09,84.45999908447266
2022-08-10,86.18000030517578
2022-08-11,88.1500015258789
2022-08-12,90.12000274658203
2022-08-15,90.16000366210938
2022-08-16,92.63999938964844
2022-08-17,92.81999969482422
2022-08-18,92.0
2022-08-19,91.01000213623047
2022-08-22,88.11000061035156
2022-08-23,87.95999908447266
2022-08-24,90.55999755859375
2022-08-25,90.91000366210938
2022-08-26,87.26000213623047
2022-08-29,86.95999908447266
2022-08-30,86.33000183105469
2022-08-31,86.2699966430664
2022-09-01,88.51000213623047
2022-09-02,87.38999938964844
2022-09-06,86.72000122070312
2022-09-07,92.13999938964844
2022-09-08,92.26000213623047
2022-09-09,93.51000213623047
2022-09-12,94.9800033569336
2022-09-13,89.86000061035156
2022-09-14,89.45999908447266
2022-09-15,89.55999755859375
2022-09-16,90.25
2022-09-19,90.73999786376953
2022-09-20,88.30000305175781
2022-09-21,87.8499984741211
2022-09-22,86.58999633789062
2022-09-23,84.44000244140625
2022-09-26,82.93000030517578
2022-09-27,84.4000015258789
2022-09-28,87.01000213623047
2022-09-29,84.02999877929688
2022-09-30,84.2699966430664
2022-10-03,85.95999908447266
2022-10-04,89.37999725341797
2022-10-05,89.81999969482422
2022-10-06,88.23999786376953
2022-10-07,86.86000061035156
2022-10-10,85.87000274658203
2022-10-11,86.13999938964844
2022-10-12,84.51000213623047
2022-10-13,85.44999694824219
2022-10-14,81.44999694824219
2022-10-17,84.20999908447266
2022-10-18,84.66000366210938
2022-10-19,83.66000366210938
2022-10-20,82.48999786376953
2022-10-21,85.06999969482422
2022-10-24,87.08999633789062
2022-10-25,93.06999969482422
2022-10-26,93.38999938964844
2022-10-27,94.5999984741211
2022-10-28,95.3499984741211
2022-10-31,95.69000244140625
2022-11-01,94.68000030517578
2022-11-02,92.5999984741211
2022-11-03,92.30000305175781
2022-11-04,93.87999725341797
2022-11-07,93.13999938964844
2022-11-08,92.08999633789062
2022-11-09,91.31999969482422
2022-11-10,97.12999725341797
2022-11-11,96.16999816894531
2022-11-14,94.62999725341797
2022-11-15,97.80000305175781
2022-11-16,96.5
2022-11-17,97.93000030517578
2022-11-18,107.58999633789062
2022-11-21,112.30000305175781
2022-11-22,115.2699966430664
2022-11-23,116.02999877929688
