Date,WELL
2022-02-28,83.29000091552734
2022-03-01,82.33999633789062
2022-03-02,84.3499984741211
2022-03-03,85.37000274658203
2022-03-04,87.08000183105469
2022-03-07,86.91999816894531
2022-03-08,88.33000183105469
2022-03-09,88.76000213623047
2022-03-10,90.44000244140625
2022-03-11,91.20999908447266
2022-03-14,90.97000122070312
2022-03-15,90.19999694824219
2022-03-16,90.70999908447266
2022-03-17,92.01000213623047
2022-03-18,92.16999816894531
2022-03-21,92.69999694824219
2022-03-22,92.62000274658203
2022-03-23,92.83000183105469
2022-03-24,94.66000366210938
2022-03-25,96.22000122070312
2022-03-28,96.26000213623047
2022-03-29,98.30999755859375
2022-03-30,97.86000061035156
2022-03-31,96.13999938964844
2022-04-01,97.81999969482422
2022-04-04,97.66999816894531
2022-04-05,95.69000244140625
2022-04-06,97.05999755859375
2022-04-07,96.29000091552734
2022-04-08,96.9800033569336
2022-04-11,96.37000274658203
2022-04-12,96.55999755859375
2022-04-13,96.9000015258789
2022-04-14,96.02999877929688
2022-04-18,96.48999786376953
2022-04-19,96.77999877929688
2022-04-20,97.51000213623047
2022-04-21,97.30000305175781
2022-04-22,94.94000244140625
2022-04-25,95.55999755859375
2022-04-26,95.26000213623047
2022-04-27,93.23999786376953
2022-04-28,94.44000244140625
2022-04-29,90.80999755859375
2022-05-02,90.12000274658203
2022-05-03,90.69000244140625
2022-05-04,90.22000122070312
2022-05-05,89.97000122070312
2022-05-06,88.43000030517578
2022-05-09,87.05999755859375
2022-05-10,85.80000305175781
2022-05-11,86.98999786376953
2022-05-12,87.08000183105469
2022-05-13,88.37000274658203
2022-05-16,88.8499984741211
2022-05-17,89.66000366210938
2022-05-18,88.22000122070312
2022-05-19,87.5199966430664
2022-05-20,88.11000061035156
2022-05-23,87.70999908447266
2022-05-24,88.41999816894531
2022-05-25,88.94999694824219
2022-05-26,88.58000183105469
2022-05-27,90.16999816894531
2022-05-31,89.08999633789062
2022-06-01,88.16000366210938
2022-06-02,88.87000274658203
2022-06-03,88.0
2022-06-06,87.13999938964844
2022-06-07,89.30000305175781
2022-06-08,85.9800033569336
2022-06-09,83.2300033569336
2022-06-10,82.06999969482422
2022-06-13,77.8499984741211
2022-06-14,77.44999694824219
2022-06-15,78.44999694824219
2022-06-16,77.69999694824219
2022-06-17,77.6500015258789
2022-06-21,78.68000030517578
2022-06-22,79.7699966430664
2022-06-23,81.70999908447266
2022-06-24,83.36000061035156
2022-06-27,83.16999816894531
2022-06-28,82.87999725341797
2022-06-29,83.2300033569336
2022-06-30,82.3499984741211
2022-07-01,83.20999908447266
2022-07-05,82.36000061035156
2022-07-06,81.66999816894531
2022-07-07,81.72000122070312
2022-07-08,82.11000061035156
2022-07-11,82.11000061035156
2022-07-12,82.44000244140625
2022-07-13,81.91000366210938
2022-07-14,80.0999984741211
2022-07-15,81.22000122070312
2022-07-18,80.79000091552734
2022-07-19,82.12999725341797
2022-07-20,81.38999938964844
2022-07-21,81.33000183105469
2022-07-22,82.83000183105469
2022-07-25,84.12000274658203
2022-07-26,84.91999816894531
2022-07-27,84.52999877929688
2022-07-28,85.9800033569336
2022-07-29,86.33999633789062
2022-08-01,85.9800033569336
2022-08-02,83.66999816894531
2022-08-03,82.41000366210938
2022-08-04,81.0
2022-08-05,80.68000030517578
2022-08-08,81.5999984741211
2022-08-09,82.66000366210938
2022-08-10,83.30999755859375
2022-08-11,81.2300033569336
2022-08-12,82.69000244140625
2022-08-15,81.69000244140625
2022-08-16,80.66000366210938
2022-08-17,81.56999969482422
2022-08-18,80.0
2022-08-19,79.58000183105469
2022-08-22,79.13999938964844
2022-08-23,77.1500015258789
2022-08-24,77.51000213623047
2022-08-25,78.83999633789062
2022-08-26,77.33000183105469
2022-08-29,76.9000015258789
2022-08-30,76.11000061035156
2022-08-31,76.6500015258789
2022-09-01,76.58000183105469
2022-09-02,75.83000183105469
2022-09-06,76.27999877929688
2022-09-07,77.66999816894531
2022-09-08,76.37000274658203
2022-09-09,77.58999633789062
2022-09-12,78.26000213623047
2022-09-13,75.20999908447266
2022-09-14,73.9800033569336
2022-09-15,72.73999786376953
2022-09-16,72.81999969482422
2022-09-19,71.23999786376953
2022-09-20,69.55999755859375
2022-09-21,68.98999786376953
2022-09-22,68.25
2022-09-23,66.70999908447266
2022-09-26,65.7699966430664
2022-09-27,64.30999755859375
2022-09-28,65.41999816894531
2022-09-29,63.33000183105469
2022-09-30,64.31999969482422
2022-10-03,65.37999725341797
2022-10-04,64.37999725341797
2022-10-05,62.31999969482422
2022-10-06,59.7599983215332
2022-10-07,58.599998474121094
2022-10-10,57.369998931884766
2022-10-11,58.16999816894531
2022-10-12,57.90999984741211
2022-10-13,59.16999816894531
2022-10-14,57.84000015258789
2022-10-17,59.97999954223633
2022-10-18,60.66999816894531
2022-10-19,59.33000183105469
2022-10-20,58.97999954223633
2022-10-21,57.880001068115234
2022-10-24,57.5099983215332
2022-10-25,60.36000061035156
2022-10-26,60.400001525878906
2022-10-27,59.939998626708984
2022-10-28,61.5
2022-10-31,61.040000915527344
2022-11-01,60.099998474121094
2022-11-02,58.86000061035156
2022-11-03,58.400001525878906
2022-11-04,60.95000076293945
2022-11-07,61.459999084472656
2022-11-08,66.51000213623047
2022-11-09,66.5
2022-11-10,70.05999755859375
2022-11-11,71.58000183105469
2022-11-14,70.29000091552734
2022-11-15,69.91000366210938
2022-11-16,68.19999694824219
2022-11-17,66.72000122070312
2022-11-18,67.77999877929688
2022-11-21,68.18000030517578
2022-11-22,68.8499984741211
