Date,IRM
2022-02-28,49.18000030517578
2022-03-01,49.66999816894531
2022-03-02,50.47999954223633
2022-03-03,51.72999954223633
2022-03-04,52.13999938964844
2022-03-07,51.06999969482422
2022-03-08,50.7400016784668
2022-03-09,51.09000015258789
2022-03-10,51.38999938964844
2022-03-11,50.529998779296875
2022-03-14,48.029998779296875
2022-03-15,48.68000030517578
2022-03-16,49.11000061035156
2022-03-17,49.56999969482422
2022-03-18,49.470001220703125
2022-03-21,50.150001525878906
2022-03-22,50.95000076293945
2022-03-23,52.150001525878906
2022-03-24,52.4900016784668
2022-03-25,53.34000015258789
2022-03-28,53.68000030517578
2022-03-29,55.119998931884766
2022-03-30,55.459999084472656
2022-03-31,55.40999984741211
2022-04-01,56.22999954223633
2022-04-04,55.83000183105469
2022-04-05,55.27000045776367
2022-04-06,56.16999816894531
2022-04-07,55.650001525878906
2022-04-08,55.93000030517578
2022-04-11,55.529998779296875
2022-04-12,55.95000076293945
2022-04-13,55.95000076293945
2022-04-14,55.41999816894531
2022-04-18,56.06999969482422
2022-04-19,56.459999084472656
2022-04-20,57.720001220703125
2022-04-21,57.58000183105469
2022-04-22,56.68000030517578
2022-04-25,55.720001220703125
2022-04-26,54.63999938964844
2022-04-27,54.41999816894531
2022-04-28,55.709999084472656
2022-04-29,53.72999954223633
2022-05-02,50.70000076293945
2022-05-03,52.56999969482422
2022-05-04,54.63999938964844
2022-05-05,54.58000183105469
2022-05-06,54.2400016784668
2022-05-09,53.0099983215332
2022-05-10,51.5
2022-05-11,50.54999923706055
2022-05-12,51.900001525878906
2022-05-13,52.33000183105469
2022-05-16,53.029998779296875
2022-05-17,53.5099983215332
2022-05-18,51.02000045776367
2022-05-19,48.630001068115234
2022-05-20,49.4900016784668
2022-05-23,50.97999954223633
2022-05-24,51.290000915527344
2022-05-25,51.34000015258789
2022-05-26,51.959999084472656
2022-05-27,54.939998626708984
2022-05-31,53.900001525878906
2022-06-01,53.41999816894531
2022-06-02,53.79999923706055
2022-06-03,53.56999969482422
2022-06-06,53.09000015258789
2022-06-07,54.4900016784668
2022-06-08,53.220001220703125
2022-06-09,52.290000915527344
2022-06-10,51.040000915527344
2022-06-13,48.369998931884766
2022-06-14,47.279998779296875
2022-06-15,47.970001220703125
2022-06-16,46.11000061035156
2022-06-17,46.220001220703125
