Date,ICE
2022-02-28,128.1199951171875
2022-03-01,127.75
2022-03-02,129.9499969482422
2022-03-03,131.39999389648438
2022-03-04,135.6999969482422
2022-03-07,132.38999938964844
2022-03-08,124.66999816894531
2022-03-09,128.77999877929688
2022-03-10,129.55999755859375
2022-03-11,126.36000061035156
2022-03-14,126.22000122070312
2022-03-15,130.25999450683594
2022-03-16,131.6199951171875
2022-03-17,133.60000610351562
2022-03-18,136.89999389648438
2022-03-21,135.97000122070312
2022-03-22,136.39999389648438
2022-03-23,134.89999389648438
2022-03-24,135.08999633789062
2022-03-25,135.25999450683594
2022-03-28,135.17999267578125
2022-03-29,132.64999389648438
2022-03-30,134.35000610351562
2022-03-31,132.1199951171875
2022-04-01,132.6999969482422
2022-04-04,130.6199951171875
2022-04-05,130.52999877929688
2022-04-06,129.1300048828125
2022-04-07,129.8800048828125
2022-04-08,129.88999938964844
2022-04-11,128.10000610351562
2022-04-12,124.83000183105469
2022-04-13,125.83000183105469
2022-04-14,124.52999877929688
2022-04-18,122.62000274658203
2022-04-19,122.93000030517578
2022-04-20,123.8499984741211
2022-04-21,120.70999908447266
2022-04-22,117.25
2022-04-25,116.8499984741211
2022-04-26,114.33000183105469
2022-04-27,116.69999694824219
2022-04-28,119.25
2022-04-29,115.80999755859375
2022-05-02,113.4800033569336
2022-05-03,114.4800033569336
2022-05-04,109.86000061035156
2022-05-05,101.62999725341797
2022-05-06,99.80999755859375
2022-05-09,96.98999786376953
2022-05-10,96.47000122070312
2022-05-11,94.55000305175781
2022-05-12,95.5
2022-05-13,98.2699966430664
2022-05-16,97.30999755859375
2022-05-17,99.12000274658203
2022-05-18,95.11000061035156
2022-05-19,95.9000015258789
2022-05-20,97.62000274658203
2022-05-23,98.11000061035156
2022-05-24,98.36000061035156
2022-05-25,97.5199966430664
2022-05-26,99.52999877929688
2022-05-27,102.69999694824219
2022-05-31,102.38999938964844
2022-06-01,101.98999786376953
2022-06-02,102.9000015258789
2022-06-03,100.94000244140625
2022-06-06,100.86000061035156
2022-06-07,101.76000213623047
2022-06-08,101.37999725341797
2022-06-09,99.5
2022-06-10,97.77999877929688
2022-06-13,96.81999969482422
2022-06-14,94.05000305175781
2022-06-15,95.62999725341797
2022-06-16,94.8499984741211
2022-06-17,90.33000183105469
2022-06-21,93.80999755859375
2022-06-22,93.95999908447266
2022-06-23,96.68000030517578
2022-06-24,97.91000366210938
2022-06-27,98.68000030517578
2022-06-28,96.75
2022-06-29,96.41000366210938
2022-06-30,94.04000091552734
2022-07-01,95.2300033569336
2022-07-05,96.0199966430664
2022-07-06,95.5
2022-07-07,96.68000030517578
2022-07-08,95.87000274658203
2022-07-11,94.54000091552734
2022-07-12,93.33999633789062
2022-07-13,94.48999786376953
2022-07-14,93.62000274658203
2022-07-15,95.83000183105469
2022-07-18,94.87999725341797
2022-07-19,96.80999755859375
2022-07-20,98.44000244140625
2022-07-21,99.47000122070312
2022-07-22,99.11000061035156
2022-07-25,98.97000122070312
2022-07-26,97.63999938964844
2022-07-27,97.51000213623047
2022-07-28,102.55999755859375
2022-07-29,101.98999786376953
2022-08-01,100.4000015258789
2022-08-02,100.66000366210938
2022-08-03,103.0199966430664
2022-08-04,107.44000244140625
2022-08-05,105.0199966430664
2022-08-08,104.30000305175781
2022-08-09,104.91000366210938
2022-08-10,106.05000305175781
2022-08-11,106.62999725341797
2022-08-12,109.68000030517578
2022-08-15,109.5999984741211
2022-08-16,111.05999755859375
2022-08-17,111.69999694824219
2022-08-18,112.62000274658203
2022-08-19,109.08999633789062
2022-08-22,107.83000183105469
2022-08-23,106.44999694824219
2022-08-24,106.91999816894531
2022-08-25,107.01000213623047
2022-08-26,103.58999633789062
2022-08-29,101.58999633789062
2022-08-30,100.51000213623047
2022-08-31,100.8499984741211
