Date,SPG
2022-02-28,137.55999755859375
2022-03-01,134.60000610351562
2022-03-02,138.77000427246094
2022-03-03,139.41000366210938
2022-03-04,136.88999938964844
2022-03-07,128.27000427246094
2022-03-08,131.38999938964844
2022-03-09,132.57000732421875
2022-03-10,132.61000061035156
2022-03-11,130.0500030517578
2022-03-14,128.19000244140625
2022-03-15,128.8800048828125
2022-03-16,131.3300018310547
2022-03-17,131.64999389648438
2022-03-18,130.83999633789062
2022-03-21,129.05999755859375
2022-03-22,132.83999633789062
2022-03-23,130.00999450683594
2022-03-24,130.1300048828125
2022-03-25,130.1699981689453
2022-03-28,131.75
2022-03-29,138.0800018310547
2022-03-30,134.7899932861328
2022-03-31,131.55999755859375
2022-04-01,133.0
2022-04-04,134.52999877929688
2022-04-05,130.5800018310547
2022-04-06,127.86000061035156
2022-04-07,125.51000213623047
2022-04-08,127.47000122070312
2022-04-11,126.77999877929688
2022-04-12,126.18000030517578
2022-04-13,127.58000183105469
2022-04-14,127.87999725341797
2022-04-18,127.88999938964844
2022-04-19,131.32000732421875
2022-04-20,132.58999633789062
2022-04-21,130.85000610351562
2022-04-22,125.87999725341797
2022-04-25,126.29000091552734
2022-04-26,124.12999725341797
2022-04-27,122.12999725341797
2022-04-28,124.41000366210938
2022-04-29,118.0
2022-05-02,116.83999633789062
2022-05-03,120.87000274658203
2022-05-04,124.58000183105469
2022-05-05,122.33999633789062
2022-05-06,121.41999816894531
2022-05-09,118.19000244140625
2022-05-10,119.06999969482422
2022-05-11,113.01000213623047
2022-05-12,115.62000274658203
2022-05-13,116.77999877929688
2022-05-16,116.87000274658203
2022-05-17,120.76000213623047
2022-05-18,113.66999816894531
2022-05-19,110.04000091552734
2022-05-20,108.83999633789062
2022-05-23,107.7699966430664
2022-05-24,107.8499984741211
2022-05-25,109.19000244140625
2022-05-26,112.02999877929688
2022-05-27,113.7300033569336
2022-05-31,114.6500015258789
2022-06-01,111.16999816894531
2022-06-02,112.31999969482422
2022-06-03,109.94999694824219
2022-06-06,109.62000274658203
2022-06-07,112.27999877929688
2022-06-08,107.87000274658203
2022-06-09,103.87000274658203
2022-06-10,101.26000213623047
2022-06-13,97.1500015258789
2022-06-14,96.51000213623047
2022-06-15,97.5
2022-06-16,94.62000274658203
2022-06-17,95.69000244140625
2022-06-21,96.58999633789062
2022-06-22,95.94999694824219
2022-06-23,96.69999694824219
2022-06-24,99.62000274658203
2022-06-27,100.12000274658203
2022-06-28,99.25
2022-06-29,97.26000213623047
2022-06-30,94.91999816894531
2022-07-01,95.68000030517578
2022-07-05,97.56999969482422
2022-07-06,96.41999816894531
2022-07-07,97.87999725341797
2022-07-08,97.69000244140625
2022-07-11,97.22000122070312
2022-07-12,97.5999984741211
2022-07-13,95.55999755859375
2022-07-14,94.0
2022-07-15,96.36000061035156
2022-07-18,98.63999938964844
2022-07-19,102.2699966430664
2022-07-20,103.44999694824219
2022-07-21,104.23999786376953
2022-07-22,103.68000030517578
2022-07-25,104.02999877929688
2022-07-26,102.58000183105469
2022-07-27,104.12000274658203
2022-07-28,107.45999908447266
2022-07-29,108.63999938964844
2022-08-01,108.62999725341797
2022-08-02,105.4800033569336
2022-08-03,106.93000030517578
2022-08-04,105.81999969482422
2022-08-05,106.5
2022-08-08,108.83999633789062
2022-08-09,108.01000213623047
2022-08-10,111.37999725341797
2022-08-11,114.06999969482422
2022-08-12,115.8499984741211
2022-08-15,113.25
2022-08-16,114.5199966430664
2022-08-17,112.83999633789062
2022-08-18,113.33000183105469
2022-08-19,111.01000213623047
2022-08-22,106.73999786376953
2022-08-23,106.83999633789062
2022-08-24,106.68000030517578
2022-08-25,108.23999786376953
2022-08-26,104.8499984741211
2022-08-29,103.6500015258789
2022-08-30,103.79000091552734
2022-08-31,101.9800033569336
2022-09-01,101.33000183105469
2022-09-02,100.52999877929688
2022-09-06,101.04000091552734
2022-09-07,103.45999908447266
2022-09-08,102.54000091552734
2022-09-09,103.7699966430664
2022-09-12,105.25
2022-09-13,100.41000366210938
2022-09-14,100.02999877929688
2022-09-15,99.54000091552734
2022-09-16,99.69999694824219
2022-09-19,100.27999877929688
2022-09-20,98.31999969482422
2022-09-21,95.6500015258789
2022-09-22,92.18000030517578
2022-09-23,90.18000030517578
2022-09-26,87.36000061035156
2022-09-27,89.02999877929688
2022-09-28,92.52999877929688
2022-09-29,89.12999725341797
2022-09-30,89.75
2022-10-03,90.9800033569336
2022-10-04,95.87000274658203
2022-10-05,95.7699966430664
2022-10-06,94.68000030517578
2022-10-07,92.54000091552734
2022-10-10,92.52999877929688
2022-10-11,94.81999969482422
2022-10-12,93.68000030517578
2022-10-13,95.83000183105469
2022-10-14,95.86000061035156
2022-10-17,99.1500015258789
2022-10-18,98.66000366210938
2022-10-19,98.02999877929688
2022-10-20,98.30999755859375
2022-10-21,101.04000091552734
2022-10-24,102.38999938964844
2022-10-25,105.83999633789062
2022-10-26,105.52999877929688
2022-10-27,106.38999938964844
2022-10-28,108.95999908447266
2022-10-31,108.9800033569336
2022-11-01,113.83999633789062
2022-11-02,111.61000061035156
2022-11-03,112.58000183105469
2022-11-04,115.56999969482422
2022-11-07,116.87000274658203
2022-11-08,115.41999816894531
2022-11-09,112.91999816894531
2022-11-10,120.04000091552734
2022-11-11,120.19999694824219
2022-11-14,117.52999877929688
2022-11-15,120.16000366210938
2022-11-16,115.58999633789062
2022-11-17,115.79000091552734
2022-11-18,117.9000015258789
2022-11-21,117.18000030517578
2022-11-22,119.37999725341797
2022-11-23,119.61000061035156
2022-11-25,120.69999694824219
2022-11-28,115.76000213623047
2022-11-29,117.45999908447266
2022-11-30,119.44000244140625
2022-12-01,119.01000213623047
2022-12-02,119.33999633789062
2022-12-05,117.69000244140625
2022-12-06,118.26000213623047
2022-12-07,119.05000305175781
2022-12-08,117.12000274658203
2022-12-09,116.75
2022-12-12,118.62000274658203
2022-12-13,120.23999786376953
2022-12-14,119.70999908447266
2022-12-15,118.20999908447266
2022-12-16,116.31999969482422
2022-12-19,115.62000274658203
2022-12-20,115.66000366210938
2022-12-21,116.55000305175781
2022-12-22,116.36000061035156
2022-12-23,117.91000366210938
2022-12-27,118.0999984741211
2022-12-28,115.05999755859375
2022-12-29,117.31999969482422
2022-12-30,117.4800033569336
2023-01-03,117.54000091552734
2023-01-04,121.16000366210938
2023-01-05,117.41999816894531
2023-01-06,118.87000274658203
2023-01-09,118.31999969482422
2023-01-10,116.8499984741211
2023-01-11,121.36000061035156
2023-01-12,125.98999786376953
2023-01-13,125.56999969482422
2023-01-17,125.0199966430664
2023-01-18,122.25
2023-01-19,120.93000030517578
2023-01-20,123.6500015258789
2023-01-23,124.97000122070312
2023-01-24,125.44999694824219
2023-01-25,125.19000244140625
2023-01-26,126.33000183105469
2023-01-27,128.61000061035156
2023-01-30,125.94999694824219
2023-01-31,128.4600067138672
2023-02-01,128.92999267578125
2023-02-02,131.7899932861328
2023-02-03,129.80999755859375
2023-02-06,128.63999938964844
2023-02-07,125.9000015258789
2023-02-08,124.23999786376953
2023-02-09,124.41000366210938
2023-02-10,124.3499984741211
2023-02-13,125.77999877929688
2023-02-14,125.41000366210938
2023-02-15,125.5199966430664
2023-02-16,124.3499984741211
2023-02-17,123.66000366210938
2023-02-21,120.62000274658203
2023-02-22,121.0999984741211
2023-02-23,122.30000305175781
2023-02-24,121.83000183105469
2023-02-27,122.51000213623047
2023-02-28,122.08999633789062
2023-03-01,121.25
2023-03-02,122.8499984741211
2023-03-03,124.08000183105469
2023-03-06,123.8499984741211
2023-03-07,120.61000061035156
2023-03-08,122.18000030517578
2023-03-09,117.30000305175781
2023-03-10,111.5
2023-03-13,111.41999816894531
2023-03-14,112.19999694824219
2023-03-15,109.69000244140625
2023-03-16,109.19999694824219
2023-03-17,104.30999755859375
2023-03-20,107.12000274658203
2023-03-21,109.12000274658203
2023-03-22,104.30999755859375
2023-03-23,102.37999725341797
2023-03-24,103.4800033569336
2023-03-27,103.30000305175781
2023-03-28,104.1500015258789
2023-03-29,106.58999633789062
2023-03-30,107.55999755859375
2023-03-31,111.97000122070312
2023-04-03,112.41999816894531
2023-04-04,111.30999755859375
2023-04-05,109.94999694824219
2023-04-06,109.7699966430664
2023-04-10,109.55999755859375
2023-04-11,110.16000366210938
2023-04-12,109.51000213623047
2023-04-13,108.94000244140625
2023-04-14,107.55999755859375
2023-04-17,111.3499984741211
2023-04-18,111.30000305175781
2023-04-19,112.05999755859375
2023-04-20,110.7699966430664
2023-04-21,110.66000366210938
2023-04-24,110.2300033569336
2023-04-25,109.22000122070312
2023-04-26,108.33999633789062
2023-04-27,110.5999984741211
2023-04-28,113.31999969482422
2023-05-01,113.48999786376953
2023-05-02,112.05000305175781
2023-05-03,107.58999633789062
2023-05-04,107.8499984741211
